Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
1,0.7567202939020413,0.7567202939020413,1.185342855314847,0.3047602469011047,0.3047602469011047,1.6947244357280884,1.6947244357280884,0,0.0,0.0
2,2.29606552507572,2.29606552507572,3.61661366503056,0.9298326102053104,0.9298326102053104,5.170784615851787,5.170784615851787,0,0.0,0.0
3,2.2519009523470443,2.2519009523470443,3.5994910589410245,0.9253242582651252,0.9253242582651252,5.14628946874514,5.14628946874514,0,0.0,0.0
4,1.0490261847780638,1.0490261847780638,1.6634346006419063,0.4276583737103057,0.4276583737103057,2.378312725466575,2.378312725466575,0,0.0,0.0
5,1.185978852998972,1.185978852998972,1.872837649403834,0.4814767139140832,0.4814767139140832,2.6775956309135025,2.6775956309135025,0,0.0,0.0
6,1.051001385715894,1.051001385715894,1.6463094420395166,0.4232779246395284,0.4232779246395284,2.3537846764654624,2.3537846764654624,0,0.0,0.0
7,0.964854445682977,0.964854445682977,1.5330348441562838,0.3941231434142449,0.3941231434142449,2.1917170987403374,2.1917170987403374,0,0.0,0.0
8,1.8997263967066829,1.8997263967066829,3.030521827147623,0.7790751964042498,0.7790751964042498,4.332750939565845,4.332750939565845,0,0.0,0.0
9,1.8682190812531,1.8682190812531,2.921214102178527,0.7509871342643412,0.7509871342643412,4.176592205412321,4.176592205412321,0,0.0,0.0
10,1.082952496963678,1.082952496963678,1.6963579696006137,0.4361460309430847,0.4361460309430847,2.4253400039697848,2.4253400039697848,0,0.0,0.0
11,1.7987619375477075,1.7987619375477075,2.822430453222838,0.7256369909721887,0.7256369909721887,4.035265685912753,4.035265685912753,0,0.0,0.0
12,0.7711048430381842,0.7711048430381842,1.2143153502188846,0.3121529171054418,0.3121529171054418,1.7361069064171215,1.7361069064171215,0,0.0,0.0
13,1.0773768456859183,1.0773768456859183,1.8064132208286727,0.4755391922805273,0.4755391922805273,2.463525353795912,2.463525353795912,0,0.0,0.0
14,0.5608147619333692,0.5608147619333692,0.8784716629323737,0.225861864826548,0.225861864826548,1.2559815099312088,1.2559815099312088,0,0.0,0.0
15,0.7113240765829182,0.7113240765829182,1.182641197554661,0.3113298173983339,0.3113298173983339,1.6128935984120594,1.6128935984120594,0,0.0,0.0
16,1.2969998586487193,1.2969998586487193,2.098059271333053,0.5393574131396379,0.5393574131396379,2.999693947121428,2.999693947121428,0,0.0,0.0
17,0.904197850001832,0.904197850001832,1.5104595944528465,0.3976809526162161,0.3976809526162161,2.060048578640849,2.060048578640849,0,0.0,0.0
18,0.3395160745545313,0.3395160745545313,0.5544763347546593,0.1425437726536312,0.1425437726536312,0.7927363035867229,0.7927363035867229,0,0.0,0.0
19,0.5653231539092907,0.5653231539092907,0.86793235289161,0.2231114633598983,0.2231114633598983,1.2408738519420688,1.2408738519420688,0,0.0,0.0
20,0.1221813824282035,0.1221813824282035,0.1896557188116691,0.0487603612179116,0.0487603612179116,0.2711639150209546,0.2711639150209546,0,0.0,0.0
21,0.4578588230162891,0.4578588230162891,0.7112056752322609,0.1828434914619122,0.1828434914619122,1.0168370333668806,1.0168370333668806,0,0.0,0.0
22,0.3289430855331316,0.3289430855331316,0.5057470356178428,0.1300286562599021,0.1300286562599021,0.723094345184365,0.723094345184365,0,0.0,0.0
23,0.3119374660183009,0.3119374660183009,0.4886250972412892,0.1256289860274908,0.1256289860274908,0.6986041655426837,0.6986041655426837,0,0.0,0.0
24,0.1836207132614412,0.1836207132614412,0.2871160131620035,0.073811703677296,0.073811703677296,0.4105018685616813,0.4105018685616813,0,0.0,0.0
25,0.1375909494769641,0.1375909494769641,0.2094102776779051,0.0538390869875806,0.0538390869875806,0.2993880540752281,0.2993880540752281,0,0.0,0.0
