Zone,Zone_Name,Total_NSE_MWh,NSE_Percent_of_Demand,LOLE_hours,Peak_Shortage_MW
1,,4.3002595967157704e-10,1.097385341513786e-13,0.0,8.115907843436898e-14
2,,4.303376000803028e-10,3.7749971936080977e-13,0.0,8.119088090443266e-14
