R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
26,1,papua,papua,plts_lisdes,solar,1.68,0,2026,Plan,PLN,,1,560000,0,0,10000,0,0,1.68,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
27,1,papua,papua,plts_lisdes,solar,1.7,0,2027,Plan,PLN,,1,560000,0,0,10000,0,0,1.7,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
28,1,papua,papua,plts_lisdes,solar,20603,0,2028,Plan,PLN,,1,560000,0,0,10000,0,0,20603,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
29,1,papua,papua,plts_lisdes,solar,2299,0,2029,Plan,PLN,,1,560000,0,0,10000,0,0,2299,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
30,1,papua,papua,plts_lisdes,solar,1628,0,2030,Plan,PLN,,1,560000,0,0,10000,0,0,1628,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
31,1,papua,papua,pltmg_jayapura,gas,50,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
32,1,papua,papua,plta_orya_2,hydropower,14,0,2026,Plan,PLN,,1,2200000,0,0,40200,0,0.48,14,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
33,1,papua,papua,pltm_amai,hydropower,1.08,0,2028,Plan,PLN,,1,2200000,0,0,40200,0,0.48,1.08,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
34,1,papua,papua,plt_ebt_base_jayapura_2,gas,50,0,2029,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
35,1,papua,papua,pltm_mamberamo_raya,hydropower,4,0,2029,Plan,PLN,,1,2200000,0,0,40200,0,0.48,4,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
36,1,papua,papua,pltbm_merauke_3,biomass,10,0,2024,Plan,PLN,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
37,1,papua,papua,pltm_kalibumi_1,hydropower,6.35,0,2025,Plan,PLN,,1,2200000,0,0,40200,0,0.48,6.35,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
38,1,papua,papua,pltu_nabire_kalibobo,coal,14,0,2022,Construction,IPP,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,,
39,1,papua,papua,pltm_digoel,hydropower,3,0,2029,Plan,PLN,,1,2200000,0,0,40200,0,0.48,3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
40,1,papua,papua,pltd_sarmi,diesel,5,0,2022,Procurement,PLN,,1,800000,0,0,8000,0,6,5,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,0,0,0,0,,,,
41,1,papua,papua,plts_sarmi,solar,5,0,2029,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
42,1,papua,papua,pltmg_serui_1,gas,10,0,2021,Construction,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
43,1,papua,papua,plts_serui,solar,5,0,2026,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
44,1,papua,papua,pltmg_serui_2,gas,10,0,2030,Plan,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
45,1,papua,papua,pltmg_timika_2,gas,30,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
