r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
62,1,1,1,0.214,0.214,0.214,0.214,0.214,1,0.23,0.23,0.23,0.23,0.23,0,1,1
63,1,1,1,0.097,0.097,0.097,0.097,0.097,1,0.168,0.168,0.168,0.168,0.168,0,1,1
64,1,1,1,0.032,0.032,0.032,0.032,0.032,1,0.083,0.083,0.083,0.083,0.083,0,1,1
65,1,1,1,0.001,0.001,0.001,0.001,0.001,1,0.016,0.016,0.016,0.016,0.016,0,1,1
66,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
67,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.007,1,1
68,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.011,1,1
69,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.019,1,1
70,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.026,1,1
71,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.022,1,1
72,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.024,1,1
73,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.031,1,1
74,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.031,1,1
75,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.033,1,1
76,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.032,1,1
77,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.034,1,1
78,1,1,1,0.047,0.047,0.047,0.047,0.047,1,0.002,0.002,0.002,0.002,0.002,0.04,1,1
79,1,1,1,0.173,0.173,0.173,0.173,0.173,1,0.036,0.036,0.036,0.036,0.036,0.036,1,1
80,1,1,1,0.295,0.295,0.295,0.295,0.295,1,0.102,0.102,0.102,0.102,0.102,0.022,1,1
81,1,1,1,0.441,0.441,0.441,0.441,0.441,1,0.155,0.155,0.155,0.155,0.155,0.016,1,1
82,1,1,1,0.605,0.605,0.605,0.605,0.605,1,0.177,0.177,0.177,0.177,0.177,0.011,1,1
83,1,1,1,0.669,0.669,0.669,0.669,0.669,1,0.171,0.171,0.171,0.171,0.171,0.008,1,1
84,1,1,1,0.63,0.63,0.63,0.63,0.63,1,0.161,0.161,0.161,0.161,0.161,0.003,1,1
85,1,1,1,0.532,0.532,0.532,0.532,0.532,1,0.148,0.148,0.148,0.148,0.148,0.001,1,1
86,1,1,1,0.401,0.401,0.401,0.401,0.401,1,0.138,0.138,0.138,0.138,0.138,0.001,1,1
87,1,1,1,0.216,0.216,0.216,0.216,0.216,1,0.107,0.107,0.107,0.107,0.107,0.001,1,1
88,1,1,1,0.083,0.083,0.083,0.083,0.083,1,0.057,0.057,0.057,0.057,0.057,0.001,1,1
89,1,1,1,0.004,0.004,0.004,0.004,0.004,1,0.008,0.008,0.008,0.008,0.008,0.007,1,1
90,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.025,1,1
91,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.041,1,1
92,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.05,1,1
93,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.05,1,1
94,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.045,1,1
