r_id,pltm_kokok_putih,pltmh_santon,pltm_segara,pltu_lombok_timure,pltd_ampenan,pltd_taman,pltu_lombok_apbn,pltu_lombok_ftp1,pltu_lombok_ftp1,mpp_lombok,pltmg_sumbawa,pltd_bima,pltu_sumbawa_barat,pltmg_bima,pltd_taliwang,pltmg_lombok_peaker,pltm_sedau_kumbi,pltu_lombok_ftp2,plts_lunyuk_kuota_tersebar,plts_medang,plts_dedieselisasi,pltmg_sumbawa_2,pltm_koko_babak,plts_sumbawa_bima_kuota_tersebar,pltm_lombok_kuota_tersebar,plts_lunyuk_kuota_tersebar,pltbm_sumbawa_bima_kuota_tersebar,pltm_lombok_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltm_sumbawa_bima_kuota_tersebar,pltmg_bima_2,plts_lunyuk_kuota_tersebar,pltu_bima_ftp1,pltp_sumbawa_bima_kuota_tersebar,pltmg_lombok_2,pltmg_sumbawa_3,plt_ebt_base_lombok_3,plt_ebt_base_lombok_4,west_nusa_tenggara_solar_potential_ruen,west_nusa_tenggara_wind_potential_ruen,west_nusa_tenggara_geothermal_potential_ruen,west_nusa_tenggara_hydropower_potential_ruen,west_nusa_tenggara_hydropower_mini_potential_ruen,west_nusa_tenggara_biomass_potential_ruen,west_nusa_tenggara_biogas_potential_ruen,pltd_kefamenanu,pltu_kupang_ftp1,pltmg_kupang_peaker,pltd_labuhan_bajo,mpp_flores_labuan_bajo,pltd_ruteng,pltu_ende_ftp1,pltp_ulumbu_adb,pltd_bajawa,pltmg_maumere,pltmg_alor,plts_lisdes_ntt,pltp_sokoria,pltbm_sumba_kuota_tersebar,pltm_sumba_kuota_tersebar,pltmg_waingapu,plts_adonara,plts_adonara,plts_alor_kalabahi,plts_betun,pltmg_waingapu_2,plts_flores,plts_lembata,pltb_maubesi,plts_reep_1_tersebar,plts_rote,plts_rote,plts_sabu_raijua,pltp_sokoria,pltm_sumba_kuota_tersebar,pltu_timor_1,plts_dedieselisasi,plts_dedieselisasi,plts_lembata,plts_sumba,pltb_sumba_kuota_tersebar,plts_timor_kuota_tersebar,pltm_wae_lega_ruteng,pltmg_kupang_2,plts_sumba,plts_sumba,plts_timor_kuota_tersebar,pltb_timor_kuota_tersebar,pltb_timor_kuota_tersebar,pltp_sokoria,pltp_atadei,pltu_alor,plts_dedieselisasi,pltm_flores,pltu_rote_ndao,pltm_sumba,pltp_ulumbu_5,pltp_mataloko_ftp2,plts_sumba,plts_sumba,plt_ebt_base_timor_2,pltu_atambua,pltp_ulumbu_6,pltp_oka_ile_ange_ftp2,plts_rote,plts_sumba,plts_sumba,plt_ebt_base_timor_3,pltp_gunung_sirung,plts_sumba,plts_sumba,east_nusa_tenggara_solar_potential_ruen,east_nusa_tenggara_wind_potential_ruen,east_nusa_tenggara_geothermal_potential_ruen,east_nusa_tenggara_hydropower_potential_ruen,east_nusa_tenggara_hydropower_mini_potential_ruen,east_nusa_tenggara_biomass_potential_ruen,east_nusa_tenggara_biogas_potential_ruen
11,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.609,0.609,0.609,1,0.5,0.609,0.5,0.609,1,0.5,0.5,0.5,0.5,1,0.609,1,1,1,1,1,1,0.609,0.093,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.708,1,1,0.5,1,0.708,0.708,0.708,0.708,1,0.708,0.708,0.101,0.708,0.708,0.708,0.708,1,0.5,1,0.708,0.708,0.708,0.708,0.101,0.708,0.5,1,0.708,0.708,0.708,0.101,0.101,1,1,1,0.708,0.5,1,0.5,1,1,0.708,0.708,1,1,1,1,0.708,0.708,0.708,1,1,0.708,0.708,0.708,0.101,1,0.5,0.5,1,1
12,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.618,0.618,0.618,1,0.5,0.618,0.5,0.618,1,0.5,0.5,0.5,0.5,1,0.618,1,1,1,1,1,1,0.618,0.083,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.71,1,1,0.5,1,0.71,0.71,0.71,0.71,1,0.71,0.71,0.095,0.71,0.71,0.71,0.71,1,0.5,1,0.71,0.71,0.71,0.71,0.095,0.71,0.5,1,0.71,0.71,0.71,0.095,0.095,1,1,1,0.71,0.5,1,0.5,1,1,0.71,0.71,1,1,1,1,0.71,0.71,0.71,1,1,0.71,0.71,0.71,0.095,1,0.5,0.5,1,1
13,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.582,0.582,0.582,1,0.5,0.582,0.5,0.582,1,0.5,0.5,0.5,0.5,1,0.582,1,1,1,1,1,1,0.582,0.073,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663,1,1,0.5,1,0.663,0.663,0.663,0.663,1,0.663,0.663,0.082,0.663,0.663,0.663,0.663,1,0.5,1,0.663,0.663,0.663,0.663,0.082,0.663,0.5,1,0.663,0.663,0.663,0.082,0.082,1,1,1,0.663,0.5,1,0.5,1,1,0.663,0.663,1,1,1,1,0.663,0.663,0.663,1,1,0.663,0.663,0.663,0.082,1,0.5,0.5,1,1
14,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.497,0.497,0.497,1,0.5,0.497,0.5,0.497,1,0.5,0.5,0.5,0.5,1,0.497,1,1,1,1,1,1,0.497,0.066,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569,1,1,0.5,1,0.569,0.569,0.569,0.569,1,0.569,0.569,0.068,0.569,0.569,0.569,0.569,1,0.5,1,0.569,0.569,0.569,0.569,0.068,0.569,0.5,1,0.569,0.569,0.569,0.068,0.068,1,1,1,0.569,0.5,1,0.5,1,1,0.569,0.569,1,1,1,1,0.569,0.569,0.569,1,1,0.569,0.569,0.569,0.068,1,0.5,0.5,1,1
15,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.356,0.356,0.356,1,0.5,0.356,0.5,0.356,1,0.5,0.5,0.5,0.5,1,0.356,1,1,1,1,1,1,0.356,0.06,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.431,1,1,0.5,1,0.431,0.431,0.431,0.431,1,0.431,0.431,0.054,0.431,0.431,0.431,0.431,1,0.5,1,0.431,0.431,0.431,0.431,0.054,0.431,0.5,1,0.431,0.431,0.431,0.054,0.054,1,1,1,0.431,0.5,1,0.5,1,1,0.431,0.431,1,1,1,1,0.431,0.431,0.431,1,1,0.431,0.431,0.431,0.054,1,0.5,0.5,1,1
16,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.198,0.198,0.198,1,0.5,0.198,0.5,0.198,1,0.5,0.5,0.5,0.5,1,0.198,1,1,1,1,1,1,0.198,0.046,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.213,1,1,0.5,1,0.213,0.213,0.213,0.213,1,0.213,0.213,0.029,0.213,0.213,0.213,0.213,1,0.5,1,0.213,0.213,0.213,0.213,0.029,0.213,0.5,1,0.213,0.213,0.213,0.029,0.029,1,1,1,0.213,0.5,1,0.5,1,1,0.213,0.213,1,1,1,1,0.213,0.213,0.213,1,1,0.213,0.213,0.213,0.029,1,0.5,0.5,1,1
17,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.051,0.051,0.051,1,0.5,0.051,0.5,0.051,1,0.5,0.5,0.5,0.5,1,0.051,1,1,1,1,1,1,0.051,0.043,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.031,1,1,0.5,1,0.031,0.031,0.031,0.031,1,0.031,0.031,0.027,0.031,0.031,0.031,0.031,1,0.5,1,0.031,0.031,0.031,0.031,0.027,0.031,0.5,1,0.031,0.031,0.031,0.027,0.027,1,1,1,0.031,0.5,1,0.5,1,1,0.031,0.031,1,1,1,1,0.031,0.031,0.031,1,1,0.031,0.031,0.031,0.027,1,0.5,0.5,1,1
18,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.06,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.037,0,0,0,0,1,0.5,1,0,0,0,0,0.037,0,0.5,1,0,0,0,0.037,0.037,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.037,1,0.5,0.5,1,1
19,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.068,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.048,0,0,0,0,1,0.5,1,0,0,0,0,0.048,0,0.5,1,0,0,0,0.048,0.048,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.048,1,0.5,0.5,1,1
20,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,1,0,1,1,1,1,1,1,0,0.073,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0,0,0,0,1,0,0,0.057,0,0,0,0,1,0.5,1,0,0,0,0,0.057,0,0.5,1,0,0,0,0.057,0.057,1,1,1,0,0.5,1,0.5,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.057,1,0.5,0.5,1,1
