R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
89,2,nusa_tenggara,east_nusa_tenggara,pltb_timor_kuota_tersebar,wind,11,0,2024,Plan,IPP,,1,1280000,0,0,51000,0,0,11,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
90,2,nusa_tenggara,east_nusa_tenggara,pltb_timor_kuota_tersebar,wind,11,0,2024,Plan,IPP,,1,1280000,0,0,51000,0,0,11,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
91,2,nusa_tenggara,east_nusa_tenggara,pltp_sokoria,geothermal,22,0,2024/25,Construction,IPP,,1,3440000,0,0,43000,0,0.22,22,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
92,2,nusa_tenggara,east_nusa_tenggara,pltp_atadei,geothermal,10,0,2024/26,Plan,PLN,,1,3440000,0,0,43000,0,0.22,10,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
93,2,nusa_tenggara,east_nusa_tenggara,pltu_alor,coal,6,0,2025,Construction,PLN,,-1,1600000,0,0,43900,0,0.12,6,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
94,2,nusa_tenggara,east_nusa_tenggara,plts_dedieselisasi,solar,5,0,2025,Plan,IPP,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
95,2,nusa_tenggara,east_nusa_tenggara,pltm_flores,hydropower,5,0,2025,Plan,PLN,,1,2200000,0,0,40200,0,0.48,5,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
96,2,nusa_tenggara,east_nusa_tenggara,pltu_rote_ndao,coal,6,0,2025,Construction,PLN,,-1,1600000,0,0,43900,0,0.12,6,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
97,2,nusa_tenggara,east_nusa_tenggara,pltm_sumba,hydropower,5,0,2025,Plan,PLN,,1,2200000,0,0,40200,0,0.48,5,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
98,2,nusa_tenggara,east_nusa_tenggara,pltp_ulumbu_5,geothermal,20,0,2025,Plan,PLN,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
99,2,nusa_tenggara,east_nusa_tenggara,pltp_mataloko_ftp2,geothermal,20,0,2025/26,Plan,PLN,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
100,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2026,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
101,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2026,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
102,2,nusa_tenggara,east_nusa_tenggara,plt_ebt_base_timor_2,gas,50,0,2026,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
103,2,nusa_tenggara,east_nusa_tenggara,pltu_atambua,coal,24,0,2027,Construction,PLN,,-1,1600000,0,0,43900,0,0.12,24,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0
104,2,nusa_tenggara,east_nusa_tenggara,pltp_ulumbu_6,geothermal,20,0,2027,Plan,PLN,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
105,2,nusa_tenggara,east_nusa_tenggara,pltp_oka_ile_ange_ftp2,geothermal,10,0,2028,Plan,PLN,,1,3440000,0,0,43000,0,0.22,10,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
106,2,nusa_tenggara,east_nusa_tenggara,plts_rote,solar,1,0,2028,Plan,PLN,,1,560000,0,0,10000,0,0,1,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
107,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2028,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
108,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2028,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
109,2,nusa_tenggara,east_nusa_tenggara,plt_ebt_base_timor_3,gas,50,0,2028,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
110,2,nusa_tenggara,east_nusa_tenggara,pltp_gunung_sirung,geothermal,5,0,2029,Plan,PLN,,1,3440000,0,0,43000,0,0.22,5,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
111,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2030,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
112,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2030,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
113,2,nusa_tenggara,east_nusa_tenggara,east_nusa_tenggara_solar_potential_ruen,solar,7272,0,,,,,1,560000,0,0,10000,0,0,7272,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
