Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19,demand_ip20,demand_ip21
,,,,,,,,,42,6,12,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,43,6,12,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,44,6,12,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,45,6,12,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,46,6,12,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,47,6,12,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,48,6,12,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,49,6,13,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,50,6,13,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,51,6,13,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,52,6,13,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,53,6,13,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,54,6,13,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,55,6,13,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,56,6,13,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,57,6,13,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,58,6,13,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,59,6,13,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,60,6,13,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,61,6,13,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,62,6,13,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,63,6,13,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,64,6,13,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,65,6,13,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,66,6,13,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,67,6,13,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,68,6,13,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,69,6,13,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,70,6,13,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,71,6,13,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,72,6,13,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,73,6,14,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,74,6,14,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,75,6,14,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,76,6,14,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,77,6,14,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,78,6,14,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,79,6,14,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,80,6,14,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,81,6,14,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,82,6,14,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,83,6,14,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,84,6,14,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,85,6,14,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,86,6,14,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,87,6,14,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,88,6,14,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,89,6,14,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,90,6,14,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,91,6,14,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,92,6,14,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,93,6,14,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,94,6,14,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,95,6,14,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,96,6,14,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,97,6,15,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,98,6,15,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,99,6,15,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,100,6,15,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,101,6,15,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,102,6,15,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,103,6,15,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,104,6,15,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,105,6,15,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,106,6,15,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,107,6,15,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,108,6,15,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,109,6,15,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,110,6,15,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,111,6,15,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,112,6,15,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,113,6,15,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,114,6,15,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,115,6,15,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,116,6,15,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,117,6,15,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,118,6,15,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,119,6,15,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,120,6,15,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,121,6,16,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,122,6,16,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,123,6,16,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,124,6,16,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,125,6,16,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,126,6,16,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,127,6,16,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,128,6,16,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,129,6,16,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,130,6,16,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,131,6,16,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,132,6,16,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,133,6,16,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,134,6,16,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,135,6,16,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,136,6,16,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,137,6,16,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,138,6,16,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,139,6,16,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,140,6,16,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,141,6,16,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,142,6,16,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,143,6,16,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,144,6,16,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,145,6,17,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,146,6,17,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,147,6,17,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,148,6,17,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,149,6,17,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,150,6,17,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,151,6,17,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,152,6,17,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,153,6,17,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,154,6,17,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,155,6,17,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,156,6,17,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,157,6,17,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,158,6,17,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,159,6,17,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,160,6,17,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,161,6,17,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,162,6,17,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,163,6,17,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,164,6,17,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,165,6,17,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,166,6,17,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,167,6,17,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,168,6,17,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,169,1,15,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,170,1,15,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,171,1,15,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,172,1,15,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,173,1,15,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,174,1,15,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,175,1,15,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,176,1,15,8,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,177,1,15,9,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,178,1,15,10,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,179,1,15,11,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,180,1,15,12,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,181,1,15,13,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,182,1,15,14,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,183,1,15,15,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,184,1,15,16,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,185,1,15,17,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,186,1,15,18,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,3,10,4,14,6,0,5
,,,,,,,,,187,1,15,19,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,188,1,15,20,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,189,1,15,21,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,190,1,15,22,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,191,1,15,23,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,192,1,15,24,,48,3,4,28,0,2,2,2,2,2,3,37,2,0,2,10,3,14,4,0,5
,,,,,,,,,193,1,16,1,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,194,1,16,2,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,195,1,16,3,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,196,1,16,4,,42,3,4,28,0,2,2,1,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,197,1,16,5,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,198,1,16,6,,60,3,5,28,0,3,3,2,2,2,3,37,2,0,2,10,2,14,4,0,5
,,,,,,,,,199,1,16,7,,60,3,5,28,0,3,3,2,2,3,3,37,2,0,2,10,2,14,4,0,5
