R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
16,2,jawa_bali,banten,2,cemindo_gemilang_power_station_geothermal,,geothermal,74.472756,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,2,1,3440000,0,0,43000,0,0.22,74.472756,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
17,2,jawa_bali,banten,2,cemindo_gemilang_power_station_geothermal,,geothermal,139.40282,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,2.5,1,3440000,0,0,43000,0,0.22,139.40282,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
18,2,jawa_bali,banten,2,cemindo_gemilang_power_station_geothermal,,geothermal,139.401765,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,3,1,3440000,0,0,43000,0,0.22,139.401765,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
19,2,jawa_bali,banten,2,cemindo_gemilang_power_station_solar,,solar,614.099745,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,1,1,560000,0,0,10000,0,0,614.099745,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
20,2,jawa_bali,banten,2,cemindo_gemilang_power_station_solar,,solar,6920.633272,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,1.5,1,560000,0,0,10000,0,0,6920.633272,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
21,2,jawa_bali,banten,2,cemindo_gemilang_power_station_solar,,solar,178.734615,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,2,1,560000,0,0,10000,0,0,178.734615,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
22,2,jawa_bali,banten,2,cemindo_gemilang_power_station_solar,,solar,22.779537,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,2.5,1,560000,0,0,10000,0,0,22.779537,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
23,2,jawa_bali,banten,2,cemindo_gemilang_power_station_solar,,solar,334.564236,0,,,,,,,,,,,,,,,,,,,-6.950808,106.2501579,Gardu Induk Bayah,0.592144262,3,1,560000,0,0,10000,0,0,334.564236,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
24,2,jawa_bali,banten,3,cilegon_ptip_power_station_unit_1,,coal_captive,40,0,operating,2017,,chemicals,,,pt_indorama_petrochemicals,indorama_ventures_europe_bv,netherlands,,,,,no,subcritical,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,4,-1,1600000,0,0,43900,0,0.12,40,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
25,2,jawa_bali,banten,3,cilegon_ptip_power_station_geothermal,,geothermal,344.317985,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,1,1,3440000,0,0,43000,0,0.22,344.317985,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
26,2,jawa_bali,banten,3,cilegon_ptip_power_station_geothermal,,geothermal,5652.756373,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,1.5,1,3440000,0,0,43000,0,0.22,5652.756373,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
27,2,jawa_bali,banten,3,cilegon_ptip_power_station_geothermal,,geothermal,340.500439,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,2,1,3440000,0,0,43000,0,0.22,340.500439,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
28,2,jawa_bali,banten,3,cilegon_ptip_power_station_geothermal,,geothermal,407.455521,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,2.5,1,3440000,0,0,43000,0,0.22,407.455521,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
29,2,jawa_bali,banten,3,cilegon_ptip_power_station_geothermal,,geothermal,439.986712,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,3,1,3440000,0,0,43000,0,0.22,439.986712,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
30,2,jawa_bali,banten,3,cilegon_ptip_power_station_solar,,solar,344.376764,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,1,1,560000,0,0,10000,0,0,344.376764,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
31,2,jawa_bali,banten,3,cilegon_ptip_power_station_solar,,solar,10357.87471,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,1.5,1,560000,0,0,10000,0,0,10357.87471,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
32,2,jawa_bali,banten,3,cilegon_ptip_power_station_solar,,solar,803.429662,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,2,1,560000,0,0,10000,0,0,803.429662,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
33,2,jawa_bali,banten,3,cilegon_ptip_power_station_solar,,solar,65.465003,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,2.5,1,560000,0,0,10000,0,0,65.465003,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
34,2,jawa_bali,banten,3,cilegon_ptip_power_station_solar,,solar,1055.96811,0,,,,,,,,,,,,,,,,,,,-6.0238894,105.9501269,Gardu Induk Polyprima,0.054894458,3,1,560000,0,0,10000,0,0,1055.96811,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
35,2,jawa_bali,banten,4,dss_serang_power_station_unit_1,,coal_captive,35,0,operating,2004,,pulp_paper,,,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia,,,,,no,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,4,-1,1600000,0,0,43900,0,0.12,35,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
36,2,jawa_bali,banten,4,dss_serang_power_station_unit_2,,coal_captive,35,0,operating,2004,,pulp_paper,,,pt_dian_swastatika_sentosa_tbk,sinar_mas_group_599,indonesia,,,,,no,,,,,-6.12543501,106.2892051,Gardu Induk Indah Kiat (IKPP),0.509927225,4,-1,1600000,0,0,43900,0,0.12,35,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
