R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
291,6,jawa_bali,east_jawa,east_jawa_geothermal_potential_ruen,geothermal,1012,0,,potential,,,1,3440000,0,0,43000,0,0.22,220,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,,,,1,
292,7,jawa_bali,bali,bali_geothermal_potential_ruen,geothermal,262,0,,potential,,,1,3440000,0,0,43000,0,0.22,220,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,,,,1,
293,1,jawa_bali,dki_jakarta,dki_jakarta_hydropower_potential_ruen,hydropower,0,0,,potential,,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
294,2,jawa_bali,banten,banten_hydropower_potential_ruen,hydropower,0,0,,potential,,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
295,3,jawa_bali,west_jawa,west_jawa_hydropower_potential_ruen,hydropower,2861,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
296,4,jawa_bali,central_jawa,central_jawa_hydropower_potential_ruen,hydropower,813,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
297,5,jawa_bali,yogyakarta,yogyakarta_hydropower_potential_ruen,hydropower,0,0,,potential,,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
298,6,jawa_bali,east_jawa,east_jawa_hydropower_potential_ruen,hydropower,525,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
299,7,jawa_bali,bali,bali_hydropower_potential_ruen,hydropower,208,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
300,1,jawa_bali,dki_jakarta,dki_jakarta_hydropower_mini_potential_ruen,hydropower_mini,0,0,,potential,,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
301,2,jawa_bali,banten,banten_hydropower_mini_potential_ruen,hydropower_mini,72,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
302,3,jawa_bali,west_jawa,west_jawa_hydropower_mini_potential_ruen,hydropower_mini,647,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
303,4,jawa_bali,central_jawa,central_jawa_hydropower_mini_potential_ruen,hydropower_mini,1044,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
304,5,jawa_bali,yogyakarta,yogyakarta_hydropower_mini_potential_ruen,hydropower_mini,5,0,,potential,,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
305,6,jawa_bali,east_jawa,east_jawa_hydropower_mini_potential_ruen,hydropower_mini,1142,0,,potential,,,1,2000000,0,0,36200,0,0.62,180,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
306,7,jawa_bali,bali,bali_hydropower_mini_potential_ruen,hydropower_mini,15,0,,potential,,,1,2200000,0,0,40200,0,0.48,43,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,,,,1,
307,1,jawa_bali,dki_jakarta,dki_jakarta_biomass_potential_ruen,biomass,0.5,0,,potential,,,1,1820000,0,0,43800,0,2.8,9.8,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
308,2,jawa_bali,banten,banten_biomass_potential_ruen,biomass,347,0,,potential,,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
309,3,jawa_bali,west_jawa,west_jawa_biomass_potential_ruen,biomass,1980,0,,potential,,,1,1820000,0,0,43800,0,2.8,1,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
310,4,jawa_bali,central_jawa,central_jawa_biomass_potential_ruen,biomass,1884,0,,potential,,,1,1820000,0,0,43800,0,2.8,9.8,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
311,5,jawa_bali,yogyakarta,yogyakarta_biomass_potential_ruen,biomass,183,0,,potential,,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
312,6,jawa_bali,east_jawa,east_jawa_biomass_potential_ruen,biomass,2851,0,,potential,,,1,1820000,0,0,43800,0,2.8,1,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,,,,1,
