R_ID,Zone,Village,Resource,technology,owner,Existing_Cap_MW,Existing_Cap_MWh,New_Build,Max_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,STOR,VRE,RE,THERM
37,1,13,pltd_bel13,diesel,village_coop,0.2672,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
38,1,13,plts_bel13,solar,village_coop,0.0,0,1,1928.7,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
39,1,13,batt_bel13,battery,village_coop,0,0,1,0,9173,32104,5625,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
40,1,14,pltd_bel14,diesel,village_coop,0.2055,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
41,1,14,plts_bel14,solar,village_coop,0.0,0,1,3066.7,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
42,1,14,batt_bel14,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
43,1,15,pltd_bel15,diesel,village_coop,0.1749,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
44,1,15,plts_bel15,solar,village_coop,0.0,0,1,1702.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
45,1,15,batt_bel15,battery,village_coop,0,0,1,0,9173,32104,5625,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
46,1,16,pltd_bel16,diesel,village_coop,0.4908,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
47,1,16,plts_bel16,solar,village_coop,0.0,0,1,3233,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
48,1,16,batt_bel16,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
49,1,17,pltd_bel17,diesel,village_coop,0.2234,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
50,1,17,plts_bel17,solar,village_coop,0.0,0,1,1477.2,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
51,1,17,batt_bel17,battery,village_coop,0,0,1,0,9173,32104,5625,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
52,1,18,pltd_bel18,diesel,village_coop,0.1297,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
53,1,18,plts_bel18,solar,village_coop,0.0,0,1,3216.2,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
54,1,18,batt_bel18,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
55,1,19,pltd_bel19,diesel,village_coop,0.203,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
56,1,19,plts_bel19,solar,village_coop,0.0,0,1,2709,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
57,1,19,batt_bel19,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
58,1,20,pltd_bel20,diesel,village_coop,0.0444,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
59,1,20,plts_bel20,solar,village_coop,0.0,0,1,2439.5,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
60,1,20,batt_bel20,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
61,1,21,pltd_bel21,diesel,village_coop,0.1664,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
62,1,21,plts_bel21,solar,village_coop,0.0,0,1,3056.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
63,1,21,batt_bel21,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
64,1,22,pltd_bel22,diesel,village_coop,0.1183,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
65,1,22,plts_bel22,solar,village_coop,0.0,0,1,2293.5,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
66,1,22,batt_bel22,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
67,1,23,pltd_bel23,diesel,village_coop,0.1143,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
68,1,23,plts_bel23,solar,village_coop,0.0,0,1,3066.7,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
69,1,23,batt_bel23,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
70,1,24,pltd_bel24,diesel,village_coop,0.0672,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
71,1,24,plts_bel24,solar,village_coop,0.0,0,1,2965.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
72,1,24,batt_bel24,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
73,1,25,pltd_bel25,diesel,village_coop,0.049,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
74,1,25,plts_bel25,solar,village_coop,0.0,0,1,2152.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
75,1,25,batt_bel25,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
76,1,26,pltd_bel26,diesel,village_coop,0.1371,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
77,1,26,plts_bel26,solar,village_coop,0.0,0,1,2270.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
78,1,26,batt_bel26,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
79,1,27,pltd_bel27,diesel,village_coop,0.1254,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
80,1,27,plts_bel27,solar,village_coop,0.0,0,1,2207.6,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
81,1,27,batt_bel27,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
82,1,28,pltd_bel28,diesel,village_coop,0.093,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
83,1,28,plts_bel28,solar,village_coop,0.0,0,1,1922.9,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
84,1,28,batt_bel28,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
85,1,29,pltd_bel29,diesel,village_coop,0.0662,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
86,1,29,plts_bel29,solar,village_coop,0.0,0,1,3066.7,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
87,1,29,batt_bel29,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
88,1,30,pltd_bel30,diesel,village_coop,0.0508,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
89,1,30,plts_bel30,solar,village_coop,0.0,0,1,945.2,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
90,1,30,batt_bel30,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
91,1,31,pltd_bel31,diesel,village_coop,0.1035,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
92,1,31,plts_bel31,solar,village_coop,0.0,0,1,1604.7,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
93,1,31,batt_bel31,battery,village_coop,0,0,1,0,0,41277,1250,2000,1,0,1,1,0,0,0,0,None,0,0,0.92,0.92,1,0,0,0
94,1,32,pltd_bel32,diesel,village_coop,0.1553,0,0,0,0,0,18000,0,8.0,0,1.0,1.0,0,0,0,10.5,diesel,0,0,1,1,0,0,0,1
95,1,32,plts_bel32,solar,village_coop,0.0,0,1,2164,59215,0,10750,0,0,0,1,1,0,0,0,0,None,0,0,1,1,0,1,1,0
