Village,kabupaten,kecamatan,desa,archetype,households,ghi,ghi_matched,lat,lon,annual_kwh,peak_mw,diesel_mw
50,BELU,RAI MANUK,MANDEU,rice,762,5.6276,True,-9.30568838798459,124.8733514768248,945642,0.21341,0.2348
51,BELU,RAI MANUK,MANDEU RAIMANUS,rice,478,5.4648,True,-9.350889883446746,124.9151044228672,593198,0.13387,0.1473
52,BELU,RAI MANUK,RAFAE,rice,520,5.582,True,-9.334395772899244,124.8709633244761,645320,0.14563,0.1602
53,BELU,RAI MANUK,RENRUA,rice,446,5.5091,True,-9.371868740873769,124.9574932138848,553486,0.12491,0.1374
54,BELU,RAI MANUK,TASAIN,horticulture,410,5.6079,True,-9.359571714403016,124.8489133501756,508810,0.11483,0.1263
55,BELU,RAI MANUK,TEUN,rice,670,5.4982,True,-9.365681866048488,124.8814469787683,831470,0.18764,0.2064
56,BELU,RAIHAT,AITOUN,rice,518,5.3802,True,-9.05524897029047,125.1411687077674,642838,0.14507,0.1596
57,BELU,RAIHAT,ASUMANU,rice,562,5.3727,True,-9.034102938240192,125.0878493467668,697442,0.1574,0.1731
58,BELU,RAIHAT,MAUMUTIN,rice,804,5.5036,True,-9.007708192727506,125.1308398209848,997764,0.22517,0.2477
59,BELU,RAIHAT,RAIFATUS,rice,254,5.3905,True,-9.053986676477855,125.1235176187817,315214,0.07114,0.0783
60,BELU,RAIHAT,TOHE,rice,1372,5.4651,True,-9.009831122886585,125.1104180312812,1702652,0.38425,0.4227
61,BELU,RAIHAT,TOHE LETEN,rice,181,5.3721,True,-9.072190360752652,125.1059957851396,224621,0.05069,0.0558
62,BELU,TASIFETO BARAT,BAKUSTULAMA,rice,930,5.501,True,-9.241533446379584,124.8851403420126,1154130,0.26046,0.2865
63,BELU,TASIFETO BARAT,DEROK FATURENE,rice,367,5.449,False,,,455447,0.10278,0.1131
64,BELU,TASIFETO BARAT,LAWALUTOLUS,rice,343,5.5318,True,-9.28690429646604,124.9120381825492,425663,0.09606,0.1057
65,BELU,TASIFETO BARAT,LOOKEU,rice,168,5.4072,True,-9.210630402374424,124.9612715894952,208488,0.04705,0.0518
66,BELU,TASIFETO BARAT,NAEKASA,rice,1452,5.4437,True,-9.184060500494052,124.8740070460746,1801932,0.40666,0.4473
67,BELU,TASIFETO BARAT,NAITIMU,rice,1172,5.5753,True,-9.273351984761373,124.8898283408177,1454452,0.32824,0.3611
68,BELU,TASIFETO BARAT,RINBESIHAT,rice,591,5.5968,True,-9.284469535652176,124.8619058095663,733431,0.16552,0.1821
69,BELU,TASIFETO BARAT,TUKUNENO,rice,1118,5.4308,True,-9.152859066296855,124.8433740528104,1387438,0.31311,0.3444
70,BELU,TASIFETO TIMUR,BAUHO,rice,205,5.3765,True,-9.091057531205768,124.9886007219215,254405,0.05741,0.0632
71,BELU,TASIFETO TIMUR,DAFALA,rice,482,5.3956,True,-9.168637765699437,124.9703213214636,598162,0.13499,0.1485
72,BELU,TASIFETO TIMUR,FATUBA A,rice,418,5.449,False,,,518738,0.11707,0.1288
73,BELU,TASIFETO TIMUR,HALIMODOK,rice,320,5.3252,True,-9.123361089139545,125.0124515829522,397120,0.08962,0.0986
74,BELU,TASIFETO TIMUR,MANLETEN,rice,2309,5.4302,True,-9.127366029349592,124.9490754397423,2865469,0.64667,0.7113
75,BELU,TASIFETO TIMUR,S A D I,rice,496,5.449,False,,,615536,0.13891,0.1528
76,BELU,TASIFETO TIMUR,SARABAU,rice,223,5.4198,True,-9.075907642578304,124.9908971649122,276743,0.06245,0.0687
77,BELU,TASIFETO TIMUR,SILAWAN,rice,1022,5.7999,True,-8.986734313331151,124.9283676899621,1268302,0.28623,0.3149
78,BELU,TASIFETO TIMUR,TAKIRIN,horticulture,324,5.3669,True,-9.15889272550711,125.0128396446905,402084,0.09074,0.0998
79,BELU,TASIFETO TIMUR,TIALAI,horticulture,215,5.4072,True,-9.17481515629172,124.9090114223354,266815,0.06021,0.0662
80,BELU,TASIFETO TIMUR,TULAKADI,plantation,350,5.6568,True,-9.03075605245612,124.9213381177877,434350,0.09802,0.1078
81,BELU,TASIFETO TIMUR,UMAKLARAN,rice,543,5.464,True,-9.09095832415644,124.9436558371755,673863,0.15208,0.1673
82,KUPANG,ALAK,ALAK,trade,2167,5.651,False,,,2689247,0.6069,0.6676
83,KUPANG,ALAK,BATUPLAT,trade,1190,5.651,False,,,1476790,0.33328,0.3666
