Village,kabupaten,kecamatan,desa,archetype,households,lat,lon,sited,solar_MW,solar_cap_MW,hubdist_km,hub_name,peak_mw
182,KUPANG,FATULEU BARAT,POTO,rice,718,-9.895241771981771,123.7381182239397,True,1414.3,1414.3,28.742,Gardu Induk Naibonat,0.20109
183,KUPANG,FATULEU BARAT,TUAKAU,rice,517,-9.771691907127115,123.7084349530312,True,2502.4,2502.4,42.512,Gardu Induk Naibonat,0.14479
184,KUPANG,FATULEU TENGAH,NONBAUN,rice,292,-9.898442835568252,123.891052408338,True,2342.5,2342.5,23.721,Gardu Induk Naibonat,0.08178
185,KUPANG,FATULEU TENGAH,NUNSAEN,rice,632,-9.959738348362604,123.8764293313547,True,2244.6,2244.6,16.763,Gardu Induk Naibonat,0.177
186,KUPANG,FATULEU TENGAH,OELBITENO,rice,362,-9.934669254430622,123.7953149773817,True,173.7,173.7,21.72,Gardu Induk Naibonat,0.10138
187,KUPANG,FATULEU TENGAH,PASSI,rice,223,-9.90898735044635,123.8491016443742,True,1022.1,1022.1,22.749,Gardu Induk Naibonat,0.06245
188,KUPANG,KELAPA LIMA,KELAPA LIMA,trade,3480,,,False,,3246.8,,,0.97463
189,KUPANG,KELAPA LIMA,LASIANA,trade,3208,,,False,,3246.8,,,0.89845
190,KUPANG,KELAPA LIMA,OESAPA,trade,10220,,,False,,3246.8,,,2.86227
191,KUPANG,KELAPA LIMA,OESAPA BARAT,trade,1911,,,False,,3246.8,,,0.53521
192,KUPANG,KELAPA LIMA,OESAPA SELATAN,government,589,,,False,,3246.8,,,0.16496
193,KUPANG,KOTA LAMA,AIR MATA,trade,455,,,False,,3246.8,,,0.12743
194,KUPANG,KOTA LAMA,BONIPOI,trade,340,,,False,,3246.8,,,0.09522
195,KUPANG,KOTA LAMA,FATUBESI,trade,1021,,,False,,3246.8,,,0.28595
196,KUPANG,KOTA LAMA,LAHILAI BISSI KOPAN,trade,200,,,False,,3246.8,,,0.05601
197,KUPANG,KOTA LAMA,MERDEKA,trade,269,-10.08206116682106,123.7775078558766,True,2339.8,2339.8,11.729,Gardu Induk Naibonat,0.07534
198,KUPANG,KOTA LAMA,NEFONAEK,trade,662,,,False,,3246.8,,,0.1854
199,KUPANG,KOTA LAMA,OEBA,trade,1121,,,False,,3246.8,,,0.31395
200,KUPANG,KOTA LAMA,PASIR PANJANG,trade,1366,,,False,,3246.8,,,0.38257
201,KUPANG,KOTA LAMA,SOLOR,trade,627,,,False,,3246.8,,,0.1756
202,KUPANG,KOTA LAMA,TODEKISAR,government,229,,,False,,3246.8,,,0.06414
203,KUPANG,KOTA RAJA,AIR NONA,trade,1441,,,False,,3246.8,,,0.40357
204,KUPANG,KOTA RAJA,BAKUNASE,horticulture,1154,,,False,,3246.8,,,0.3232
205,KUPANG,KOTA RAJA,BAKUNASE II,trade,1371,,,False,,3246.8,,,0.38397
206,KUPANG,KOTA RAJA,FONTEIN,trade,975,,,False,,3246.8,,,0.27306
207,KUPANG,KOTA RAJA,KUANINO,government,1193,,,False,,3246.8,,,0.33412
208,KUPANG,KOTA RAJA,NAIKOTEN I,trade,1658,,,False,,3246.8,,,0.46435
209,KUPANG,KOTA RAJA,NAIKOTEN II,government,472,,,False,,3246.8,,,0.13219
210,KUPANG,KOTA RAJA,NUNLEU,trade,1021,,,False,,3246.8,,,0.28595
211,KUPANG,KUPANG BARAT,BATAKTE,horticulture,356,-10.25756223791798,123.5549734576429,True,4462.0,4462.0,7.439,Gardu Induk Bolok,0.0997
212,KUPANG,KUPANG BARAT,BOLOK,trade,720,-10.23430778630714,123.5132267987904,True,2812.5,2812.5,2.516,Gardu Induk Bolok,0.20165
213,KUPANG,KUPANG BARAT,KUANHEUM,rice,411,-10.17367464530846,123.867483017995,True,4555.8,4555.8,7.548,Gardu Induk Naibonat,0.11511
214,KUPANG,KUPANG BARAT,LIFULEO,rice,313,-10.33704008329197,123.4905556750941,True,2207.0,2207.0,11.153,Gardu Induk Bolok,0.08766
215,KUPANG,KUPANG BARAT,MANULAI I,trade,384,-10.23383839162601,123.5667745011958,True,4580.9,4580.9,5.472,Gardu Induk Tenau,0.10755
216,KUPANG,KUPANG BARAT,NITNEO,rice,344,-10.22526939723449,123.5315997488058,True,3649.9,3649.9,4.378,Gardu Induk Tenau,0.09634
217,KUPANG,KUPANG BARAT,OEMAT NUNU,horticulture,507,,,False,,3246.8,,,0.14199
218,KUPANG,KUPANG BARAT,OENAEK,rice,209,-10.28885647960539,123.5157473089659,True,3852.4,3852.4,6.331,Gardu Induk Bolok,0.05853
219,KUPANG,KUPANG BARAT,OENESU,horticulture,272,-10.27770810494749,123.5716602010425,True,4241.9,4241.9,8.7,Gardu Induk Maulafa,0.07618
220,KUPANG,KUPANG BARAT,SUMLILI,rice,514,-10.31107744687623,123.5458753698457,True,3614.7,3614.7,10.236,Gardu Induk Bolok,0.14395
221,KUPANG,KUPANG BARAT,TABLOLONG,fishing,329,-10.31626224432595,123.4851623941458,True,2537.7,2537.7,8.826,Gardu Induk Bolok,0.09497
222,KUPANG,KUPANG BARAT,TESABELA,fishing,290,-10.30431662235372,123.5071692921133,True,3462.7,3462.7,7.664,Gardu Induk Bolok,0.08801
223,KUPANG,KUPANG TENGAH,MATA AIR,trade,1312,-10.13310373239448,123.6937018351888,True,3144.3,3144.3,12.737,Gardu Induk Maulafa,0.36745
224,KUPANG,KUPANG TENGAH,NOELBAKI,rice,2328,-10.12769584050022,123.7131188753874,True,3330.1,3330.1,14.751,Gardu Induk Maulafa,0.65199
225,KUPANG,KUPANG TENGAH,OEBELO,rice,1202,-10.11242317947708,123.7514930160525,True,3315.0,3315.0,14.261,Gardu Induk Naibonat,0.33664
226,KUPANG,KUPANG TENGAH,OELNASI,rice,662,-10.16530848680534,123.7313316361229,True,4246.0,4246.0,14.309,Gardu Induk Maulafa,0.1854
227,KUPANG,KUPANG TENGAH,OELPUAH,rice,410,-10.15648686758159,123.7573664656656,True,4257.1,4257.1,14.663,Gardu Induk Naibonat,0.11483
228,KUPANG,KUPANG TENGAH,PENFUI TIMUR,trade,1210,-10.1634842596617,123.6909122852503,True,4338.0,4338.0,10.363,Gardu Induk Maulafa,0.33888
229,KUPANG,KUPANG TENGAH,TANAH MERAH,trade,1156,-10.11315831816019,123.7328864678388,True,2952.4,2952.4,16.334,Gardu Induk Naibonat,0.32376
230,KUPANG,KUPANG TENGAH,TARUS,trade,1457,-10.14233292242823,123.6869348020271,True,3397.2,3397.2,11.471,Gardu Induk Maulafa,0.40806
231,KUPANG,KUPANG TIMUR,BABAU,rice,1007,-10.08566351248552,123.7959215307992,True,3237.8,3237.8,9.643,Gardu Induk Naibonat,0.28203
232,KUPANG,KUPANG TIMUR,MANUSAK,rice,1038,-10.10094556358397,123.8829286417078,True,4675.0,4675.0,0.882,Gardu Induk Naibonat,0.29071
233,KUPANG,KUPANG TIMUR,MERDEKA,rice,710,-10.08206116682106,123.7775078558766,True,2339.8,2339.8,11.729,Gardu Induk Naibonat,0.19885
234,KUPANG,KUPANG TIMUR,NAIBONAT,rice,2183,-10.08846210948228,123.8454631039146,True,4691.6,4691.6,4.388,Gardu Induk Naibonat,0.61138
235,KUPANG,KUPANG TIMUR,NUNKURUS,rice,782,-10.0556452778186,123.8364061552588,True,3992.1,3992.1,7.62,Gardu Induk Naibonat,0.21901
236,KUPANG,KUPANG TIMUR,OEFAFI,rice,657,-10.15129625361104,123.787811742995,True,4406.3,4406.3,11.323,Gardu Induk Naibonat,0.184
237,KUPANG,KUPANG TIMUR,OELATIMO,rice,318,-10.01742997060835,123.8464105872053,True,3671.0,3671.0,10.882,Gardu Induk Naibonat,0.08906
238,KUPANG,KUPANG TIMUR,OESAO,livestock,1341,-10.14024693969046,123.8152125889271,True,4614.9,4614.9,8.035,Gardu Induk Naibonat,0.37557
239,KUPANG,KUPANG TIMUR,OESAO II,rice,307,,,False,,3246.8,,,0.08598
240,KUPANG,KUPANG TIMUR,PUKDALE,rice,648,-10.12120180915894,123.836873365423,True,4668.8,4668.8,4.977,Gardu Induk Naibonat,0.18148
241,KUPANG,KUPANG TIMUR,TANAH PUTIH,rice,337,-10.12840842250197,123.7663061991924,True,4324.2,4324.2,12.813,Gardu Induk Naibonat,0.09438
242,KUPANG,KUPANG TIMUR,TUAPUKAN,rice,725,-10.1096229341805,123.7734008243201,True,3678.3,3678.3,11.815,Gardu Induk Naibonat,0.20305
243,KUPANG,KUPANG TIMUR,TUATUKA,rice,547,-10.15896268650308,123.8389357235804,True,4547.2,4547.2,7.324,Gardu Induk Naibonat,0.1532
244,KUPANG,MAULAFA,BELLO,horticulture,2237,,,False,,3246.8,,,0.62651
245,KUPANG,MAULAFA,FATUKOA,horticulture,1506,,,False,,3246.8,,,0.42178
246,KUPANG,MAULAFA,KOLHUA,rice,2358,,,False,,3246.8,,,0.6604
247,KUPANG,MAULAFA,MAULAFA,trade,2866,,,False,,3246.8,,,0.80267
248,KUPANG,MAULAFA,NAIKOLAN,trade,1449,,,False,,3246.8,,,0.40582
249,KUPANG,MAULAFA,NAIMATA,trade,2052,,,False,,3246.8,,,0.5747
250,KUPANG,MAULAFA,OEPURA,trade,2194,,,False,,3246.8,,,0.61446
251,KUPANG,MAULAFA,PENFUI,government,2102,,,False,,3246.8,,,0.5887
252,KUPANG,MAULAFA,SIKUMANA,trade,4176,,,False,,3246.8,,,1.16956
253,KUPANG,NEKAMESE,BESMARAK,rice,263,,,False,,3246.8,,,0.07366
254,KUPANG,NEKAMESE,BONE,rice,322,-10.33151221206044,123.5880121848395,True,2926.0,2926.0,13.812,Gardu Induk Maulafa,0.09018
255,KUPANG,NEKAMESE,OBEN,horticulture,375,-10.2639975874403,123.6854868757562,True,3486.8,3486.8,10.12,Gardu Induk Maulafa,0.10502
256,KUPANG,NEKAMESE,OELOMIN,horticulture,436,-10.23089924847382,123.6344739020281,True,4563.0,4563.0,3.336,Gardu Induk Maulafa,0.12211
257,KUPANG,NEKAMESE,OEMASI,rice,258,-10.26745973505974,123.6479062717095,True,3749.7,3749.7,7.485,Gardu Induk Maulafa,0.07226
258,KUPANG,NEKAMESE,OENIF,rice,166,-10.30750591717954,123.6503173977123,True,3233.3,3233.3,11.66,Gardu Induk Maulafa,0.04649
259,KUPANG,NEKAMESE,OEPAHA,rice,146,-10.33737694109312,123.6487246822376,True,2737.5,2737.5,14.805,Gardu Induk Maulafa,0.04089
260,KUPANG,NEKAMESE,TALOETAN,livestock,213,-10.3044467591289,123.594461858887,True,3817.6,3817.6,10.669,Gardu Induk Maulafa,0.05965
261,KUPANG,NEKAMESE,TASIKONA,rice,147,-10.34934258781391,123.6196268149802,True,2246.4,2246.4,15.599,Gardu Induk Maulafa,0.04117
262,KUPANG,NEKAMESE,TUNFEU,horticulture,461,-10.23862260011677,123.6530088473548,True,4339.4,4339.4,5.513,Gardu Induk Maulafa,0.12911
263,KUPANG,NEKAMESE,USAPISONBAI,rice,222,,,False,,3246.8,,,0.06217
264,KUPANG,OEBOBO,FATULULI,trade,2992,,,False,,3246.8,,,0.83796
265,KUPANG,OEBOBO,KAYU PUTIH,trade,1133,,,False,,3246.8,,,0.31731
266,KUPANG,OEBOBO,LILIBA,government,3528,,,False,,3246.8,,,0.98807
267,KUPANG,OEBOBO,OEBOBO,trade,2867,,,False,,3246.8,,,0.80295
268,KUPANG,OEBOBO,OEBUFU,trade,4165,,,False,,3246.8,,,1.16647
269,KUPANG,OEBOBO,OETETE,government,1106,,,False,,3246.8,,,0.30975
270,KUPANG,OEBOBO,TUAK DAUN MERAH,trade,1746,,,False,,3246.8,,,0.489
271,KUPANG,SEMAU,BATUINAN,rice,107,-10.15089111600553,123.4006590596004,True,2470.1,2470.1,14.117,Gardu Induk Bolok,0.02997
272,KUPANG,SEMAU,BOKONUSAN,rice,330,-10.22748368571928,123.3796054644704,True,3170.2,3170.2,12.465,Gardu Induk Bolok,0.09242
273,KUPANG,SEMAU,HANSISI,rice,419,-10.17334680007152,123.4833102448254,True,1845.8,1845.8,7.311,Gardu Induk Tenau,0.11735
274,KUPANG,SEMAU,HUILELOT,rice,235,-10.20616334257553,123.4356125531253,True,2585.1,2585.1,7.169,Gardu Induk Bolok,0.06582
275,KUPANG,SEMAU,LETBAUN,rice,139,-10.14655046644527,123.4205683102965,True,3142.5,3142.5,13.022,Gardu Induk Bolok,0.03893
276,KUPANG,SEMAU,OTAN,rice,264,-10.17928758826456,123.3929859597742,True,2770.2,2770.2,12.803,Gardu Induk Bolok,0.07394
277,KUPANG,SEMAU,UIASA,rice,283,-10.15136716643855,123.4532256449554,True,3185.4,3185.4,10.712,Gardu Induk Bolok,0.07926
278,KUPANG,SEMAU,UITAO,rice,256,-10.18571703768007,123.4160179086501,True,3816.3,3816.3,10.262,Gardu Induk Bolok,0.0717
279,KUPANG,SEMAU SELATAN,AKLE,fishing,326,-10.31054245418232,123.3844826015886,True,2274.4,2274.4,14.393,Gardu Induk Bolok,0.09443
280,KUPANG,SEMAU SELATAN,NAIKEAN,horticulture,186,-10.308541784777,123.3298532681281,True,2352.2,2352.2,19.615,Gardu Induk Bolok,0.05209
281,KUPANG,SEMAU SELATAN,ONANSILA,rice,163,-10.25734606698883,123.3864994451068,True,3538.0,3538.0,11.83,Gardu Induk Bolok,0.04565
282,KUPANG,SEMAU SELATAN,UIBOA,horticulture,258,-10.25533537736204,123.3424190660017,True,3611.1,3611.1,16.652,Gardu Induk Bolok,0.07226
283,KUPANG,SEMAU SELATAN,UITIUH ANA,horticulture,476,-10.28068695792341,123.3890133793015,True,3328.4,3328.4,12.32,Gardu Induk Bolok,0.13331
284,KUPANG,SEMAU SELATAN,UITIUHTUAN,horticulture,210,,,False,,3246.8,,,0.05881
285,KUPANG,SULAMU,BIPOLO,rice,551,-9.995072609443394,123.8130112444474,True,2408.1,2408.1,14.758,Gardu Induk Naibonat,0.15432
286,KUPANG,SULAMU,OETETA,rice,745,-9.994292672515783,123.7708522843272,True,2702.3,2702.3,17.651,Gardu Induk Naibonat,0.20865
287,KUPANG,SULAMU,PANTAI BERINGIN,rice,192,-9.994069459523864,123.6827935382028,True,3041.2,3041.2,25.406,Gardu Induk Naibonat,0.05377
288,KUPANG,SULAMU,PANTULAN,rice,259,-9.970079869031952,123.6061527437338,True,3451.0,3451.0,25.682,Gardu Induk Tenau,0.07254
289,KUPANG,SULAMU,PARITI,rice,994,-9.98924229109228,123.7251184579774,True,3439.8,3439.8,21.81,Gardu Induk Naibonat,0.27839
290,KUPANG,SULAMU,PITAI,rice,263,-9.986863173539984,123.6531419017718,True,3667.9,3667.9,25.796,Gardu Induk Tenau,0.07366
291,KUPANG,SULAMU,SULAMU,fishing,1292,-10.01619489728041,123.6037731202064,True,2311.4,2311.4,20.605,Gardu Induk Tenau,0.26684
292,KUPANG,TAEBENU,BAUMATA,rice,558,-10.19930597762545,123.6764636896695,True,4316.3,4316.3,7.34,Gardu Induk Maulafa,0.15628
293,KUPANG,TAEBENU,BAUMATA BARAT,government,885,-10.18711830214112,123.6700359971966,True,4366.5,4366.5,7.059,Gardu Induk Maulafa,0.24786
294,KUPANG,TAEBENU,BAUMATA TIMUR,rice,603,-10.2050681046232,123.7067204523786,True,4172.7,4172.7,10.6,Gardu Induk Maulafa,0.16888
295,KUPANG,TAEBENU,BAUMATA UTARA,rice,420,-10.1869485406284,123.7113558961912,True,4156.8,4156.8,11.437,Gardu Induk Maulafa,0.11763
296,KUPANG,TAEBENU,BOKONG,rice,678,-10.20801539002368,123.764619119474,True,3682.0,3682.0,17.024,Gardu Induk Maulafa,0.18988
297,KUPANG,TAEBENU,KUAKLALO,rice,152,-10.2280969049649,123.7107369545831,True,3750.5,3750.5,11.176,Gardu Induk Maulafa,0.04257
298,KUPANG,TAEBENU,OELETSALA,rice,371,-10.24000278971844,123.6975466615567,True,3672.0,3672.0,10.075,Gardu Induk Maulafa,0.1039
299,KUPANG,TAEBENU,OELTUA,rice,952,,,False,,3246.8,,,0.26662
300,KUPANG,TAKARI,BENU,rice,587,-9.95012602103088,124.031785840066,True,4278.7,4278.7,24.612,Gardu Induk Naibonat,0.1644
301,KUPANG,TAKARI,FATUKONA,rice,436,-9.892977547553908,123.9793094637688,True,4010.1,4010.1,26.722,Gardu Induk Naibonat,0.12211
302,KUPANG,TAKARI,HUEKNUTU,rice,595,-9.872575102969382,124.0267264335277,True,4125.9,4125.9,29.785,Gardu Induk Nonohonis,0.16664
303,KUPANG,TAKARI,KAUNIKI,rice,632,-9.814137384371898,124.0441331684746,True,3599.8,3599.8,27.181,Gardu Induk Nonohonis,0.177
304,KUPANG,TAKARI,NOELMINA,rice,578,-9.99467818763396,124.1040986140407,True,3301.1,3301.1,28.091,Gardu Induk Naibonat,0.16188
305,KUPANG,TAKARI,OELNAINENO,rice,661,-9.83055571352519,123.9486283680183,True,3695.4,3695.4,32.287,Gardu Induk Naibonat,0.18512
306,KUPANG,TAKARI,OESUSU,rice,495,-9.99257151762792,124.0186383668872,True,4119.9,4119.9,20.25,Gardu Induk Naibonat,0.13863
307,KUPANG,TAKARI,TAKARI,rice,879,-9.992498035626758,124.0588833934697,True,3803.2,3803.2,23.856,Gardu Induk Naibonat,0.24618
308,KUPANG,TAKARI,TANINI,rice,593,-9.815853859261829,123.8976254918289,True,3224.6,3224.6,33.08,Gardu Induk Naibonat,0.16608
309,KUPANG,TAKARI,TUAPANAF,rice,564,-9.919649405680806,124.0585237521951,True,3698.2,3698.2,28.083,Gardu Induk Nonohonis,0.15796
310,TIMOR TENGAH SELATAN,AMANATUN SELATAN,ANIN,livestock,408,-9.837922205648098,124.5863680138454,True,2433.5,2433.5,33.266,Gardu Induk Nonohonis,0.11427
311,TIMOR TENGAH SELATAN,AMANATUN SELATAN,FAE,rice,228,-9.84958690480842,124.6015685838513,True,2394.5,2394.5,35.068,Gardu Induk Nonohonis,0.06386
312,TIMOR TENGAH SELATAN,AMANATUN SELATAN,FATULUNU,rice,363,-9.86378653639524,124.6268761005017,True,1939.3,1939.3,38.06,Gardu Induk Nonohonis,0.10166
313,TIMOR TENGAH SELATAN,AMANATUN SELATAN,FENUN,rice,543,-9.852462282646542,124.631660711471,True,1985.6,1985.6,38.433,Gardu Induk Nonohonis,0.15208
314,TIMOR TENGAH SELATAN,AMANATUN SELATAN,KOKOI,rice,417,-9.859406194896067,124.6031166069538,True,2216.9,2216.9,35.372,Gardu Induk Nonohonis,0.11679
315,TIMOR TENGAH SELATAN,AMANATUN SELATAN,KUALEU,rice,540,-9.743002571468534,124.3161889742346,True,3144.3,3144.3,8.92,Gardu Induk Nonohonis,0.15124
316,TIMOR TENGAH SELATAN,AMANATUN SELATAN,LANU,rice,268,-9.839189030643269,124.6559686153846,True,2180.7,2180.7,39.027,Gardu Induk Kefamenanu,0.07506
317,TIMOR TENGAH SELATAN,AMANATUN SELATAN,NETUTNANA,rice,375,-9.83809912578772,124.6113206986507,True,2390.8,2390.8,36.039,Gardu Induk Nonohonis,0.10502
318,TIMOR TENGAH SELATAN,AMANATUN SELATAN,NIFULEO,rice,324,-9.800612107930386,124.6002040268813,True,2486.0,2486.0,32.479,Gardu Induk Kefamenanu,0.09074
319,TIMOR TENGAH SELATAN,AMANATUN SELATAN,NUNLEU,rice,677,,,False,,3246.8,,,0.1896
320,TIMOR TENGAH SELATAN,AMANATUN SELATAN,OINLASI,rice,526,-9.852129286818323,124.5808422374266,True,2409.5,2409.5,32.808,Gardu Induk Nonohonis,0.14731
321,TIMOR TENGAH SELATAN,AMANATUN SELATAN,SUNU,rice,384,-9.82367500250686,124.6429967991092,True,2300.9,2300.9,36.808,Gardu Induk Kefamenanu,0.10755
322,TIMOR TENGAH SELATAN,AMANATUN SELATAN,TOI,rice,328,,,False,,3246.8,,,0.09186
323,TIMOR TENGAH SELATAN,AMANATUN UTARA,FATILO,rice,622,,,False,,3246.8,,,0.1742
324,TIMOR TENGAH SELATAN,AMANATUN UTARA,FATUONI,rice,621,,,False,,3246.8,,,0.17392
325,TIMOR TENGAH SELATAN,AMANATUN UTARA,LILO,plantation,514,-9.722499724272216,124.7229316187356,True,2991.5,2991.5,33.31,Gardu Induk Kefamenanu,0.14395
326,TIMOR TENGAH SELATAN,AMANATUN UTARA,MUNA,plantation,362,-9.7011997869158,124.7143342366132,True,2986.8,2986.8,31.055,Gardu Induk Kefamenanu,0.10138
327,TIMOR TENGAH SELATAN,AMANATUN UTARA,NASI,rice,481,-9.717621374524809,124.6633022564091,True,2951.2,2951.2,28.136,Gardu Induk Kefamenanu,0.13471
328,TIMOR TENGAH SELATAN,AMANATUN UTARA,SNOK,rice,652,-9.699250839625774,124.6845548211717,True,2868.2,2868.2,28.36,Gardu Induk Kefamenanu,0.1826
329,TIMOR TENGAH SELATAN,AMANATUN UTARA,SONO,plantation,801,-9.682074350606664,124.7332413474013,True,3080.2,3080.2,31.54,Gardu Induk Kefamenanu,0.22433
330,TIMOR TENGAH SELATAN,AMANATUN UTARA,TAUANAS,plantation,256,-9.719258224252789,124.7475910465569,True,3311.8,3311.8,35.237,Gardu Induk Kefamenanu,0.0717
331,TIMOR TENGAH SELATAN,AMANATUN UTARA,TUMU,plantation,677,-9.656490671197057,124.6895462090754,True,2870.3,2870.3,25.885,Gardu Induk Kefamenanu,0.1896
332,TIMOR TENGAH SELATAN,AMANUBAN BARAT,HAUMENIBAKI,rice,383,,,False,,3246.8,,,0.10727
333,TIMOR TENGAH SELATAN,AMANUBAN BARAT,MNELALETE,horticulture,1946,-9.886961580712324,124.3060476797739,True,3870.7,3870.7,8.145,Gardu Induk Nonohonis,0.54501
334,TIMOR TENGAH SELATAN,AMANUBAN BARAT,NIFUKANI,horticulture,572,-9.908326861780262,124.3010136037307,True,3639.1,3639.1,10.413,Gardu Induk Nonohonis,0.1602
335,TIMOR TENGAH SELATAN,AMANUBAN BARAT,NULLE,horticulture,1221,,,False,,3246.8,,,0.34196
336,TIMOR TENGAH SELATAN,AMANUBAN BARAT,NUSA,rice,639,-9.84743208695813,124.3887513979191,True,2952.0,2952.0,11.699,Gardu Induk Nonohonis,0.17896
337,TIMOR TENGAH SELATAN,AMANUBAN BARAT,PUSU,horticulture,591,-9.906371040820376,124.3303394901466,True,3478.3,3478.3,11.127,Gardu Induk Nonohonis,0.16552
338,TIMOR TENGAH SELATAN,AMANUBAN BARAT,TUBLOPO/MEOMETAN,horticulture,628,,,False,,3246.8,,,0.17588
339,TIMOR TENGAH SELATAN,AMANUBAN BARAT,TUBUHUE,rice,815,-9.891085655494193,124.2504248378222,True,3612.5,3612.5,9.369,Gardu Induk Nonohonis,0.22825
340,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,BATNUN,rice,674,-10.06773548677383,124.2530469755855,True,4036.4,4036.4,28.604,Gardu Induk Nonohonis,0.18876
341,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,BENA,rice,944,-10.12244278722823,124.2426730949113,True,4382.2,4382.2,34.891,Gardu Induk Nonohonis,0.26438
342,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,ENO NETTEN,rice,375,,,False,,3246.8,,,0.10502
343,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,KIUBAAT,rice,520,-10.03157718500616,124.2803325555122,True,3440.4,3440.4,24.262,Gardu Induk Nonohonis,0.14563
344,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,LINAMNUTU,rice,704,-10.03613969616051,124.1879612570709,True,3238.5,3238.5,27.164,Gardu Induk Nonohonis,0.19717
345,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,MIO,rice,523,-9.989528708647835,124.203685721324,True,3411.8,3411.8,21.649,Gardu Induk Nonohonis,0.14647
346,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,NOEMUKE,rice,705,-10.06333066936881,124.3383567999321,True,3312.8,3312.8,28.389,Gardu Induk Nonohonis,0.19745
347,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,OEBELO,rice,966,-10.13255153674344,124.2989267732412,True,4193.3,4193.3,35.683,Gardu Induk Nonohonis,0.27054
348,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,OEKIU,rice,385,-10.07786825500579,124.2947573328839,True,4134.7,4134.7,29.489,Gardu Induk Nonohonis,0.10783
349,TIMOR TENGAH SELATAN,AMANUBAN SELATAN,POLLO,rice,1156,-10.0589194431433,124.2200216053324,True,3826.3,3826.3,28.374,Gardu Induk Nonohonis,0.32376
350,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,BAKI,rice,250,-9.894067038413564,124.478815046357,True,2450.9,2450.9,22.926,Gardu Induk Nonohonis,0.07002
351,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,BONE,rice,274,-9.805264381493012,124.4613017620288,True,3363.0,3363.0,19.306,Gardu Induk Nonohonis,0.07674
352,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,MAUNUM NIKI NIKI,rice,527,,,False,,3246.8,,,0.14759
353,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,NAKFUNU,rice,242,-9.910526417129716,124.5001226795775,True,2453.0,2453.0,25.84,Gardu Induk Nonohonis,0.06778
354,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,NIKI NIKI,rice,768,,,False,,3246.8,,,0.21509
355,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,NOBI NOBI,rice,982,,,False,,3246.8,,,0.27502
356,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,NOEBESA,rice,221,-9.861884153757222,124.4654044630951,True,2852.4,2852.4,20.358,Gardu Induk Nonohonis,0.06189
357,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,OEEKAM,rice,248,,,False,,3246.8,,,0.06946
358,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,SOPO,rice,424,-9.783676649723116,124.4661673776433,True,3230.5,3230.5,20.157,Gardu Induk Nonohonis,0.11875
359,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,TAEBESA,rice,279,-9.9414360237378,124.4908847424014,True,2586.8,2586.8,26.576,Gardu Induk Nonohonis,0.07814
360,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,TUMU,rice,415,-9.866380562003965,124.4822735540707,True,2671.6,2671.6,22.303,Gardu Induk Nonohonis,0.11623
361,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,BILLA,rice,633,-9.655508131793669,124.5692949326444,True,4009.6,4009.6,16.205,Gardu Induk Kefamenanu,0.17728
362,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,MAULEUM,rice,607,-9.745015479371991,124.5620802845378,True,3677.9,3677.9,25.138,Gardu Induk Kefamenanu,0.17
363,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,MNELAANEN,rice,900,-9.713172145695962,124.6088106278617,True,3736.1,3736.1,24.057,Gardu Induk Kefamenanu,0.25206
364,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,NIFUKIU,rice,358,-9.690530842734992,124.6459487405322,True,3315.5,3315.5,24.579,Gardu Induk Kefamenanu,0.10026
365,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,OE EKAM,rice,739,,,False,,3246.8,,,0.20697
366,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,OELET,rice,502,-9.71006451374087,124.5309018969022,True,4299.4,4299.4,20.435,Gardu Induk Kefamenanu,0.14059
367,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,PISAN,rice,533,-9.739276032938095,124.6047045877243,True,3324.9,3324.9,26.382,Gardu Induk Kefamenanu,0.14928
368,TIMOR TENGAH SELATAN,AMANUBAN TIMUR,SINI,rice,153,-9.743967218208516,124.5315524443494,True,3652.7,3652.7,24.21,Gardu Induk Kefamenanu,0.04285
