Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19,demand_ip20,demand_ip21
,,,,,,,,,42,6,12,18,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,43,6,12,19,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,44,6,12,20,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,45,6,12,21,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,46,6,12,22,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,47,6,12,23,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,48,6,12,24,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,49,6,13,1,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,50,6,13,2,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,51,6,13,3,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,52,6,13,4,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,53,6,13,5,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,54,6,13,6,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,55,6,13,7,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,56,6,13,8,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,57,6,13,9,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,58,6,13,10,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,59,6,13,11,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,60,6,13,12,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,61,6,13,13,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,62,6,13,14,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,63,6,13,15,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,64,6,13,16,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,65,6,13,17,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,66,6,13,18,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,67,6,13,19,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,68,6,13,20,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,69,6,13,21,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,70,6,13,22,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,71,6,13,23,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,72,6,13,24,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,73,6,14,1,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,74,6,14,2,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,75,6,14,3,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,76,6,14,4,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,77,6,14,5,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,78,6,14,6,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,79,6,14,7,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,80,6,14,8,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,81,6,14,9,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,82,6,14,10,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,83,6,14,11,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,84,6,14,12,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,85,6,14,13,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,86,6,14,14,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,87,6,14,15,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,88,6,14,16,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,89,6,14,17,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,90,6,14,18,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,91,6,14,19,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,92,6,14,20,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,93,6,14,21,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,94,6,14,22,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,95,6,14,23,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,96,6,14,24,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,97,6,15,1,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,98,6,15,2,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,99,6,15,3,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,100,6,15,4,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,101,6,15,5,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,102,6,15,6,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,103,6,15,7,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,104,6,15,8,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,105,6,15,9,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,106,6,15,10,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,107,6,15,11,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,108,6,15,12,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,109,6,15,13,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,110,6,15,14,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
