r_id,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,,,,,,,,,,banten,,,,,,,,,,,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,banten,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,west_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,central_java,east_java,east_java,east_java,east_java
11,1,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,1,1,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,0.636,1,1,1,1,1,0.636,0.636,0.636,0.636,1,1,1,1,1,1,0.636,0.636,0.636,0.636,1,1,1,1,1,0.636,0.636,0.636,0.636,1,1,1,0.715,0.715,1,1,1,1,1,0.715,0.715,0.715,0.715,1,1,1,0.715,0.715,1,1,1,1,1,1,1,0.715,0.715,0.715,0.715,0.715,1,1,1,1,0.715,0.715,1,1,1,0.715,0.715,1,1,0.715,1,1,1,1,1,0.629,0.629,0.629,0.629,1,1,1,0.629,0.629,,,,
12,1,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,1,1,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,0.681,1,1,1,1,1,0.681,0.681,0.681,0.681,1,1,1,1,1,1,0.681,0.681,0.681,0.681,1,1,1,1,1,0.681,0.681,0.681,0.681,1,1,1,0.747,0.747,1,1,1,1,1,0.747,0.747,0.747,0.747,1,1,1,0.747,0.747,1,1,1,1,1,1,1,0.747,0.747,0.747,0.747,0.747,1,1,1,1,0.747,0.747,1,1,1,0.747,0.747,1,1,0.747,1,1,1,1,1,0.666,0.666,0.666,0.666,1,1,1,0.666,0.666,,,,
13,1,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,1,1,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,0.679,1,1,1,1,1,0.679,0.679,0.679,0.679,1,1,1,1,1,1,0.679,0.679,0.679,0.679,1,1,1,1,1,0.679,0.679,0.679,0.679,1,1,1,0.737,0.737,1,1,1,1,1,0.737,0.737,0.737,0.737,1,1,1,0.737,0.737,1,1,1,1,1,1,1,0.737,0.737,0.737,0.737,0.737,1,1,1,1,0.737,0.737,1,1,1,0.737,0.737,1,1,0.737,1,1,1,1,1,0.675,0.675,0.675,0.675,1,1,1,0.675,0.675,,,,
14,1,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,1,1,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,0.617,1,1,1,1,1,0.617,0.617,0.617,0.617,1,1,1,1,1,1,0.617,0.617,0.617,0.617,1,1,1,1,1,0.617,0.617,0.617,0.617,1,1,1,0.677,0.677,1,1,1,1,1,0.677,0.677,0.677,0.677,1,1,1,0.677,0.677,1,1,1,1,1,1,1,0.677,0.677,0.677,0.677,0.677,1,1,1,1,0.677,0.677,1,1,1,0.677,0.677,1,1,0.677,1,1,1,1,1,0.616,0.616,0.616,0.616,1,1,1,0.616,0.616,,,,
15,1,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,1,1,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,0.519,1,1,1,1,1,0.519,0.519,0.519,0.519,1,1,1,1,1,1,0.519,0.519,0.519,0.519,1,1,1,1,1,0.519,0.519,0.519,0.519,1,1,1,0.577,0.577,1,1,1,1,1,0.577,0.577,0.577,0.577,1,1,1,0.577,0.577,1,1,1,1,1,1,1,0.577,0.577,0.577,0.577,0.577,1,1,1,1,0.577,0.577,1,1,1,0.577,0.577,1,1,0.577,1,1,1,1,1,0.492,0.492,0.492,0.492,1,1,1,0.492,0.492,,,,
16,1,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,1,1,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,0.375,0.375,0.375,0.375,1,1,1,1,1,1,0.375,0.375,0.375,0.375,1,1,1,1,1,0.375,0.375,0.375,0.375,1,1,1,0.417,0.417,1,1,1,1,1,0.417,0.417,0.417,0.417,1,1,1,0.417,0.417,1,1,1,1,1,1,1,0.417,0.417,0.417,0.417,0.417,1,1,1,1,0.417,0.417,1,1,1,0.417,0.417,1,1,0.417,1,1,1,1,1,0.339,0.339,0.339,0.339,1,1,1,0.339,0.339,,,,
17,1,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,1,1,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,0.182,1,1,1,1,1,0.182,0.182,0.182,0.182,1,1,1,1,1,1,0.182,0.182,0.182,0.182,1,1,1,1,1,0.182,0.182,0.182,0.182,1,1,1,0.206,0.206,1,1,1,1,1,0.206,0.206,0.206,0.206,1,1,1,0.206,0.206,1,1,1,1,1,1,1,0.206,0.206,0.206,0.206,0.206,1,1,1,1,0.206,0.206,1,1,1,0.206,0.206,1,1,0.206,1,1,1,1,1,0.111,0.111,0.111,0.111,1,1,1,0.111,0.111,,,,
18,1,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,1,1,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,1,1,1,1,1,0.022,0.022,0.022,0.022,1,1,1,1,1,1,0.022,0.022,0.022,0.022,1,1,1,1,1,0.022,0.022,0.022,0.022,1,1,1,0.014,0.014,1,1,1,1,1,0.014,0.014,0.014,0.014,1,1,1,0.014,0.014,1,1,1,1,1,1,1,0.014,0.014,0.014,0.014,0.014,1,1,1,1,0.014,0.014,1,1,1,0.014,0.014,1,1,0.014,1,1,1,1,1,0.002,0.002,0.002,0.002,1,1,1,0.002,0.002,,,,
19,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
20,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,,
