r_id,plta_orya_genyem,pltd_genyem,pltd_sentani,pltmg_jayapura_peaker,mpp_jayapura,pltu_jayapura_ftp_1,pltd_jayapura,pltd_wamena,pltmg_merauke,pltg_merauke_2,pltbm_merauke,pltmg_biak_2,pltmg_biak,pltmg_nabire_2,mpp_nabire,mpp_timika,pltmg_biak_3,pltm_wabudori,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_jayapura,plta_orya_2,pltm_amai,plt_ebt_base_jayapura_2,pltm_mamberamo_raya,pltbm_merauke_3,pltm_kalibumi_1,pltu_nabire_kalibobo,pltm_digoel,pltd_sarmi,plts_sarmi,pltmg_serui_1,plts_serui,pltmg_serui_2,pltmg_timika_2,pltmg_timika_2,plts_timika,pltmg_timika_3,pltm_cascade_walesi,pltm_uwe,pltm_walesi_blok_2,plta_baliem,papua_solar_potential_ruen,papua_wind_potential_ruen,papua_hydropower_potential_ruen,papua_hydropower_mini_potential_ruen,papua_biomass_potential_ruen,papua_biogas_potential_ruen,pltd_sorong,pltg_sorong,pltmg_manokawari_2,pltmg_bintuni,pltmg_mpp_fak_fak,pltmg_dedieselisasi,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_kaimana,pltbm_kaimana_2,pltmg_mpp_manokwari,pltmg_manokwari_3,pltm_warnasi_warkai,plts_manokwari,plts_manokwari_eks_apbn,pltmg_raja_ampat,pltmg_sorong_2,pltu_sorong_ex_timika,plt_ebt_base_sorong_3,pltm_waigo,pltmg_sorong,west_papua_solar_potential_ruen,west_papua_wind_potential_ruen,west_papua_hydropower_mini_potential_ruen,west_papua_biomass_potential_ruen,west_papua_biogas_potential_ruen
264,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.023,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.015,0.5,1,
265,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.022,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.028,0.5,1,
266,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.008,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.037,0.5,1,
267,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.03,0.5,1,
268,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.017,0.5,1,
269,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.011,0.5,1,
270,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.033,1,0.033,1,1,1,0.033,1,0.5,0.5,0.5,0.5,0.033,0,0.5,0.5,1,1,1,1,1,1,1,1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,1,1,1,1,0.5,0.024,0.024,1,1,1,1,0.5,1,0.024,0.004,0.5,1,
271,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.15,1,0.15,1,1,1,0.15,1,0.5,0.5,0.5,0.5,0.15,0,0.5,0.5,1,1,1,1,1,1,1,1,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142,1,1,1,1,0.5,0.142,0.142,1,1,1,1,0.5,1,0.142,0,0.5,1,
272,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.282,1,0.282,1,1,1,0.282,1,0.5,0.5,0.5,0.5,0.282,0,0.5,0.5,1,1,1,1,1,1,1,1,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,1,1,1,1,0.5,0.284,0.284,1,1,1,1,0.5,1,0.284,0.001,0.5,1,
273,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.423,1,0.423,1,1,1,0.423,1,0.5,0.5,0.5,0.5,0.423,0,0.5,0.5,1,1,1,1,1,1,1,1,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,1,1,1,1,0.5,0.394,0.394,1,1,1,1,0.5,1,0.394,0.004,0.5,1,
274,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.483,1,0.483,1,1,1,0.483,1,0.5,0.5,0.5,0.5,0.483,0,0.5,0.5,1,1,1,1,1,1,1,1,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482,1,1,1,1,0.5,0.482,0.482,1,1,1,1,0.5,1,0.482,0.008,0.5,1,
275,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.502,1,0.502,1,1,1,0.502,1,0.5,0.5,0.5,0.5,0.502,0,0.5,0.5,1,1,1,1,1,1,1,1,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,1,1,1,1,0.5,0.526,0.526,1,1,1,1,0.5,1,0.526,0.013,0.5,1,
276,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.354,1,0.354,1,1,1,0.354,1,0.5,0.5,0.5,0.5,0.354,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,0.529,1,1,1,1,0.5,0.529,0.529,1,1,1,1,0.5,1,0.529,0.024,0.5,1,
277,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.266,1,0.266,1,1,1,0.266,1,0.5,0.5,0.5,0.5,0.266,0.002,0.5,0.5,1,1,1,1,1,1,1,1,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,1,1,1,1,0.5,0.497,0.497,1,1,1,1,0.5,1,0.497,0.032,0.5,1,
278,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.185,1,0.185,1,1,1,0.185,1,0.5,0.5,0.5,0.5,0.185,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,1,1,1,1,0.5,0.424,0.424,1,1,1,1,0.5,1,0.424,0.029,0.5,1,
279,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.112,1,0.112,1,1,1,0.112,1,0.5,0.5,0.5,0.5,0.112,0.004,0.5,0.5,1,1,1,1,1,1,1,1,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,1,1,1,1,0.5,0.303,0.303,1,1,1,1,0.5,1,0.303,0.012,0.5,1,
280,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.051,1,0.051,1,1,1,0.051,1,0.5,0.5,0.5,0.5,0.051,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,1,1,1,1,0.5,0.153,0.153,1,1,1,1,0.5,1,0.153,0.001,0.5,1,
281,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.006,1,0.006,1,1,1,0.006,1,0.5,0.5,0.5,0.5,0.006,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,1,1,1,1,0.5,0.034,0.034,1,1,1,1,0.5,1,0.034,0.001,0.5,1,
282,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.008,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.014,0.5,1,
283,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.017,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.051,0.5,1,
284,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.008,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.063,0.5,1,
285,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.064,0.5,1,
286,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.062,0.5,1,
287,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.051,0.5,1,
288,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.002,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.054,0.5,1,
289,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.074,0.5,1,
290,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.081,0.5,1,
291,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.058,0.5,1,
292,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.037,0.5,1,
293,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.002,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.024,0.5,1,
294,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.024,1,0.024,1,1,1,0.024,1,0.5,0.5,0.5,0.5,0.024,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,1,1,1,1,0.5,0.014,0.014,1,1,1,1,0.5,1,0.014,0.021,0.5,1,
295,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.092,1,0.092,1,1,1,0.092,1,0.5,0.5,0.5,0.5,0.092,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,1,1,1,1,0.5,0.087,0.087,1,1,1,1,0.5,1,0.087,0.006,0.5,1,
296,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.196,1,0.196,1,1,1,0.196,1,0.5,0.5,0.5,0.5,0.196,0.005,0.5,0.5,1,1,1,1,1,1,1,1,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,1,1,1,1,0.5,0.189,0.189,1,1,1,1,0.5,1,0.189,0.001,0.5,1,
297,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.277,1,0.277,1,1,1,0.277,1,0.5,0.5,0.5,0.5,0.277,0.009,0.5,0.5,1,1,1,1,1,1,1,1,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,1,1,1,1,0.5,0.285,0.285,1,1,1,1,0.5,1,0.285,0.005,0.5,1,
298,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.345,1,0.345,1,1,1,0.345,1,0.5,0.5,0.5,0.5,0.345,0.015,0.5,0.5,1,1,1,1,1,1,1,1,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,1,1,1,1,0.5,0.346,0.346,1,1,1,1,0.5,1,0.346,0.014,0.5,1,
299,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.334,1,0.334,1,1,1,0.334,1,0.5,0.5,0.5,0.5,0.334,0.025,0.5,0.5,1,1,1,1,1,1,1,1,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,1,1,1,1,0.5,0.381,0.381,1,1,1,1,0.5,1,0.381,0.026,0.5,1,
300,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.301,1,0.301,1,1,1,0.301,1,0.5,0.5,0.5,0.5,0.301,0.04,0.5,0.5,1,1,1,1,1,1,1,1,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,1,1,1,1,0.5,0.38,0.38,1,1,1,1,0.5,1,0.38,0.037,0.5,1,
301,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.258,1,0.258,1,1,1,0.258,1,0.5,0.5,0.5,0.5,0.258,0.058,0.5,0.5,1,1,1,1,1,1,1,1,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,1,1,1,1,0.5,0.344,0.344,1,1,1,1,0.5,1,0.344,0.04,0.5,1,
302,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.205,1,0.205,1,1,1,0.205,1,0.5,0.5,0.5,0.5,0.205,0.07,0.5,0.5,1,1,1,1,1,1,1,1,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,1,1,1,1,0.5,0.275,0.275,1,1,1,1,0.5,1,0.275,0.028,0.5,1,
303,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.133,1,0.133,1,1,1,0.133,1,0.5,0.5,0.5,0.5,0.133,0.063,0.5,0.5,1,1,1,1,1,1,1,1,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,1,1,1,1,0.5,0.163,0.163,1,1,1,1,0.5,1,0.163,0.009,0.5,1,
304,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.061,1,0.061,1,1,1,0.061,1,0.5,0.5,0.5,0.5,0.061,0.034,0.5,0.5,1,1,1,1,1,1,1,1,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,1,1,1,1,0.5,0.071,0.071,1,1,1,1,0.5,1,0.071,0.004,0.5,1,
305,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.006,1,0.006,1,1,1,0.006,1,0.5,0.5,0.5,0.5,0.006,0.009,0.5,0.5,1,1,1,1,1,1,1,1,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,1,1,1,1,0.5,0.014,0.014,1,1,1,1,0.5,1,0.014,0.014,0.5,1,
306,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.055,0.5,1,
307,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.001,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.071,0.5,1,
308,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.002,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.07,0.5,1,
309,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.002,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.068,0.5,1,
310,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.072,0.5,1,
311,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.004,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.073,0.5,1,
312,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.007,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.07,0.5,1,
313,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.009,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.067,0.5,1,
314,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.008,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.054,0.5,1,
315,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.005,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.029,0.5,1,
316,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.004,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.014,0.5,1,
