r_id,plta_orya_genyem,pltd_genyem,pltd_sentani,pltmg_jayapura_peaker,mpp_jayapura,pltu_jayapura_ftp_1,pltd_jayapura,pltd_wamena,pltmg_merauke,pltg_merauke_2,pltbm_merauke,pltmg_biak_2,pltmg_biak,pltmg_nabire_2,mpp_nabire,mpp_timika,pltmg_biak_3,pltm_wabudori,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_jayapura,plta_orya_2,pltm_amai,plt_ebt_base_jayapura_2,pltm_mamberamo_raya,pltbm_merauke_3,pltm_kalibumi_1,pltu_nabire_kalibobo,pltm_digoel,pltd_sarmi,plts_sarmi,pltmg_serui_1,plts_serui,pltmg_serui_2,pltmg_timika_2,pltmg_timika_2,plts_timika,pltmg_timika_3,pltm_cascade_walesi,pltm_uwe,pltm_walesi_blok_2,plta_baliem,papua_solar_potential_ruen,papua_wind_potential_ruen,papua_hydropower_potential_ruen,papua_hydropower_mini_potential_ruen,papua_biomass_potential_ruen,papua_biogas_potential_ruen,pltd_sorong,pltg_sorong,pltmg_manokawari_2,pltmg_bintuni,pltmg_mpp_fak_fak,pltmg_dedieselisasi,plts_dedieselisasi,plts_dedieselisasi,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,plts_lisdes,pltmg_kaimana,pltbm_kaimana_2,pltmg_mpp_manokwari,pltmg_manokwari_3,pltm_warnasi_warkai,plts_manokwari,plts_manokwari_eks_apbn,pltmg_raja_ampat,pltmg_sorong_2,pltu_sorong_ex_timika,plt_ebt_base_sorong_3,pltm_waigo,pltmg_sorong,west_papua_solar_potential_ruen,west_papua_wind_potential_ruen,west_papua_hydropower_mini_potential_ruen,west_papua_biomass_potential_ruen,west_papua_biogas_potential_ruen
11,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.647,1,0.647,1,1,1,0.647,1,0.5,0.5,0.5,0.5,0.647,0.014,0.5,0.5,1,1,1,1,1,1,1,1,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,1,1,1,1,0.5,0.452,0.452,1,1,1,1,0.5,1,0.452,0.001,0.5,1,
12,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.568,1,0.568,1,1,1,0.568,1,0.5,0.5,0.5,0.5,0.568,0.03,0.5,0.5,1,1,1,1,1,1,1,1,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,1,1,1,1,0.5,0.487,0.487,1,1,1,1,0.5,1,0.487,0.001,0.5,1,
13,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,0.509,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.509,1,0.509,1,1,1,0.509,1,0.5,0.5,0.5,0.5,0.509,0.041,0.5,0.5,1,1,1,1,1,1,1,1,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,1,1,1,1,0.5,0.435,0.435,1,1,1,1,0.5,1,0.435,0,0.5,1,
14,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,0.429,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.429,1,0.429,1,1,1,0.429,1,0.5,0.5,0.5,0.5,0.429,0.056,0.5,0.5,1,1,1,1,1,1,1,1,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,1,1,1,1,0.5,0.346,0.346,1,1,1,1,0.5,1,0.346,0,0.5,1,
15,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.203,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.203,1,0.203,1,1,1,0.203,1,0.5,0.5,0.5,0.5,0.203,0.056,0.5,0.5,1,1,1,1,1,1,1,1,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,1,1,1,1,0.5,0.216,0.216,1,1,1,1,0.5,1,0.216,0,0.5,1,
16,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.073,1,0.073,1,1,1,0.073,1,0.5,0.5,0.5,0.5,0.073,0.035,0.5,0.5,1,1,1,1,1,1,1,1,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,1,1,1,1,0.5,0.105,0.105,1,1,1,1,0.5,1,0.105,0,0.5,1,
17,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.001,1,0.001,1,1,1,0.001,1,0.5,0.5,0.5,0.5,0.001,0.013,0.5,0.5,1,1,1,1,1,1,1,1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,1,1,1,1,0.5,0.022,0.022,1,1,1,1,0.5,1,0.022,0.001,0.5,1,
18,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.007,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.003,0.5,1,
19,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.005,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.002,0.5,1,
20,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0,1,0,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.003,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,0,1,1,1,1,0.5,1,0,0.001,0.5,1,
