Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.3152947310034138e-14,1.669422921458785e-10,2.447376713970154e-14
2,1,1800.0,2.6061221276148288e-14,2.138617814836349e-10,3.135217189625387e-14
3,1,1100.0,4.5381321695359646e-14,3.573462257955296e-10,5.2387014733982805e-14
4,1,400.0,1.6138751911992337e-13,9.989500031061672e-10,1.464462326829747e-13
