ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.013712130443539979,0.2773,-0.26358786955646,0.03456228257082687
2,plts_bel1,1,1,solar,0.756720293928033,0.0,0.756720293928033,1.1853428553668948
3,batt_bel1,1,1,battery,0.3047602469187772,0.0,0.3047602469187772,0.5676009774468926
4,pltd_bel2,1,2,diesel,0.04183669759308894,0.846,-0.804163302406911,0.10545186937397814
5,plts_bel2,1,2,solar,2.2960655250934785,0.0,2.2960655250934785,3.6166136650658327
6,batt_bel2,1,2,battery,0.929832610215153,0.0,0.929832610215153,1.731811436000643
7,pltd_bel3,1,3,diesel,0.04163870100616529,0.842,-0.8003612989938347,0.1049526273395509
8,plts_bel3,1,3,solar,2.2519009523620888,0.0,2.2519009523620888,3.5994910589731823
9,batt_bel3,1,3,battery,0.9253242582743144,0.0,0.9253242582743144,1.7236075138872649
10,pltd_bel4,1,4,diesel,0.019242578017275212,0.3891,-0.3698574219827248,0.048502136855798426
11,plts_bel4,1,4,solar,1.0490261848045799,0.0,1.0490261848045799,1.6634346006919045
12,batt_bel4,1,4,battery,0.4276583737271172,0.0,0.4276583737271172,0.7965503189782086
13,pltd_bel5,1,5,diesel,0.02166515924555521,0.4381,-0.41643484075444476,0.05460833698103764
14,plts_bel5,1,5,solar,1.1859788530219417,0.0,1.1859788530219417,1.8728376494494334
15,batt_bel5,1,5,battery,0.48147671392868363,0.0,0.48147671392868363,0.8967864210013887
16,pltd_bel6,1,6,diesel,0.019044494286104222,0.3851,-0.3660555057138958,0.048002800145517
17,plts_bel6,1,6,solar,1.051001385735291,0.0,1.051001385735291,1.6463094420817797
18,batt_bel6,1,6,battery,0.4232779246544943,0.0,0.4232779246544943,0.7883350780846121
19,pltd_bel7,1,7,diesel,0.01773430025819742,0.3586,-0.34086569974180253,0.04470057922384563
20,plts_bel7,1,7,solar,0.9648544457074582,0.0,0.9648544457074582,1.5330348442020283
21,batt_bel7,1,7,battery,0.3941231434295816,0.0,0.3941231434295816,0.734054973281485
22,pltd_bel8,1,8,diesel,0.03505714527237347,0.7089,-0.6738428547276265,0.08836298021485595
23,plts_bel8,1,8,solar,1.8997263967243054,0.0,1.8997263967243054,3.030521827187308
24,batt_bel8,1,8,battery,0.7790751964187983,0.0,0.7790751964187983,1.45113511103815
25,pltd_bel9,1,9,diesel,0.03379236820634066,0.6833,-0.6495076317936593,0.08517610776073992
26,plts_bel9,1,9,solar,1.868219081277058,0.0,1.868219081277058,2.921214102221758
27,batt_bel9,1,9,battery,0.750987134278071,0.0,0.750987134278071,1.398834214312985
28,pltd_bel10,1,10,diesel,0.019623345058997908,0.3968,-0.37717665494100205,0.049461783035935236
29,plts_bel10,1,10,solar,1.082952496983777,0.0,1.082952496983777,1.6963579696438134
30,batt_bel10,1,10,battery,0.4361460309573985,0.0,0.4361460309573985,0.8123006816685422
31,pltd_bel11,1,11,diesel,0.032649749219551445,0.6602,-0.6275502507804486,0.08229566719056165
32,plts_bel11,1,11,solar,1.798761937568023,0.0,1.798761937568023,2.8224304532656723
33,batt_bel11,1,11,battery,0.7256369909866107,0.0,0.7256369909866107,1.3515007296353667
34,pltd_bel12,1,12,diesel,0.014047054818929629,0.284,-0.2699529451810703,0.0354064082202787
35,plts_bel12,1,12,solar,0.771104843061489,0.0,0.771104843061489,1.214315350265998
36,batt_bel12,1,12,battery,0.31215291712151805,0.0,0.31215291712151805,0.5814611042058958
37,pltd_bel13,1,13,diesel,0.01586107955277376,0.2672,-0.2513389204472262,0.032141771882486125
38,plts_bel13,1,13,solar,1.077376845755812,0.0,1.077376845755812,1.8064132209575359
39,batt_bel13,1,13,battery,0.4755391923192238,0.0,0.4755391923192238,0.8234926246559447
40,pltd_bel14,1,14,diesel,0.010161869216825598,0.2055,-0.19533813078317439,0.0256137357587229
41,plts_bel14,1,14,solar,0.5608147619635474,0.0,0.5608147619635474,0.8784716629889031
42,batt_bel14,1,14,battery,0.22586186484479304,0.0,0.22586186484479304,0.4206563847813002
43,pltd_bel15,1,15,diesel,0.010384110921605369,0.1749,-0.16451588907839462,0.021042964632625345
44,plts_bel15,1,15,solar,0.7113240766182592,0.0,0.7113240766182592,1.182641197636969
45,batt_bel15,1,15,battery,0.31132981741615845,0.0,0.31132981741615845,0.5391485365655446
46,pltd_bel16,1,16,diesel,0.024270126178681718,0.4908,-0.4665298738213183,0.06117446024193179
47,plts_bel16,1,16,solar,1.2969998586727098,0.0,1.2969998586727098,2.0980592713795323
48,batt_bel16,1,16,battery,0.5393574131563773,0.0,0.5393574131563773,1.004664706698918
49,pltd_bel17,1,17,diesel,0.013262572250479918,0.2234,-0.21013742774952007,0.02687657346423098
50,plts_bel17,1,17,solar,0.9041978500534444,0.0,0.9041978500534444,1.5104595945578108
51,batt_bel17,1,17,battery,0.39768095264299375,0.0,0.39768095264299375,0.6886211344732227
52,pltd_bel18,1,18,diesel,0.006414303772569217,0.1297,-0.1232856962274308,0.016167312218716486
53,plts_bel18,1,18,solar,0.3395160745960422,0.0,0.3395160745960422,0.5544763348286248
54,batt_bel18,1,18,battery,0.1425437726803579,0.0,0.1425437726803579,0.26550520428504865
55,pltd_bel19,1,19,diesel,0.010040080416028491,0.203,-0.19295991958397152,0.025306749368694217
56,plts_bel19,1,19,solar,0.5653231539374038,0.0,0.5653231539374038,0.867932352949129
57,batt_bel19,1,19,battery,0.22311146337930424,0.0,0.22311146337930424,0.4155964402427115
58,pltd_bel20,1,20,diesel,0.002193937365461212,0.0444,-0.04220606263453879,0.005529987616396251
59,plts_bel20,1,20,solar,0.12218138249069731,0.0,0.12218138249069731,0.18965571891813868
60,batt_bel20,1,20,battery,0.04876036125628665,0.0,0.04876036125628665,0.090818807684147
61,pltd_bel21,1,21,diesel,0.008227110068763662,0.1664,-0.15817288993123632,0.020737383569527687
62,plts_bel21,1,21,solar,0.457858823048581,0.0,0.457858823048581,0.7112056752940459
63,batt_bel21,1,21,battery,0.18284349148290166,0.0,0.18284349148290166,0.3405613598665055
64,pltd_bel22,1,22,diesel,0.0058505355607080005,0.1183,-0.112449464439292,0.014746374009455282
65,plts_bel22,1,22,solar,0.32894308557231655,0.0,0.32894308557231655,0.5057470356894086
66,batt_bel22,1,22,battery,0.1300286562846699,0.0,0.1300286562846699,0.24218056536175903
67,pltd_bel23,1,23,diesel,0.005652585159568916,0.1143,-0.10864741484043108,0.01424718117186027
68,plts_bel23,1,23,solar,0.31193746606066114,0.0,0.31193746606066114,0.4886250973171212
69,batt_bel23,1,23,battery,0.1256289860539513,0.0,0.1256289860539513,0.23397807962555306
70,pltd_bel24,1,24,diesel,0.003321550703053603,0.0672,-0.06387844929694639,0.008372411554077723
71,plts_bel24,1,24,solar,0.18362071331114066,0.0,0.18362071331114066,0.28711601324956015
72,batt_bel24,1,24,battery,0.0738117037084738,0.0,0.0738117037084738,0.13748623104290292
73,pltd_bel25,1,25,diesel,0.00242242216729968,0.049,-0.04657757783270032,0.006105775268524578
74,plts_bel25,1,25,solar,0.13759094953480747,0.0,0.13759094953480747,0.20941027777699403
75,batt_bel25,1,25,battery,0.0538390870230083,0.0,0.0538390870230083,0.10027183592536792
76,pltd_bel26,1,26,diesel,0.006779506121408491,0.1371,-0.13032049387859151,0.017088538133951833
77,plts_bel26,1,26,solar,0.3794827475009353,0.0,0.3794827475009353,0.5860863368352902
78,batt_bel26,1,26,battery,0.1506695279603502,0.0,0.1506695279603502,0.28064558611497564
79,pltd_bel27,1,27,diesel,0.006201101534497294,0.1254,-0.11919889846550272,0.015630467740790837
80,plts_bel27,1,27,solar,0.35474327364385305,0.0,0.35474327364385305,0.5360374006727434
81,batt_bel27,1,27,battery,0.13779563907397058,0.0,0.13779563907397058,0.25668200497040633
82,pltd_bel28,1,28,diesel,0.004601153905853764,0.093,-0.08839884609414624,0.011597823560851572
83,plts_bel28,1,28,solar,0.259193658161722,0.0,0.259193658161722,0.39774869709786986
84,batt_bel28,1,28,battery,0.10226490271012052,0.0,0.10226490271012052,0.19046440790310787
85,pltd_bel29,1,29,diesel,0.003275467076642949,0.0662,-0.06292453292335705,0.008255922461529737
86,plts_bel29,1,29,solar,0.18208847930140412,0.0,0.18208847930140412,0.2831662413162405
87,batt_bel29,1,29,battery,0.07280387357316043,0.0,0.07280387357316043,0.13559723389264838
88,pltd_bel30,1,30,diesel,0.002513968941906907,0.0508,-0.04828603105809309,0.00633683720862582
89,plts_bel30,1,30,solar,0.15012668218412425,0.0,0.15012668218412425,0.21731090634622643
90,batt_bel30,1,30,battery,0.055867662537877456,0.0,0.055867662537877456,0.1040537961152025
91,pltd_bel31,1,31,diesel,0.005119115399528293,0.1035,-0.0983808846004717,0.012903276429569878
92,plts_bel31,1,31,solar,0.2979520041527002,0.0,0.2979520041527002,0.44252904646909835
93,batt_bel31,1,31,battery,0.11376052074629614,0.0,0.11376052074629614,0.21191161971923825
94,pltd_bel32,1,32,diesel,0.007678680842467844,0.1553,-0.14762131915753215,0.019354984906207046
95,plts_bel32,1,32,solar,0.4380218337064991,0.0,0.4380218337064991,0.6637924122206723
96,batt_bel32,1,32,battery,0.17065316966737512,0.0,0.17065316966737512,0.31785804445710675
