Date,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,78,33
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,78,33
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,78,33
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,78,33
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,78,33
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,78,33
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,78,33
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,78,33
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,78,33
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,78,33
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,62,33
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,62,33
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,62,27
,,,,,,,,,92,6,14,20,2023-06-14T18:40:00+08:00,62,27
,,,,,,,,,93,6,14,21,2023-06-14T19:40:00+08:00,62,27
,,,,,,,,,94,6,14,22,2023-06-14T20:40:00+08:00,62,27
,,,,,,,,,95,6,14,23,2023-06-14T21:40:00+08:00,62,27
,,,,,,,,,96,6,14,24,2023-06-14T22:40:00+08:00,62,27
,,,,,,,,,97,6,15,1,2023-06-14T23:40:00+08:00,47,20
,,,,,,,,,98,6,15,2,2023-06-15T00:40:00+08:00,47,20
,,,,,,,,,99,6,15,3,2023-06-15T01:40:00+08:00,47,20
,,,,,,,,,100,6,15,4,2023-06-15T02:40:00+08:00,47,20
,,,,,,,,,101,6,15,5,2023-06-15T03:40:00+08:00,47,20
,,,,,,,,,102,6,15,6,2023-06-15T04:40:00+08:00,47,20
