Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
1,0.0,0.0,0.0,0.0109212521663778,0.0109212521663778,0.0100475519930676,0.0100475519930676,1,2174.6449851565326,1050.6058056509626
2,0.0,0.0,0.0,0.4010739999999999,0.4010739999999999,0.6949250730434782,0.6949250730434782,1,10061.130919360488,6570.582322801773
3,0.0,0.0,0.0,0.3991359999999999,0.3991359999999999,0.6915635008695651,0.6915635008695651,1,10043.715107594882,6575.386300823726
4,0.0,0.0,0.0,0.0939863071617191,0.0939863071617191,0.1531337182210416,0.1531337182210416,1,3850.288546973844,2260.423490743822
5,0.0,0.0,0.0,0.207709,0.207709,0.3598910817391306,0.3598910817391306,1,5215.065310586109,3411.326382319121
6,0.0,0.0,0.0,0.0105030000000001,0.0105030000000001,0.00966276,0.00966276,1,3058.9079974441647,1497.9631562182883
7,0.0,0.0,0.0,0.170012,0.170012,0.2945731669565217,0.2945731669565217,1,4269.339188566612,2790.9507058531008
8,0.0,0.0,0.0,0.336024,0.336024,0.5822091599999999,0.5822091599999999,1,8438.678193694659,5520.139739818269
9,0.0,0.0,0.0,0.3239689999999999,0.3239689999999999,0.5613301339130434,0.5613301339130434,1,8140.816571543518,5326.150306587343
10,0.0,0.0,0.0,0.018578,0.018578,0.01709176,0.01709176,1,3231.9909504101324,1622.918179138834
11,0.0,0.0,0.0,0.3130229999999999,0.3130229999999999,0.5423644939130434,0.5423644939130434,1,7828.655057524501,5107.711003021901
12,0.0,0.0,0.0,0.013298,0.013298,0.01223416,0.01223416,1,2313.578226678765,1161.762461005856
13,0.0,0.0,0.0,0.133622,0.133622,0.2326623060869565,0.2326623060869565,1,3185.608735718594,1469.78699376975
14,0.0,0.0,0.0,0.0050584922010398,0.0050584922010398,0.0054983610880868,0.0054983610880868,1,1585.498473459644,753.3009701742384
15,0.0,0.0,0.0,0.0090715994176372,0.0090715994176372,0.0083458714642263,0.0083458714642263,1,1353.8541298203045,240.80111661627288
16,0.0,0.0,0.0,0.0229759999999999,0.0229759999999999,0.0211379199999999,0.0211379199999999,1,3997.323675336813,2007.2823393330689
17,0.0,0.0,0.0,0.0115864184692179,0.0115864184692179,0.0106595049916804,0.0106595049916804,1,1728.959153041193,307.4590994593915
18,0.0,0.0,0.0,0.0051088604852686,0.0051088604852686,0.0047001516464471,0.0047001516464471,1,1019.3900403634494,493.54143708385647
19,0.0,0.0,0.0,0.0366186999999999,0.0366186999999999,0.0698942391304347,0.0698942391304347,1,1216.6815715952384,391.6309336616704
20,0.1252203247322656,0.1252203247322656,0.1962400860283362,0.050995425494617,0.050995425494617,0.2862196901054064,0.2862196901054064,0,0.0,0.0
21,0.0304081715978995,0.0304081715978995,0.0479775722286776,0.0674186209355253,0.0674186209355253,0.2560322113070116,0.2560322113070116,1,642.2616608252348,5.839091831340312
22,0.1679428457094205,0.1679428457094205,0.2622744947730992,0.0723077652568823,0.0723077652568823,0.3146675878917426,0.3146675878917426,1,242.2410207880456,8.939755096326644
23,0.0,0.0,0.0,0.0025975,0.0025975,0.0028233695652173,0.0028233695652173,1,878.5573283291876,415.7411130608398
24,0.1557089005123146,0.1557089005123146,0.2473063740365894,0.0540083044303528,0.0540083044303528,0.3212368657719204,0.3212368657719204,1,49.94816795606501,7.100639989566204
25,0.1410124037391497,0.1410124037391497,0.2166799121895935,0.0563063718419764,0.0563063718419764,0.3160104457600712,0.3160104457600712,0,0.0,0.0
26,0.1886237797391078,0.1886237797391078,0.2959073269413204,0.0825967385888234,0.0825967385888234,0.3561270780949922,0.3561270780949922,1,291.22882102307,13.115634344928534
27,0.0,0.0,0.0,0.0404613864530635,0.0404613864530635,0.1393651437666495,0.1393651437666495,1,542.746097133438,29.898823966378327
28,0.1288358620134839,0.1288358620134839,0.2008159427769695,0.0560541150281828,0.0560541150281828,0.2416872527320234,0.2416872527320234,1,197.9636311591788,9.233346985961644
29,0.1156595902241863,0.1156595902241863,0.1826928815687793,0.046967,0.046967,0.228201352352395,0.228201352352395,1,102.84221491542364,4.188660902559371
30,0.15386033846209,0.15386033846209,0.2248563130729139,0.0584298001203032,0.0584298001203032,0.3279329747624227,0.3279329747624227,0,0.0,0.0
31,0.1521215066424299,0.1521215066424299,0.2294932431078891,0.0632690577124169,0.0632690577124169,0.2753363419681732,0.2753363419681732,1,211.69039569655368,7.535832016936408
32,0.0290893763195353,0.0290893763195353,0.0447776987646175,0.0629241369102635,0.0629241369102635,0.2389655416866498,0.2389655416866498,1,598.3188789331845,4.117888958139381
33,0.1318501302212295,0.1318501302212295,0.2035411333765484,0.0561144238342168,0.0561144238342168,0.2441969383374598,0.2441969383374598,1,187.45157696336537,6.4949663156014
34,0.1299900604818273,0.1299900604818273,0.2039339964564915,0.0524289999999999,0.0524289999999999,0.2547358499890749,0.2547358499890749,1,116.0317668295386,5.8941446567024425
35,0.1121218075164339,0.1121218075164339,0.175042099214891,0.046388000015519,0.046388000015519,0.2015677843439132,0.2015677843439132,1,149.78491959743363,7.298208400257605
36,0.1273656709295031,0.1273656709295031,0.1962402176266915,0.0509996160049259,0.0509996160049259,0.2862218496103782,0.2862218496103782,0,0.0,0.0
