ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
1,1,1,2174.6449851565326,1050.6058056509626
2,1,1,10061.130919360488,6570.582322801773
3,1,1,10043.715107594882,6575.386300823726
4,1,1,3850.2885469738435,2260.423490743822
5,1,1,5215.065310586109,3411.326382319121
6,1,1,3058.9079974441647,1497.9631562182883
7,1,1,4269.339188566612,2790.9507058531008
8,1,1,8438.678193694659,5520.139739818269
9,1,1,8140.816571543518,5326.150306587343
10,1,1,3231.9909504101324,1622.918179138834
11,1,1,7828.655057524501,5107.711003021901
12,1,1,2313.578226678765,1161.762461005856
13,1,1,3185.608735718594,1469.7869937697499
14,1,1,1585.498473459644,753.3009701742384
15,1,1,1353.8541298203043,240.80111661627288
16,1,1,3997.3236753368133,2007.2823393330686
17,1,1,1728.959153041193,307.4590994593915
18,1,1,1019.3900403634494,493.54143708385647
19,1,1,1216.6815715952384,391.6309336616704
20,1,0,0.0,0.0
21,1,1,642.2616608252348,5.839091831340312
22,1,1,242.2410207880456,8.939755096326644
23,1,1,878.5573283291876,415.7411130608398
24,1,1,49.94816795606501,7.100639989566204
25,1,0,0.0,0.0
26,1,1,291.22882102307,13.115634344928534
27,1,1,542.746097133438,29.898823966378327
28,1,1,197.96363115917876,9.233346985961644
29,1,1,102.84221491542363,4.188660902559371
30,1,0,0.0,0.0
31,1,1,211.69039569655368,7.535832016936408
32,1,1,598.3188789331845,4.117888958139381
33,1,1,187.45157696336537,6.4949663156014
34,1,1,116.0317668295386,5.8941446567024425
35,1,1,149.78491959743363,7.2982084002576055
36,1,0,0.0,0.0
37,1,1,159.54409841848758,6.510797929157601
38,1,1,958.9767607619309,314.0712419785743
39,1,1,327.862224720411,37.27414970388066
40,1,1,131.3549701365823,5.602046287260856
41,1,1,145.8192067261413,5.859417574981508
42,1,1,470.21561742766113,154.73889878632477
43,1,1,509.7374127049536,4.062514128004764
44,1,1,246.79410534421453,10.099741582195541
45,1,1,159.05873136290083,6.757329549984789
46,1,1,343.5181603681806,8.426089482956776
47,1,1,869.0867800927734,411.29508203336366
48,1,1,225.24742235362277,8.952638114173457
49,1,1,1200.0841103343234,387.44640585641577
50,1,1,1755.0216548835626,804.5855613391714
51,1,1,448.8154619078386,11.482782620325667
52,1,1,627.3960854448063,8.132079790569753
53,1,1,291.3578146025344,12.480129516570248
54,1,1,260.09652278506985,17.3263845382684
55,1,1,927.820527646786,84.50759648691827
56,1,1,614.6164516716684,3.8899660942252834
57,1,1,779.0308449369936,71.26652148631858
58,1,1,1500.3803708021821,493.69263457505093
59,1,1,156.10561908025616,9.09956289970075
60,1,1,3249.029850718756,1537.33740737329
61,1,1,2.463808065476198,1.1715919345237982
62,1,1,2212.6672710155835,1052.0792973086634
63,1,1,869.0867800927734,411.23154418918136
64,1,1,234.84334231453002,8.77050634896112
65,1,1,101.45698953527726,4.265378721109193
66,1,1,3553.1121732196143,1739.8783617965516
67,1,1,2788.3686151817774,1325.7297237442942
68,1,1,1104.0634820117127,364.04734446654135
69,1,1,2740.354964088459,1344.3767457341837
70,1,1,144.89113360459532,5.067971892797657
71,1,1,1110.1788800299123,509.13632467330274
72,1,1,989.866413469187,468.45277430052704
