Village,Total_NSE_MWh,NSE_Percent_of_Demand,LOLE_hours,Peak_Shortage_MW
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
