R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
36,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_unit_1,,coal_captive,65,0,operating,2022,,nickel,arthabumi_sentra_industri_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_metal_smeltindo_selaras,qingdao_xiyuan_holdings_co_ltd_qingdao_urban_construction_investment_group_co_ltd_shandong_taishan_steel_group_co_ltd,china,qingdao_xiyuan_holdings_co_ltd__qingdao_urban_construction_investment_group_co_ltd__shandong_taishan_steel_group_co_ltd_,qingdao_hengshun_zhongsheng_group,qingdao_zhongzi_zhongcheng_construction_group_co_ltd,owner_financier_epc,hengshun_zhongsheng_indonesia_industrial_park,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,4,-1,1600000,0,0,43900,0,0.12,65,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
37,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_unit_2,,coal_captive,65,0,operating,2022,,nickel,arthabumi_sentra_industri_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_metal_smeltindo_selaras,qingdao_xiyuan_holdings_co_ltd_qingdao_urban_construction_investment_group_co_ltd_shandong_taishan_steel_group_co_ltd,china,qingdao_xiyuan_holdings_co_ltd__qingdao_urban_construction_investment_group_co_ltd__shandong_taishan_steel_group_co_ltd_,qingdao_hengshun_zhongsheng_group,qingdao_zhongzi_zhongcheng_construction_group_co_ltd,owner_financier_epc,hengshun_zhongsheng_indonesia_industrial_park,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,4,-1,1600000,0,0,43900,0,0.12,65,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
38,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,106796.2905,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1,1,3440000,0,0,43000,0,0.22,106796.2905,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
39,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,17971.74275,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1.5,1,3440000,0,0,43000,0,0.22,17971.74275,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
40,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,1951.101112,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2,1,3440000,0,0,43000,0,0.22,1951.101112,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
41,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,2214.14673,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2.5,1,3440000,0,0,43000,0,0.22,2214.14673,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
42,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,1511.156294,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,3,1,3440000,0,0,43000,0,0.22,1511.156294,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
43,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,190340.6643,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1,1,560000,0,0,10000,0,0,190340.6643,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
44,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,42486.75073,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1.5,1,560000,0,0,10000,0,0,42486.75073,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
45,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,4678.034255,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2,1,560000,0,0,10000,0,0,4678.034255,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
46,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,345.8971,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,2.5,1,560000,0,0,10000,0,0,345.8971,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
47,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_solar,,solar,3622.16706,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,3,1,560000,0,0,10000,0,0,3622.16706,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
48,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_unit_4,,coal_captive,380,0,operating,2023,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,indonesia_wanjia_ferro_nickel_co_ltd,indonesia_wanjia_ferro_nickel_co_ltd,china,tsingshan_holding_group_,tsingshan_holding_group,china_energy_construction_group_zhejiang_thermal_power_construction_co_ltd,owner_financier_epc,indonesian_morowali_industrial_park_imip,supercritical,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,4,-1,1360000,0,0,40000,0,0.12,380,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
49,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_unit_5,,coal_captive,380,0,operating,2022,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,indonesia_zhaohui_ferro_nickel_co_ltd,indonesia_zhaohui_ferro_nickel_co_ltd,china,tsingshan_holding_group_,tsingshan_holding_group,china_energy_construction_group_zhejiang_thermal_power_construction_co_ltd,owner_financier_epc,indonesian_morowali_industrial_park_imip,supercritical,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,4,-1,1360000,0,0,40000,0,0.12,380,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
50,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_unit_6,,coal_captive,380,0,construction,,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities_preferential_policies_regarding_the_park_also_provides_the_power_plants_highly_discounted_coal_prices,pt_sulawesi_mining_investment,pt_bintang_delapan_group_shanghai_decent_investment_group_co_ltd,china_indonesia,tsingshan_holding_group_,tsingshan_holding_group,china_energy_construction_group_zhejiang_thermal_power_construction_co_ltd,owner_financier_epc,indonesian_morowali_industrial_park_imip,supercritical,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,4,-1,1360000,0,0,40000,0,0.12,380,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
51,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_unit_1,,coal_captive,350,0,construction,,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_walsin_nickel_industrial_indonesia,walsin_lihwa_corporation_perlux_investment_pte_ltd,china_singapore,tsingshan_holding_group_,eternal_tsingshan_group,powerchina_jiangxi_electric_power_survey__design_institute_co_ltd,owner_financier_epc,indonesian_morowali_industrial_park_imip,,,,,-2.86791,122.1771,Gardu Induk Bungku,50.97617009,4,-1,1360000,0,0,40000,0,0.12,350,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
