Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,3.022256384880938e-14,1.7950156104976486e-10,2.631495800061304e-14
2,1,1800.0,3.520994872701567e-14,1.977506395682255e-10,2.899027587503556e-14
3,1,1100.0,9.082955258292848e-14,3.280758673079559e-10,4.809597542625308e-14
4,1,400.0,0.3056696999952031,9.502654420412677,0.0013930906812457888
