ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
11,1,batt_candidate_kupang,-0.0,0.0,-0.0
12,2,batt_candidate_soe,-0.0,0.0,-0.0
