Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
1,0.0418043117744611,0.0418043117744611,0.0607589345028114,0.0624637830845771,0.0624637830845771,0.3406639505936983,0.3406639505936983,1,1705.7395301102283,616.1578442541215
2,0.0,0.0,0.0,0.4229919999999999,0.4229919999999999,2.20690652173913,2.20690652173913,1,9649.245132936778,6007.577567172792
3,3.1690727329974813,3.1690727329974813,4.862791500949629,0.4209509999999998,0.4209509999999998,2.378002905358394,2.378002905358394,1,7182.474391745202,8425.676752239302
4,0.0,0.0,0.0,0.019947226169844,0.019947226169844,0.1251298170341345,0.1251298170341345,1,3117.499466828251,1531.44645141606
5,0.0,0.0,0.0,0.219059,0.219059,1.0926855379866958,1.0926855379866958,1,4986.092452809652,3104.462862872569
6,0.0,0.0,0.0,0.0185269306759098,0.0185269306759098,0.1162202416487075,0.1162202416487075,1,2980.535254989988,1412.0690284976242
7,0.0,0.0,0.0,0.179303,0.179303,0.9598167547826087,0.9598167547826087,1,4082.1665167774913,2541.4515141856305
8,2.6735447231424514,2.6735447231424514,4.207328285340026,0.35439,0.35439,2.0136605298133707,2.0136605298133707,1,5961.665823305047,7121.267596946768
9,0.0,0.0,0.0,0.341673,0.341673,1.7556152173913042,1.7556152173913042,1,7779.806877827139,4849.728586768311
10,0.0,0.0,0.0,0.0203417417677643,0.0203417417677643,0.1276046305327407,0.1276046305327407,1,3179.013562908073,1561.3969744055582
11,0.0,0.0,0.0,0.330128,0.330128,1.714480207151715,1.714480207151715,1,7472.410771441465,4639.074069263932
12,0.0,0.0,0.0,0.013298,0.013298,0.0834189321739132,0.0834189321739132,1,2210.0831971428483,1053.1236734383776
13,2.2206643805056974,2.2206643805056974,3.778954019151436,1.5552511439440788,1.5552511439440788,6.178886956521739,6.178886956521739,1,1049.556244833377,2469.8186281503777
14,0.3967130070740133,0.3967130070740133,0.6261699011706516,0.1407064627761565,0.1407064627761565,0.7366094839668513,0.7366094839668513,1,397.79651033107103,132.43938572914325
15,1.466217813221233,1.466217813221233,2.474465191735089,1.0183471708305305,1.0183471708305305,4.0456260869565215,4.0456260869565215,1,696.9526238940119,1621.2756001363846
16,1.1401981150490867,1.1401981150490867,1.8019367073771908,0.0251586741767765,0.0251586741767765,0.1578214569663181,0.1578214569663181,1,3055.9828535121105,2857.1253001033347
17,1.863656589527105,1.863656589527105,3.1597341707462445,1.3005024717139009,1.3005024717139009,5.166579347826087,5.166579347826087,1,845.7403069745023,2023.3792694736696
18,0.292497688751926,0.292497688751926,0.4668215377557527,0.0570487411402157,0.0570487411402157,0.3576779178642728,0.3576779178642728,1,423.3509388022993,339.61058914841806
19,0.6108237771198219,0.6108237771198219,0.949815900919879,0.2565318359071893,0.2565318359071893,1.3163460610597055,1.3163460610597055,1,6.3874079561688495,8.036921288961054
20,0.1316329203951738,0.1316329203951738,0.2067274651906439,0.055442933157034,0.055442933157034,0.2847364288477251,0.2847364288477251,0,0.0,0.0
21,0.4932762582057144,0.4932762582057144,0.7752238768747649,0.207902319967192,0.207902319967192,1.067734953263242,1.067734953263242,0,0.0,0.0
22,0.3543899331340472,0.3543899331340472,0.551273550727701,0.1478491599435969,0.1478491599435969,0.7592876109731989,0.7592876109731989,0,0.0,0.0
23,0.3086817277971502,0.3086817277971502,0.4897513183306314,0.1261843247219173,0.1261843247219173,0.6550736274148644,0.6550736274148644,1,42.1433987823167,12.087478840627302
24,0.1978235258650773,0.1978235258650773,0.3129586946818172,0.0839271743638559,0.0839271743638559,0.4310506913636167,0.4310506913636167,0,0.0,0.0
25,0.1482345812298749,0.1482345812298749,0.2282606960419753,0.0612172348671137,0.0612172348671137,0.3143713254773935,0.3143713254773935,0,0.0,0.0
