Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
1,0.7567202939020413,0.7567202939020413,1.185342855314847,0.3047602469011048,0.3047602469011048,1.6947244357280884,1.6947244357280884,0,0.0,0.0
2,1.9489989973262032,1.9489989973262032,3.07425518172318,0.6578311805149961,0.6578311805149961,4.065691222067915,4.065691222067915,1,511.0919541561017,83.18791430005295
3,1.91165843214756,1.91165843214756,3.059155006190976,0.6547454690127161,0.6547454690127161,4.046863594417388,4.046863594417388,1,524.65295414142,84.8615769620122
4,0.917898582357482,0.917898582357482,1.4482958350339468,0.3256851122841435,0.3256851122841435,1.9711521111689427,1.9711521111689427,1,188.24396959180967,12.665697636606506
5,1.0355492801307664,1.0355492801307664,1.627674240132538,0.3648374427543602,0.3648374427543602,2.2112037717199757,2.2112037717199757,1,216.0206704674875,15.761524449581769
6,1.051001385715894,1.051001385715894,1.646309442039516,0.4232779246395284,0.4232779246395284,2.353784676465463,2.353784676465463,0,0.0,0.0
7,0.8424686483973762,0.8424686483973762,1.3332125051774202,0.2986432786988128,0.2986432786988128,1.8099487745018723,1.8099487745018723,1,174.8035686861428,14.949406817356683
8,0.7173346208915884,0.7173346208915884,1.1360913749096808,0.0,0.0,0.0,0.0,1,5787.994338510727,4068.544895920356
9,1.630874296814098,1.630874296814098,2.5452009981638497,0.56873947244278,0.56873947244278,3.4476996225990715,3.4476996225990715,1,338.2056142404044,23.25814032512736
10,0.9455313552008842,0.9455313552008842,1.469490636118747,0.3304453389476721,0.3304453389476721,2.0027068553448264,2.0027068553448264,1,194.7371436397496,11.101900639750156
11,1.4249824406999243,1.4249824406999243,2.256047385412846,0.5005404591652768,0.5005404591652768,3.01425544212573,3.01425544212573,1,504.1865905925357,28.97797949896152
12,0.7444173165907857,0.7444173165907857,1.1720192541806884,0.290959438784608,0.290959438784608,1.6571172387134676,1.6571172387134676,1,30.08958026503812,5.830510000010191
13,2.8362073930354468,2.8362073930354468,4.804396105058872,2.0118479859795184,2.0118479859795184,7.965122064784619,7.965122064784619,1,353.49252508025324,2983.854276246011
14,0.5608147619333692,0.5608147619333692,0.8784716629323738,0.225861864826548,0.225861864826548,1.2559815099312088,1.2559815099312088,0,0.0,0.0
15,1.6819894371985962,1.6819894371985962,2.823710073965536,1.1912484211571124,1.1912484211571124,5.262554791652052,5.262554791652052,1,402.16299792645,1800.0577543010231
16,1.252111484487901,1.252111484487901,2.0274544782992923,0.5027390072178153,0.5027390072178153,2.863214318196287,2.863214318196287,1,49.7231162826373,7.125155223216205
17,2.25682313775753,2.25682313775753,3.791190039587143,1.6003888811572244,1.6003888811572244,6.691297284190578,6.691297284190578,1,390.4822569103222,2362.286207242292
18,0.3395160745545313,0.3395160745545313,0.5544763347546591,0.1425437726536312,0.1425437726536312,0.7927363035867229,0.7927363035867229,0,0.0,0.0
19,0.5653231539092906,0.5653231539092906,0.8679323528916094,0.2231114633598983,0.2231114633598983,1.2408738519420686,1.2408738519420686,0,0.0,0.0
20,0.1221813824282035,0.1221813824282035,0.189655718811669,0.0487603612179116,0.0487603612179116,0.2711639150209546,0.2711639150209546,0,0.0,0.0
21,0.4578588230162893,0.4578588230162893,0.7112056752322603,0.1828434914619122,0.1828434914619122,1.0168370333668808,1.0168370333668808,0,0.0,0.0
22,0.3289430855331316,0.3289430855331316,0.5057470356178428,0.1300286562599021,0.1300286562599021,0.723094345184365,0.723094345184365,0,0.0,0.0
23,0.3119374660183009,0.3119374660183009,0.4886250972412887,0.1256289860274908,0.1256289860274908,0.6986041655426837,0.6986041655426837,0,0.0,0.0
24,0.1836207132614412,0.1836207132614412,0.2871160131620037,0.0738117036772961,0.0738117036772961,0.4105018685616814,0.4105018685616814,0,0.0,0.0
25,0.1375909494769641,0.1375909494769641,0.2094102776779051,0.0538390869875806,0.0538390869875806,0.2993880540752281,0.2993880540752281,0,0.0,0.0
26,0.3794827474649604,0.3794827474649604,0.586086336769055,0.1506695279376922,0.1506695279376922,0.8379419066162189,0.8379419066162189,0,0.0,0.0
27,0.3547432736066374,0.3547432736066374,0.5360374006038322,0.1377956390502098,0.1377956390502098,0.7663926018572877,0.7663926018572877,0,0.0,0.0
28,0.2591936581184416,0.2591936581184416,0.3977486970208666,0.1022649026830514,0.1022649026830514,0.5686822329694348,0.5686822329694348,0,0.0,0.0
29,0.1820884792523134,0.1820884792523134,0.2831662412294762,0.0728038735422667,0.0728038735422667,0.4048616698080508,0.4048616698080508,0,0.0,0.0
30,0.1501266821295537,0.1501266821295537,0.2173109062521818,0.0558676625030416,0.0558676625030416,0.3106802618794245,0.3106802618794245,0,0.0,0.0
31,0.2979520041104718,0.2979520041104718,0.4425290463931239,0.1137605207191281,0.1137605207191281,0.6327184477859867,0.6327184477859867,0,0.0,0.0
32,0.4380218336751788,0.4380218336751788,0.6637924121596395,0.1706531696468004,0.1706531696468004,0.9490500684372803,0.9490500684372803,0,0.0,0.0
33,0.2582490690786835,0.2582490690786835,0.3924800242302003,0.100889187579124,0.100889187579124,0.5611422760913071,0.5611422760913071,0,0.0,0.0
34,0.2046555177867066,0.2046555177867066,0.3160920739368622,0.0812543922854607,0.0812543922854607,0.4519271318834518,0.4519271318834518,0,0.0,0.0
35,0.2107975388838846,0.2107975388838846,0.323992671399133,0.0832966829543002,0.0832966829543002,0.4632150856557359,0.4632150856557359,0,0.0,0.0
36,0.1242746637283919,0.1242746637283919,0.1896558472162939,0.0487644500297216,0.0487644500297216,0.2711660221174135,0.2711660221174135,0,0.0,0.0
37,0.2178305443164964,0.2178305443164964,0.3318953542544414,0.0853223190503881,0.0853223190503881,0.4745080611281002,0.4745080611281002,0,0.0,0.0
38,0.4466444296995074,0.4466444296995074,0.6782809262459281,0.1743741714936458,0.1743741714936458,0.9697811192788724,0.9697811192788724,0,0.0,0.0
39,0.1942237566779945,0.1942237566779945,0.3042364595827546,0.0782215575990745,0.0782215575990745,0.4349758011582247,0.4349758011582247,0,0.0,0.0
40,0.1798024297775086,0.1798024297775086,0.2726274290158401,0.070086199551845,0.070086199551845,0.3897696680503023,0.3897696680503023,0,0.0,0.0
41,0.191540948276336,0.191540948276336,0.295019046762591,0.0758416088364842,0.0758416088364842,0.4218005997000411,0.4218005997000411,0,0.0,0.0
42,0.2118821273444317,0.2118821273444317,0.3318963016465228,0.0853330539826713,0.0853330539826713,0.4745236076591479,0.4745236076591479,0,0.0,0.0
