R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
28,1,north_maluku,north_maluku,pltmg_tidore,gas,20,0,2030,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0
29,1,north_maluku,north_maluku,north_maluku_solar_potential_ruen,solar,3036,0,,,,,1,560000,0,0,10000,0,0,3036,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
30,1,north_maluku,north_maluku,north_maluku_wind_potential_ruen,wind,504,0,,,,,1,1280000,0,0,51000,0,0,504,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
31,1,north_maluku,north_maluku,north_maluku_geothermal_potential_ruen,geothermal,580,0,,,,,1,3440000,0,0,43000,0,0.22,580,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
32,1,north_maluku,north_maluku,north_maluku_hydropower_mini_potential_ruen,hydropower_mini,24,0,,,,,1,2200000,0,0,40200,0,0.48,24,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
33,1,north_maluku,north_maluku,north_maluku_biomass_potential_ruen,biomass,27.5,0,,,,,1,1820000,0,0,43800,0,2.8,27.5,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1
34,1,north_maluku,north_maluku,north_maluku_biogas_potential_ruen,biogas,7,0,,,,,1,2150000,0,0,89200,0,0.1,7,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1
35,1,north_maluku,north_maluku,battery_candidate,battery,100,208,,candidate,,,1,0,578000,0,0,621,2.3,100,0,0,1,2,0,0,0,None,1,1,0.92,0.92,0,0,1,0
36,1,jawa_bali,dki_jakarta,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
37,1,jawa_bali,dki_jakarta,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
38,1,jawa_bali,dki_jakarta,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
39,1,jawa_bali,dki_jakarta,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0
40,1,jawa_bali,dki_jakarta,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
41,1,jawa_bali,dki_jakarta,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
42,1,jawa_bali,dki_jakarta,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
43,1,jawa_bali,dki_jakarta,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0
44,1,jawa_bali,dki_jakarta,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
45,1,jawa_bali,dki_jakarta,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
46,1,jawa_bali,dki_jakarta,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
47,1,jawa_bali,dki_jakarta,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0
