r_id,jinchuan_group_wprka_power_station_unit_1,jinchuan_group_wprka_power_station_unit_2,jinchuan_group_wprka_power_station_unit_3,xinxing_ductile_iron_pipes_power_station_unit_1,xinxing_ductile_iron_pipes_power_station_unit_2,xinxing_ductile_iron_pipes_power_station_unit_3,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_geothermal,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_solar,xinxing_ductile_iron_pipes_power_station_wind,xinxing_ductile_iron_pipes_power_station_wind,xinxing_ductile_iron_pipes_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_1,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_2,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_3,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_ii_unit_4,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_1,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_2,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_i_unit_3,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_5,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_6,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_7,pt_halmahera_persada_lygend_nickel_smelter_power_station_phase_iii_unit_8,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_geothermal,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_solar,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,pt_halmahera_persada_lygend_nickel_smelter_power_station_wind,weda_bay_power_station_unit_1314,weda_bay_power_station_unit_1315,weda_bay_power_station_unit_1,weda_bay_power_station_unit_2,weda_bay_power_station_unit_3,weda_bay_power_station_unit_4,weda_bay_power_station_unit_9,weda_bay_power_station_unit_5,weda_bay_power_station_unit_6,weda_bay_power_station_unit_7,weda_bay_power_station_unit_8,weda_bay_power_station_unit_10,weda_bay_power_station_unit_11,weda_bay_power_station_unit_12,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_geothermal,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar,weda_bay_power_station_solar
259,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.027,0.027,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.027,0.027,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
260,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
261,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.118,0.118,0.118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.118,0.118,0.118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
262,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.162,0.162,0.162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.162,0.162,0.162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
263,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.157,0.157,0.157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.157,0.157,0.157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
264,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
265,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.112,0.112,0.112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.112,0.112,0.112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
266,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.099,0.099,0.099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.099,0.099,0.099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
267,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
268,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.059,0.059,0.059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.059,0.059,0.059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
269,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.043,0.043,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.043,0.043,0.043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
270,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001,0.034,0.034,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001,0.034,0.034,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.001,0.001,0.001,0.001
271,1,1,1,1,1,1,1,1,1,1,1,0.088,0.088,0.088,0.088,0.088,0.026,0.026,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.088,0.088,0.088,0.088,0.088,0.026,0.026,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.088,0.088,0.088,0.088,0.088
272,1,1,1,1,1,1,1,1,1,1,1,0.275,0.275,0.275,0.275,0.275,0.022,0.022,0.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.275,0.275,0.275,0.275,0.275,0.022,0.022,0.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.275,0.275,0.275,0.275,0.275
273,1,1,1,1,1,1,1,1,1,1,1,0.457,0.457,0.457,0.457,0.457,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.457,0.457,0.457,0.457,0.457,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.457,0.457,0.457,0.457,0.457
274,1,1,1,1,1,1,1,1,1,1,1,0.556,0.556,0.556,0.556,0.556,0.04,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.556,0.556,0.556,0.556,0.556,0.04,0.04,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.556,0.556,0.556,0.556,0.556
275,1,1,1,1,1,1,1,1,1,1,1,0.586,0.586,0.586,0.586,0.586,0.053,0.053,0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.586,0.586,0.586,0.586,0.586,0.053,0.053,0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.586,0.586,0.586,0.586,0.586
276,1,1,1,1,1,1,1,1,1,1,1,0.569,0.569,0.569,0.569,0.569,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569,0.569,0.569,0.569,0.569,0.067,0.067,0.067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569,0.569,0.569,0.569,0.569
277,1,1,1,1,1,1,1,1,1,1,1,0.521,0.521,0.521,0.521,0.521,0.083,0.083,0.083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521,0.521,0.521,0.521,0.521,0.083,0.083,0.083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521,0.521,0.521,0.521,0.521
278,1,1,1,1,1,1,1,1,1,1,1,0.48,0.48,0.48,0.48,0.48,0.095,0.095,0.095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48,0.48,0.48,0.48,0.48,0.095,0.095,0.095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.48,0.48,0.48,0.48,0.48
279,1,1,1,1,1,1,1,1,1,1,1,0.378,0.378,0.378,0.378,0.378,0.105,0.105,0.105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.378,0.378,0.378,0.378,0.378,0.105,0.105,0.105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.378,0.378,0.378,0.378,0.378
280,1,1,1,1,1,1,1,1,1,1,1,0.232,0.232,0.232,0.232,0.232,0.104,0.104,0.104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232,0.232,0.232,0.232,0.232,0.104,0.104,0.104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.232,0.232,0.232,0.232,0.232
281,1,1,1,1,1,1,1,1,1,1,1,0.089,0.089,0.089,0.089,0.089,0.094,0.094,0.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.089,0.089,0.089,0.089,0.089,0.094,0.094,0.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.089,0.089,0.089,0.089,0.089
282,1,1,1,1,1,1,1,1,1,1,1,0.002,0.002,0.002,0.002,0.002,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002,0.002,0.002,0.002,0.002,0.08,0.08,0.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002,0.002,0.002,0.002,0.002
283,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.057,0.057,0.057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.057,0.057,0.057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
284,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.033,0.033,0.033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.033,0.033,0.033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
285,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.016,0.016,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.016,0.016,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
286,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.008,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.008,0.008,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
287,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
288,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.007,0.007,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.007,0.007,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
289,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.012,0.012,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.012,0.012,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
290,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023,0.023,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023,0.023,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
291,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.035,0.035,0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.035,0.035,0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
292,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.042,0.042,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.042,0.042,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
293,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.047,0.047,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.047,0.047,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
294,1,1,1,1,1,1,1,1,1,1,1,0.005,0.005,0.005,0.005,0.005,0.047,0.047,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005,0.005,0.005,0.005,0.005,0.047,0.047,0.047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005,0.005,0.005,0.005,0.005
295,1,1,1,1,1,1,1,1,1,1,1,0.124,0.124,0.124,0.124,0.124,0.039,0.039,0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.124,0.124,0.124,0.124,0.124,0.039,0.039,0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.124,0.124,0.124,0.124,0.124
296,1,1,1,1,1,1,1,1,1,1,1,0.297,0.297,0.297,0.297,0.297,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.297,0.297,0.297,0.297,0.297,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.297,0.297,0.297,0.297,0.297
297,1,1,1,1,1,1,1,1,1,1,1,0.465,0.465,0.465,0.465,0.465,0.025,0.025,0.025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.465,0.465,0.465,0.465,0.465,0.025,0.025,0.025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.465,0.465,0.465,0.465,0.465
298,1,1,1,1,1,1,1,1,1,1,1,0.565,0.565,0.565,0.565,0.565,0.024,0.024,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.565,0.565,0.565,0.565,0.565,0.024,0.024,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.565,0.565,0.565,0.565,0.565
299,1,1,1,1,1,1,1,1,1,1,1,0.606,0.606,0.606,0.606,0.606,0.024,0.024,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.606,0.606,0.606,0.606,0.606,0.024,0.024,0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.606,0.606,0.606,0.606,0.606
300,1,1,1,1,1,1,1,1,1,1,1,0.612,0.612,0.612,0.612,0.612,0.02,0.02,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.612,0.612,0.612,0.612,0.612,0.02,0.02,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.612,0.612,0.612,0.612,0.612
301,1,1,1,1,1,1,1,1,1,1,1,0.575,0.575,0.575,0.575,0.575,0.018,0.018,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.575,0.575,0.575,0.575,0.575,0.018,0.018,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.575,0.575,0.575,0.575,0.575
302,1,1,1,1,1,1,1,1,1,1,1,0.474,0.474,0.474,0.474,0.474,0.022,0.022,0.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.474,0.474,0.474,0.474,0.474,0.022,0.022,0.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.474,0.474,0.474,0.474,0.474
303,1,1,1,1,1,1,1,1,1,1,1,0.341,0.341,0.341,0.341,0.341,0.03,0.03,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.341,0.341,0.341,0.341,0.341,0.03,0.03,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.341,0.341,0.341,0.341,0.341
304,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.039,0.039,0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.039,0.039,0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183
305,1,1,1,1,1,1,1,1,1,1,1,0.055,0.055,0.055,0.055,0.055,0.05,0.05,0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.055,0.055,0.055,0.055,0.055,0.05,0.05,0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.055,0.055,0.055,0.055,0.055
306,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.049,0.049,0.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.049,0.049,0.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
307,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.042,0.042,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.042,0.042,0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
308,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.037,0.037,0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.037,0.037,0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
309,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.031,0.031,0.031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.031,0.031,0.031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
310,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.026,0.026,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.026,0.026,0.026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
311,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023,0.023,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.023,0.023,0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
312,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.028,0.028,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
313,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.038,0.038,0.038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.038,0.038,0.038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
314,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.05,0.05,0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.05,0.05,0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
315,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061,0.061,0.061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061,0.061,0.061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
316,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
317,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061,0.061,0.061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.061,0.061,0.061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
318,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.045,0.045,0.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.045,0.045,0.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
319,1,1,1,1,1,1,1,1,1,1,1,0.051,0.051,0.051,0.051,0.051,0.035,0.035,0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051,0.051,0.051,0.051,0.051,0.035,0.035,0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051,0.051,0.051,0.051,0.051
320,1,1,1,1,1,1,1,1,1,1,1,0.149,0.149,0.149,0.149,0.149,0.034,0.034,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.149,0.149,0.149,0.149,0.149,0.034,0.034,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.149,0.149,0.149,0.149,0.149
321,1,1,1,1,1,1,1,1,1,1,1,0.245,0.245,0.245,0.245,0.245,0.044,0.044,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.245,0.245,0.245,0.245,0.245,0.044,0.044,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.245,0.245,0.245,0.245,0.245
322,1,1,1,1,1,1,1,1,1,1,1,0.262,0.262,0.262,0.262,0.262,0.057,0.057,0.057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.262,0.262,0.262,0.262,0.262,0.057,0.057,0.057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.262,0.262,0.262,0.262,0.262
323,1,1,1,1,1,1,1,1,1,1,1,0.255,0.255,0.255,0.255,0.255,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.255,0.255,0.255,0.255,0.255,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.255,0.255,0.255,0.255,0.255
324,1,1,1,1,1,1,1,1,1,1,1,0.242,0.242,0.242,0.242,0.242,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.242,0.242,0.242,0.242,0.242,0.065,0.065,0.065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.242,0.242,0.242,0.242,0.242
325,1,1,1,1,1,1,1,1,1,1,1,0.248,0.248,0.248,0.248,0.248,0.066,0.066,0.066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.248,0.248,0.248,0.248,0.248,0.066,0.066,0.066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.248,0.248,0.248,0.248,0.248
326,1,1,1,1,1,1,1,1,1,1,1,0.225,0.225,0.225,0.225,0.225,0.058,0.058,0.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.225,0.225,0.225,0.225,0.225,0.058,0.058,0.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.225,0.225,0.225,0.225,0.225
327,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.058,0.058,0.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183,0.058,0.058,0.058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183,0.183,0.183,0.183,0.183
328,1,1,1,1,1,1,1,1,1,1,1,0.116,0.116,0.116,0.116,0.116,0.076,0.076,0.076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.116,0.116,0.116,0.116,0.116,0.076,0.076,0.076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.116,0.116,0.116,0.116,0.116
329,1,1,1,1,1,1,1,1,1,1,1,0.048,0.048,0.048,0.048,0.048,0.09,0.09,0.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048,0.048,0.048,0.048,0.048,0.09,0.09,0.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048,0.048,0.048,0.048,0.048
330,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.089,0.089,0.089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.089,0.089,0.089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
331,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.087,0.087,0.087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.087,0.087,0.087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
332,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.084,0.084,0.084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.084,0.084,0.084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
333,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.091,0.091,0.091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.091,0.091,0.091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
334,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.111,0.111,0.111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.111,0.111,0.111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
