Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,788,866,418,1380,281
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,755,830,401,1323,270
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,730,802,386,1277,261
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,701,770,371,1228,250
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,680,747,360,1190,243
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,661,725,350,1156,236
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,653,717,346,1143,233
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,647,712,342,1134,231
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,597,656,316,1046,213
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,612,673,324,1073,219
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,638,700,337,1116,227
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,664,729,351,1162,237
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,675,741,357,1182,240
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,675,740,357,1180,240
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,695,764,368,1216,248
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,709,778,375,1240,253
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,732,804,387,1281,262
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,741,812,392,1296,264
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,718,789,381,1258,257
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,720,791,382,1262,257
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,795,873,421,1392,283
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,817,897,432,1430,292
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,817,897,432,1431,292
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,804,884,426,1408,287
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,777,854,411,1360,277
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,738,810,391,1293,264
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,703,772,372,1232,251
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,679,746,359,1188,243
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,656,721,348,1149,234
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,639,701,338,1118,228
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,642,705,340,1125,230
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,656,721,348,1149,234
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,656,721,348,1149,234
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,748,821,396,1310,267
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,798,876,423,1397,284
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,825,906,437,1445,295
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,834,917,442,1461,298
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,818,898,433,1432,292
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,848,931,449,1485,302
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,873,959,462,1529,312
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,888,976,470,1555,317
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,891,979,471,1561,318
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,843,926,446,1477,301
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,814,894,431,1426,290
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,870,956,461,1525,311
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,883,970,467,1547,315
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,872,958,462,1527,312
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,850,933,450,1489,303
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,815,894,431,1426,290
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,769,845,407,1347,275
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,741,813,392,1297,264
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,714,785,378,1250,255
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,691,759,366,1210,246
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,676,741,357,1183,242
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,674,740,357,1180,240
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,689,756,365,1206,245
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,679,746,359,1189,243
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,764,839,404,1337,273
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,812,891,429,1421,289
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,845,927,447,1479,301
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,858,942,455,1503,306
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,840,923,445,1470,300
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,865,950,458,1515,309
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,893,981,472,1564,319
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,908,997,481,1590,324
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,910,1000,482,1595,325
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,859,943,455,1504,307
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,825,906,437,1444,295
,,,,,,,,,69,6,13,21,2023-06-13T19:40:00+08:00,886,974,469,1552,317
,,,,,,,,,70,6,13,22,2023-06-13T20:40:00+08:00,902,990,478,1578,322
,,,,,,,,,71,6,13,23,2023-06-13T21:40:00+08:00,887,975,469,1554,317
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,868,954,460,1519,309
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,833,914,441,1458,298
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,786,863,416,1377,281
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,752,826,398,1318,269
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,732,804,388,1282,262
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,700,769,371,1226,250
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,678,746,359,1188,243
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,676,742,358,1184,242
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,684,751,363,1198,244
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,676,742,357,1183,242
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,746,820,395,1307,267
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,799,877,423,1398,286
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,821,902,434,1438,293
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,831,913,440,1455,296
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,814,894,431,1426,290
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,848,930,448,1483,302
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,867,953,459,1518,309
