Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,16,12,237,481
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,12,9,178,361
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,12,9,178,361
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,12,9,178,361
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,12,9,178,361
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,12,9,178,361
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,12,9,178,361
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,20,15,297,602
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,20,15,297,602
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,20,15,297,602
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,20,15,297,602
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,20,15,297,602
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,20,15,297,602
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,20,15,297,602
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,20,15,297,602
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,20,15,297,602
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,20,15,297,602
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,20,15,297,602
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,20,15,297,602
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,16,12,237,481
,,,,,,,,,92,6,14,20,2023-06-14T18:40:00+08:00,16,12,237,481
,,,,,,,,,93,6,14,21,2023-06-14T19:40:00+08:00,16,12,237,481
,,,,,,,,,94,6,14,22,2023-06-14T20:40:00+08:00,16,12,237,481
,,,,,,,,,95,6,14,23,2023-06-14T21:40:00+08:00,16,12,237,481
,,,,,,,,,96,6,14,24,2023-06-14T22:40:00+08:00,16,12,237,481
,,,,,,,,,97,6,15,1,2023-06-14T23:40:00+08:00,12,9,178,361
,,,,,,,,,98,6,15,2,2023-06-15T00:40:00+08:00,12,9,178,361
,,,,,,,,,99,6,15,3,2023-06-15T01:40:00+08:00,12,9,178,361
