ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
1,1,1,1600.1701143741836,1661.8993915303474
2,1,1,6479.282619071442,2958.1529353214282
3,1,1,6510.526232590734,2920.1257128163616
4,1,1,2979.6623657881314,1293.6798181868105
5,1,1,3381.616847489411,1541.3914395930472
6,1,1,1906.4405034028823,2096.6248525706665
7,1,1,2885.5734856996933,1376.8359749293384
8,1,1,5729.3601120970825,2762.1360479217537
9,1,1,5352.692460904608,2424.189138602306
10,1,1,3008.000676737671,1291.1830253221024
11,1,1,4998.8652175178595,2250.9476731428567
12,1,1,2036.6966387561818,797.7591934376819
13,1,1,688.3376746415187,2501.523000716221
14,1,1,929.5257792849602,1166.5780211750014
15,1,1,465.6138338599099,1657.8410723850745
16,1,1,3959.044985732137,1916.3798354821424
17,1,1,764.4238734204401,1889.349826605384
18,1,1,927.5874903737244,343.84683536951434
19,1,1,1635.459482267856,790.4401755178576
20,1,0,0.0,0.0
21,1,0,0.0,0.0
22,1,0,0.0,0.0
23,1,1,530.1947755486664,625.346039536094
24,1,0,0.0,0.0
25,1,0,0.0,0.0
26,1,0,0.0,0.0
27,1,1,900.7890501978221,335.7823900464286
28,1,0,0.0,0.0
29,1,0,0.0,0.0
30,1,0,0.0,0.0
31,1,0,0.0,0.0
32,1,0,0.0,0.0
33,1,0,0.0,0.0
34,1,0,0.0,0.0
35,1,0,0.0,0.0
36,1,0,0.0,0.0
37,1,0,0.0,0.0
38,1,1,1269.577667858895,597.9288325713029
39,1,1,332.524182900613,414.55310394221027
40,1,0,0.0,0.0
41,1,0,0.0,0.0
42,1,1,395.76918482513463,462.6526838716813
43,1,0,0.0,0.0
44,1,0,0.0,0.0
45,1,0,0.0,0.0
46,1,0,0.0,0.0
47,1,1,539.9972807344552,579.5565454792595
48,1,0,0.0,0.0
49,1,1,1527.0703179186448,634.1230720260419
50,1,1,1773.245358793464,747.6943918785392
51,1,0,0.0,0.0
52,1,1,1280.579066232144,613.7950453571431
53,1,0,0.0,0.0
54,1,0,0.0,0.0
55,1,1,1713.7541195892868,854.6295645892855
56,1,0,0.0,0.0
57,1,1,1296.5652687492304,525.5062281991998
58,1,1,1987.3334552142899,956.3840520892857
59,1,0,0.0,0.0
60,1,1,3438.972243977822,1617.676434045933
61,1,0,0.0,0.0
62,1,1,2326.43974973214,1133.923663857143
63,1,1,547.4786108249383,651.3791070277208
64,1,0,0.0,0.0
65,1,0,0.0,0.0
66,1,1,3463.559604809362,1547.2462285798022
67,1,1,3047.0373601717693,1536.5911680641934
68,1,1,1394.2026467813498,592.291521572375
69,1,1,2887.8299945592225,1445.002170020081
70,1,0,0.0,0.0
71,1,1,1193.313037214287,575.2557165892858
72,1,1,694.9929496411818,759.5170139073558
73,1,1,744.2750282594471,305.5106926459143
74,1,1,5790.9470844995,2815.8458698703953
75,1,1,814.6244880330411,829.6762084864032
76,1,0,0.0,0.0
77,1,1,2631.4996372321407,1321.0140829821435
78,1,0,0.0,0.0
79,1,1,494.73429355112575,196.65916629972727
80,1,1,797.007690230234,316.49767794639996
81,1,1,1291.6535646939033,546.8129456654962
82,1,1,3834.977238882782,4061.749691405316
83,1,1,2141.0608636680813,2221.7694502442478
84,1,1,2885.940554028577,3001.851077143282
85,1,1,340.51882605035377,428.59490368707395
86,1,1,3039.9225562289757,2494.6732750335264
87,1,1,2679.5885554639435,2821.3173377080443
88,1,1,1147.9394777780221,1193.4381860139715
89,1,1,4973.502814039476,5211.0396428145505
90,1,1,1863.7013028383926,1331.910581905753
91,1,1,1444.429488328677,1548.5645808758277
92,1,1,1211.452021483172,1462.3943381787756
93,1,1,6891.3173611822385,7352.676247104751
94,1,1,771.4560223632419,856.4041154454651
95,1,1,387.98099631783185,149.80574560100004
96,1,0,0.0,0.0
97,1,1,752.7091575048867,298.05309468179547
98,1,0,0.0,0.0
99,1,1,431.68437904437536,180.91210770205237
100,1,1,1661.7760330964368,686.0292505184658
101,1,0,0.0,0.0
102,1,1,1104.918252885835,443.9307519846377
103,1,1,1434.0209989673785,674.9113175942624
104,1,1,1623.6584500060706,705.4291252614121
105,1,0,0.0,0.0
106,1,0,0.0,0.0
107,1,0,0.0,0.0
108,1,1,526.3874331044649,605.0469386979922
109,1,1,989.8646729274521,393.3537642524785
110,1,0,0.0,0.0
111,1,1,1223.0484562857164,560.1117642857143
112,1,1,1355.410640124997,620.6666280000004
113,1,1,2083.0857759107107,1027.772687410714
114,1,1,974.4357653035696,446.1387069285715
115,1,1,1017.6304045535704,485.48638230357153
116,1,1,1004.7282033214299,459.7601138214286
117,1,1,1426.1518110907712,583.2498713954315
118,1,1,1010.0177464004923,394.37505129435345
119,1,1,844.8356394025207,325.8935134773359
120,1,1,1076.7048501476415,459.9556239732006
121,1,1,1515.027011892856,718.7337517678573
122,1,1,1070.0583695971407,433.5637622782916
123,1,1,1124.3734891071447,566.5840063571429
124,1,1,1019.3481971079711,388.44533727697154
125,1,1,1449.0149480305136,579.1934742777569
126,1,1,1190.1010587321405,566.9140568571424
127,1,1,2156.870085500633,1070.1121201917479
128,1,1,1693.4720081419002,731.1886340852717
129,1,1,1458.7505429464309,649.6335210714286
130,1,1,1151.667121423452,457.52180907900004
131,1,1,1427.3281348392886,675.914246089286
132,1,1,1086.6123676184188,423.4531688668348
133,1,0,0.0,0.0
134,1,1,1565.2320470535683,767.6566805535718
135,1,1,2184.484159640129,962.2561217651123
136,1,1,1028.4565908314316,403.8269541251405
137,1,1,281.6566377527191,368.7259003420403
138,1,0,0.0,0.0
139,1,0,0.0,0.0
140,1,0,0.0,0.0
141,1,0,0.0,0.0
142,1,0,0.0,0.0
143,1,0,0.0,0.0
144,1,0,0.0,0.0
145,1,0,0.0,0.0
146,1,0,0.0,0.0
147,1,0,0.0,0.0
148,1,0,0.0,0.0
149,1,0,0.0,0.0
150,1,0,0.0,0.0
151,1,0,0.0,0.0
152,1,1,708.0483716199966,755.4212307003722
153,1,1,332.1407868556227,418.0306348949083
154,1,0,0.0,0.0
155,1,0,0.0,0.0
156,1,0,0.0,0.0
157,1,0,0.0,0.0
158,1,0,0.0,0.0
159,1,0,0.0,0.0
160,1,0,0.0,0.0
161,1,0,0.0,0.0
162,1,0,0.0,0.0
163,1,0,0.0,0.0
164,1,0,0.0,0.0
165,1,0,0.0,0.0
166,1,0,0.0,0.0
167,1,0,0.0,0.0
168,1,0,0.0,0.0
169,1,1,2493.7983831577244,1001.7226447694504
170,1,1,2096.2676941785735,1031.978826428572
171,1,1,1875.1372878214258,936.5115444464279
172,1,0,0.0,0.0
173,1,1,1394.0629652242274,580.1161055989841
174,1,1,1053.3700100301692,1127.994473261567
175,1,1,1162.9965507857132,535.9629331607143
176,1,1,702.6564136273548,265.1771061066475
177,1,1,2459.8193218543265,1059.2488854666267
178,1,1,901.4663552979241,360.9109247449148
179,1,0,0.0,0.0
180,1,0,0.0,0.0
181,1,0,0.0,0.0
182,1,1,1650.0074103571994,658.9391065242921
183,1,0,0.0,0.0
184,1,0,0.0,0.0
185,1,1,1469.2772386363174,625.3231364120084
186,1,0,0.0,0.0
187,1,0,0.0,0.0
188,1,1,6590.332670517875,7230.129166205254
189,1,1,5617.479631291506,5983.258393024556
190,1,1,20579.24384019719,18605.932894717345
191,1,1,3383.5320735283103,3439.624695567302
192,1,1,909.2041957862713,1039.3073842807728
193,1,1,703.1905380286443,783.5462698590163
194,1,1,478.6740283788607,533.3709455909409
195,1,1,1851.678544658775,1932.3437334135708
196,1,1,284.7648531313491,389.33497326042027
197,1,1,716.586092714286,371.65333096428583
198,1,1,1042.8284639821086,1203.2797066790338
199,1,1,1804.248593459797,2038.6512393888954
200,1,1,2626.151111212046,2697.3838905967937
201,1,1,1127.7992810414885,1175.047564896374
202,1,1,333.39285521074186,423.4436496450431
203,1,1,2424.146696891965,2640.870980013263
204,1,1,1855.4927543388746,1957.9798195114925
205,1,1,2350.806718885683,2568.429746635647
206,1,1,1355.7800212695606,1581.2684812944185
207,1,1,2257.6058011779073,1728.9894698794894
208,1,1,2603.4385400975434,2948.6343111031606
209,1,1,728.4677561904639,771.8414977721173
210,1,1,1966.6978706751145,2053.924398912758
211,1,1,406.6573930656638,731.3070648717493
212,1,1,985.4518886271368,1652.1545239494183
213,1,1,924.4184654016358,355.01370602038736
214,1,1,409.19813875028075,650.5072127198789
215,1,1,485.09692663080267,812.6312934888899
216,1,1,414.605485585153,722.7739000346638
217,1,1,808.2076738929416,872.4809674914632
218,1,1,279.47041628210644,459.29413843304116
219,1,1,392.34019666218103,614.6561936088202
220,1,1,671.6547748540717,1160.2137246070813
221,1,1,203.22359507141573,1028.9056168256177
222,1,1,180.9881036287612,959.8959146662694
223,1,1,3172.9403057240343,1414.6179236677756
224,1,1,5833.006550150773,2834.986535946466
225,1,1,2801.370496651192,1215.737209699228
226,1,1,1619.7213760142909,726.7157755080581
227,1,1,898.6839735794297,336.49054318199245
228,1,1,2805.097092818366,1213.900590560049
229,1,1,2689.5348017694896,1169.1142610091279
230,1,1,3578.1219767828065,1679.259862286878
231,1,1,2351.1361067872745,989.9140352758561
232,1,1,2634.6066694464307,1303.6038928214305
233,1,1,1802.7331473931592,878.5861874198803
234,1,1,6003.684216940088,3196.7670258366256
235,1,1,1767.680520028256,695.3487939751739
236,1,1,1553.4118748217404,640.5083028670285
237,1,1,703.7819226221077,261.7939888307496
238,1,1,3271.273052347867,1507.2648170035816
239,1,1,471.3850896741082,542.3534842146776
240,1,1,1559.1879560918353,714.2709942663539
241,1,1,750.9434203122338,288.421060330899
242,1,1,1638.0774482326685,644.9657176234467
243,1,1,1263.5591418848755,536.2875153894797
244,1,1,5424.020219249723,2537.381128446528
245,1,1,2731.755930239211,2841.7109124642184
246,1,1,3917.8536462950765,4406.902584556579
247,1,1,5094.254684365437,5409.465337402853
248,1,1,2051.7172496317557,2423.8005232648475
249,1,1,3915.6385870691693,4247.888444548551
250,1,1,4798.858835243009,4299.010965015344
251,1,1,3776.254734409531,3931.8106528796593
252,1,1,7448.039142993454,7208.13621543813
253,1,1,364.0249950443722,500.8399454868838
254,1,1,392.0599317383544,672.0132841624068
255,1,1,835.4139697429724,314.08614870994325
256,1,1,1103.5755251964276,544.5034183214286
257,1,1,594.7348183585176,236.4231957477228
258,1,0,0.0,0.0
259,1,0,0.0,0.0
260,1,1,276.37257964638474,449.04272796751695
261,1,0,0.0,0.0
262,1,1,1082.5812491836832,444.03473278782326
263,1,1,322.9672015580242,396.60268493509716
264,1,1,5121.840464115328,5342.995410373769
265,1,1,1921.8128183223957,2025.1303034143048
266,1,1,6652.229834301282,6457.209162099298
267,1,1,5045.235982663397,5502.4738310257835
268,1,1,10306.22060219946,5439.902345651052
269,1,1,2195.3646112728024,1608.9142052138907
270,1,1,2755.342186820854,2925.9686728361444
271,1,0,0.0,0.0
272,1,1,499.54304812330525,775.2124376600915
273,1,1,542.1584895730955,932.3233970269171
274,1,1,308.2947989924073,496.6843883491749
275,1,0,0.0,0.0
276,1,1,373.06521019457034,598.9098055902678
277,1,1,354.6948924653145,591.2581929873053
278,1,1,330.72166385718594,534.2937326881724
279,1,1,208.73971963236295,1023.1254690422742
280,1,0,0.0,0.0
281,1,0,0.0,0.0
282,1,0,0.0,0.0
283,1,1,664.6596862788253,1082.9742652830448
284,1,1,316.1887892349676,419.01840151711167
285,1,1,1282.2436833471484,516.5041033148857
286,1,1,1803.4962028571388,848.2004301071433
287,1,0,0.0,0.0
288,1,0,0.0,0.0
289,1,1,2476.0508348392873,1201.4686435892854
290,1,0,0.0,0.0
291,1,1,574.0570072037177,2888.732789234542
292,1,1,1335.054370780074,577.3130762685084
293,1,1,2178.070866857141,1043.2565304821428
294,1,1,1517.117565000003,743.9047719999998
295,1,1,1026.8405968035743,488.28454092857146
296,1,1,1718.5635449680597,830.6795214639087
297,1,0,0.0,0.0
298,1,1,824.9800114420219,316.2278385704289
299,1,1,1581.267566036947,1715.9857883662582
300,1,1,1402.6474609174593,624.5982426890033
301,1,0,0.0,0.0
302,1,1,1421.044838721496,602.9203212248763
303,1,1,1422.4633939355233,586.3526203097254
304,1,1,1302.6426622497129,516.1724898699329
305,1,1,1556.7957071880985,642.0516614461432
306,1,1,1085.0428398179163,405.38061706434826
307,1,1,2086.1154717070267,922.1515311825754
308,1,0,0.0,0.0
309,1,1,1369.392717803531,586.4012592472261
310,1,0,0.0,0.0
311,1,0,0.0,0.0
312,1,0,0.0,0.0
313,1,0,0.0,0.0
314,1,0,0.0,0.0
315,1,1,818.4065668958185,981.3281561954797
316,1,0,0.0,0.0
317,1,0,0.0,0.0
318,1,0,0.0,0.0
319,1,1,1223.254582647544,1268.8368877543423
320,1,0,0.0,0.0
321,1,0,0.0,0.0
322,1,1,482.94698645526927,571.4633425292474
323,1,1,1046.705490779881,1163.2473879174604
324,1,1,1168.6255720192426,1266.050153642654
325,1,0,0.0,0.0
326,1,0,0.0,0.0
327,1,0,0.0,0.0
328,1,1,751.203742657762,1532.7791172809332
329,1,1,946.0378205763453,1955.8018644329418
330,1,0,0.0,0.0
331,1,1,749.4886599091712,1590.9471065004552
332,1,1,615.8055924935918,701.0302719431985
333,1,1,2480.6714602656016,4686.188528541331
334,1,1,717.1148054533592,1345.4718477073036
335,1,1,1976.026091725347,2304.2987305237293
336,1,1,682.0632748181806,1600.6742709623454
337,1,1,748.6695963290529,1397.8375982975017
338,1,1,1081.1139033201769,1125.544146335463
339,1,1,996.8163196252356,1965.2027044856268
340,1,1,806.537234586767,1583.9701705337873
341,1,1,1052.1208376416807,2121.6366966914466
342,1,1,647.4114975694216,693.1211482202103
343,1,1,645.7554801987548,1216.305426475758
344,1,1,838.753409603284,1629.7953961972567
345,1,1,556.3475290586838,1138.4958240083588
346,1,1,759.505516994972,1553.8622772224662
347,1,1,1170.070596563114,2126.4861093697295
348,1,0,0.0,0.0
349,1,1,1459.6716268496243,2835.722494077456
350,1,0,0.0,0.0
351,1,0,0.0,0.0
352,1,1,831.3888113435135,860.6667074553784
353,1,0,0.0,0.0
354,1,1,1334.6246259455097,1418.6142073260894
355,1,1,1776.0324588659194,1848.5577085430511
356,1,0,0.0,0.0
357,1,1,351.5503970820226,428.6754412024455
358,1,1,414.72066147132364,998.0056857436283
359,1,0,0.0,0.0
360,1,0,0.0,0.0
361,1,1,686.337352470476,1603.3333714296261
362,1,1,643.3938481784695,1497.3503346005916
363,1,1,828.5636446070336,2124.159527074344
364,1,0,0.0,0.0
365,1,1,1397.756569793754,1474.7974438745641
366,1,1,560.5023402081043,1235.6718558637078
367,1,1,554.3106123824789,1292.975365886555
368,1,0,0.0,0.0
369,1,0,0.0,0.0
370,1,0,0.0,0.0
371,1,1,691.8696494334492,1385.166844966736
372,1,1,677.0249546636311,1353.5455893216892
373,1,1,931.6440768520073,1800.375380814258
374,1,1,1019.5665686824937,2061.629224699279
375,1,1,407.27459698952157,519.077021078812
376,1,0,0.0,0.0
377,1,1,615.3689639746997,687.9909180677386
378,1,0,0.0,0.0
379,1,0,0.0,0.0
380,1,0,0.0,0.0
381,1,0,0.0,0.0
382,1,0,0.0,0.0
383,1,0,0.0,0.0
384,1,0,0.0,0.0
385,1,0,0.0,0.0
386,1,0,0.0,0.0
387,1,1,715.836444616557,1647.1510712558688
388,1,0,0.0,0.0
389,1,0,0.0,0.0
390,1,0,0.0,0.0
391,1,0,0.0,0.0
392,1,1,1254.726196783195,493.7411032980904
393,1,1,645.6103869383214,706.7404813050065
394,1,0,0.0,0.0
395,1,0,0.0,0.0
396,1,0,0.0,0.0
397,1,1,314.8135336086631,414.3319047579209
398,1,0,0.0,0.0
399,1,0,0.0,0.0
400,1,1,461.15810567648964,563.4037868870303
