ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,0.0,0.0,0.0
6,1,2,batt_bel2,0.0,0.0,0.0
9,1,3,batt_bel3,1.2112138163965713,0.0,1.2112138163965713
12,1,4,batt_bel4,0.8206387876440231,0.0,0.8206387876440231
15,1,5,batt_bel5,0.21170670483267223,0.0,0.21170670483267223
18,1,6,batt_bel6,0.8842254562484202,0.0,0.8842254562484202
21,1,7,batt_bel7,0.20341237075586088,0.0,0.20341237075586088
24,1,8,batt_bel8,0.20962176407875885,0.0,0.20962176407875885
27,1,9,batt_bel9,1.0619910984339798,0.0,1.0619910984339798
30,1,10,batt_bel10,0.9236613546845851,0.0,0.9236613546845851
33,1,11,batt_bel11,0.0,0.0,0.0
36,1,12,batt_bel12,0.8008705455293024,0.0,0.8008705455293024
39,1,13,batt_bel13,8.186184569157891,0.0,8.186184569157891
42,1,14,batt_bel14,0.829008351022011,0.0,0.829008351022011
45,1,15,batt_bel15,5.359734334469487,0.0,5.359734334469487
48,1,16,batt_bel16,0.0,0.0,0.0
51,1,17,batt_bel17,6.936061185507798,0.0,6.936061185507798
54,1,18,batt_bel18,0.62819512,0.0,0.62819512
57,1,19,batt_bel19,0.0,0.0,0.0
60,1,20,batt_bel20,0.30068386157513105,0.0,0.30068386157513105
63,1,21,batt_bel21,1.1275593069928662,0.0,1.1275593069928662
66,1,22,batt_bel22,0.8018240487617592,0.0,0.8018240487617592
69,1,23,batt_bel23,0.3648464479070921,0.0,0.3648464479070921
72,1,24,batt_bel24,0.4552021845996691,0.0,0.4552021845996691
75,1,25,batt_bel25,0.3320056154951177,0.0,0.3320056154951177
78,1,26,batt_bel26,0.9291930322679907,0.0,0.9291930322679907
81,1,27,batt_bel27,0.6233598000000001,0.0,0.6233598000000001
84,1,28,batt_bel28,0.6227292432608443,0.0,0.6227292432608443
87,1,29,batt_bel29,0.44670101851501176,0.0,0.44670101851501176
90,1,30,batt_bel30,0.34107839095509007,0.0,0.34107839095509007
93,1,31,batt_bel31,0.6945618627059051,0.0,0.6945618627059051
96,1,32,batt_bel32,1.0392543942576458,0.0,1.0392543942576458
99,1,33,batt_bel33,0.6144793367899303,0.0,0.6144793367899303
102,1,34,batt_bel34,0.49611504500491327,0.0,0.49611504500491327
105,1,35,batt_bel35,0.5072533088646337,0.0,0.5072533088646337
