r_id,amman_mineral_power_station_unit_1,amman_mineral_power_station_unit_2,amman_mineral_power_station_unit_3,amman_mineral_power_station_unit_4,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_geothermal,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_solar,amman_mineral_power_station_wind
77,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.133
78,1,1,1,1,1,1,1,1,1,0.013,0.013,0.013,0.013,0.013,0.138
79,1,1,1,1,1,1,1,1,1,0.179,0.179,0.179,0.179,0.179,0.105
80,1,1,1,1,1,1,1,1,1,0.375,0.375,0.375,0.375,0.375,0.124
81,1,1,1,1,1,1,1,1,1,0.541,0.541,0.541,0.541,0.541,0.12
82,1,1,1,1,1,1,1,1,1,0.655,0.655,0.655,0.655,0.655,0.089
83,1,1,1,1,1,1,1,1,1,0.711,0.711,0.711,0.711,0.711,0.067
84,1,1,1,1,1,1,1,1,1,0.722,0.722,0.722,0.722,0.722,0.055
85,1,1,1,1,1,1,1,1,1,0.688,0.688,0.688,0.688,0.688,0.048
86,1,1,1,1,1,1,1,1,1,0.609,0.609,0.609,0.609,0.609,0.045
87,1,1,1,1,1,1,1,1,1,0.48,0.48,0.48,0.48,0.48,0.045
88,1,1,1,1,1,1,1,1,1,0.298,0.298,0.298,0.298,0.298,0.043
89,1,1,1,1,1,1,1,1,1,0.08,0.08,0.08,0.08,0.08,0.04
90,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.058
91,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.064
92,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.066
93,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.068
94,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.07
95,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.07
96,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.071
97,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.085
98,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.101
99,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.108
100,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.106
101,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.102
102,1,1,1,1,1,1,1,1,1,0.011,0.011,0.011,0.011,0.011,0.104
103,1,1,1,1,1,1,1,1,1,0.192,0.192,0.192,0.192,0.192,0.09
104,1,1,1,1,1,1,1,1,1,0.416,0.416,0.416,0.416,0.416,0.104
105,1,1,1,1,1,1,1,1,1,0.571,0.571,0.571,0.571,0.571,0.116
106,1,1,1,1,1,1,1,1,1,0.673,0.673,0.673,0.673,0.673,0.11
107,1,1,1,1,1,1,1,1,1,0.724,0.724,0.724,0.724,0.724,0.1
108,1,1,1,1,1,1,1,1,1,0.731,0.731,0.731,0.731,0.731,0.093
109,1,1,1,1,1,1,1,1,1,0.691,0.691,0.691,0.691,0.691,0.084
110,1,1,1,1,1,1,1,1,1,0.609,0.609,0.609,0.609,0.609,0.074
111,1,1,1,1,1,1,1,1,1,0.482,0.482,0.482,0.482,0.482,0.066
112,1,1,1,1,1,1,1,1,1,0.301,0.301,0.301,0.301,0.301,0.054
113,1,1,1,1,1,1,1,1,1,0.081,0.081,0.081,0.081,0.081,0.054
114,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.082
115,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.09
116,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.099
117,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.102
118,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.118
119,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.117
120,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.11
121,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.102
122,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.094
123,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.092
124,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.091
125,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.107
126,1,1,1,1,1,1,1,1,1,0.012,0.012,0.012,0.012,0.012,0.113
127,1,1,1,1,1,1,1,1,1,0.188,0.188,0.188,0.188,0.188,0.084
128,1,1,1,1,1,1,1,1,1,0.402,0.402,0.402,0.402,0.402,0.112
129,1,1,1,1,1,1,1,1,1,0.551,0.551,0.551,0.551,0.551,0.122
130,1,1,1,1,1,1,1,1,1,0.651,0.651,0.651,0.651,0.651,0.108
131,1,1,1,1,1,1,1,1,1,0.705,0.705,0.705,0.705,0.705,0.09
132,1,1,1,1,1,1,1,1,1,0.714,0.714,0.714,0.714,0.714,0.069
133,1,1,1,1,1,1,1,1,1,0.671,0.671,0.671,0.671,0.671,0.055
134,1,1,1,1,1,1,1,1,1,0.583,0.583,0.583,0.583,0.583,0.045
135,1,1,1,1,1,1,1,1,1,0.445,0.445,0.445,0.445,0.445,0.036
136,1,1,1,1,1,1,1,1,1,0.219,0.219,0.219,0.219,0.219,0.021
