R_ID,Zone,System,Province,Village,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
16,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_geothermal,,geothermal,1598.980156,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,2.5,1,3440000,0,0,43000,0,0.22,1598.980156,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
17,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_geothermal,,geothermal,897.512951,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,3,1,3440000,0,0,43000,0,0.22,897.512951,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
18,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_solar,,solar,8080.525171,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,1,1,560000,0,0,10000,0,0,8080.525171,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
19,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_solar,,solar,19273.54453,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,1.5,1,560000,0,0,10000,0,0,19273.54453,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
20,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_solar,,solar,3071.828677,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,2,1,560000,0,0,10000,0,0,3071.828677,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
21,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_solar,,solar,264.5145,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,2.5,1,560000,0,0,10000,0,0,264.5145,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
22,3,sulawesi,central_sulawesi,2,pt_ihip_power_station_solar,,solar,2154.031083,0,,,,,,,,,,,,,,,,,,,-2.28754,121.77195,Gardu Induk Bungku,27.37121301,3,1,560000,0,0,10000,0,0,2154.031083,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
23,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_unit_1,,coal_captive,130,0,operating,2022,,nickel,arthabumi_sentra_industri_smelter,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_metal_smeltindo_selaras,qingdao_xiyuan_holdings_co_ltd_qingdao_urban_construction_investment_group_co_ltd_shandong_taishan_steel_group_co_ltd,china,qingdao_xiyuan_holdings_co_ltd__qingdao_urban_construction_investment_group_co_ltd__shandong_taishan_steel_group_co_ltd_,qingdao_hengshun_zhongsheng_group,qingdao_zhongzi_zhongcheng_construction_group_co_ltd,owner_financier_epc,hengshun_zhongsheng_indonesia_industrial_park,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,4,-1,1600000,0,0,43900,0,0.12,130,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
24,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,106796.2905,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1,1,3440000,0,0,43000,0,0.22,106796.2905,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
25,3,sulawesi,central_sulawesi,3,qingdao_zhongsheng_captive_power_station_geothermal,,geothermal,17971.74275,0,,,,,,,,,,,,,,,,,,,-3.04035,122.2616,Gardu Induk Bungku,72.34839868,1.5,1,3440000,0,0,43000,0,0.22,17971.74275,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
