R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
82,2,sumatera,north_sumatera,sungai_buaya,hydropower_mini,3,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,3,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,0,0,1,1,0
83,2,sumatera,north_sumatera,aek_sibundong_ipp,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
84,2,sumatera,north_sumatera,aek_sigeaon,hydropower_mini,3.2,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,3.2,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,0,0,1,1,0
85,2,sumatera,north_sumatera,asahan_iii_ftp2,hydropower_mini,87,0,,construction,pln,0,0,2000000,0,0,36200,0,0.62,87,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
86,2,sumatera,north_sumatera,batang_toru_3,biomass,10,0,,construction,ipp,0,0,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,0,1,1,0
87,2,sumatera,north_sumatera,batu_gajah,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
88,2,sumatera,north_sumatera,deli_serdang,hydropower_mini,9.9,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9.9,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
89,2,sumatera,north_sumatera,kandibata_2,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
90,2,sumatera,north_sumatera,kineppen,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
91,2,sumatera,north_sumatera,lae_ordi1,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
92,2,sumatera,north_sumatera,rahu_2,hydropower_mini,6.4,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,6.4,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
93,2,sumatera,north_sumatera,sidikalang_2,hydropower_mini,7.4,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,7.4,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
94,2,sumatera,north_sumatera,simbelin1,hydropower_mini,6,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,6,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
95,2,sumatera,north_sumatera,sumu1,coal,300,0,,construction,cooperation_wilus,0,0,1360000,0,0,40000,0,0.12,300,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
96,2,sumatera,north_sumatera,sidikalang1,hydropower_mini,8.6,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,8.6,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
97,2,sumatera,north_sumatera,batang_toru_tapsel,hydropower,510,0,,construction,ipp,0,0,2000000,0,0,36200,0,0.62,510,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
98,2,sumatera,north_sumatera,pltp_simbolon_samosir,geothermal,150,0,,planning,jetp,,1,3440000,0,0,43000,0,0.22,150,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,1,0,1,0
99,2,sumatera,north_sumatera,plta_simonggo,hydropower,90,0,,planning,jetp,,1,2000000,0,0,36200,0,0.62,90,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,0,0,1,0
100,2,sumatera,north_sumatera,pltm_simonggo,hydropower,8,0,,planning,jetp,,1,2590000,0,0,50900,0,0.48,8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,0,0,1,0
101,2,sumatera,north_sumatera,pltm_aek_situmandi,hydropower,7.5,0,,planning,jetp,,1,2590000,0,0,50900,0,0.48,7.5,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,0,0,1,0
102,3,sumatera,riau,riau,ccgt,275,0,,construction,ipp,0,0,660000,0,0,22800,0,2.23,275,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,0
103,3,sumatera,riau,rantau_sakti_ebtke,biomass,1,0,,construction,ipp,0,0,1820000,0,0,43800,0,2.8,1,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,0,1,1,0
104,3,sumatera,riau,ujung_batu,biogas,3,0,,construction,ipp,0,0,2150000,0,0,89200,0,0.1,3,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,0,1,1,0
105,3,sumatera,riau,riau_peaker,gas,200,0,,construction,pln,0,0,730000,0,0,22500,0,2.23,200,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
106,4,sumatera,bangka_belitung,pltm_tuik,hydropower,6.3,0,,planning,jetp,,1,2590000,0,0,50900,0,0.48,6.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,0,0,1,0
107,5,sumatera,west_sumatera,induring,hydropower_mini,2,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,2,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,0,0,1,1,0
108,5,sumatera,west_sumatera,lintau_i,hydropower_mini,9,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
109,5,sumatera,west_sumatera,siamang_bunyi,hydropower_mini,1.7,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,1.7,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,0,0,1,1,0
110,5,sumatera,west_sumatera,pelangai_hulu,hydropower_mini,9.8,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9.8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
111,5,sumatera,west_sumatera,pltp_muara_laboh_ftp2,geothermal,80,0,,planning,jetp,,1,3440000,0,0,43000,0,0.22,80,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,0,0,1,0
112,5,sumatera,west_sumatera,pltp_muara_laboh_ftp2,geothermal,60,0,,planning,jetp,,1,3440000,0,0,43000,0,0.22,60,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,0,0,1,0
