Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,56,6,13,8,2023-06-13T06:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,57,6,13,9,2023-06-13T07:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,58,6,13,10,2023-06-13T08:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,59,6,13,11,2023-06-13T09:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,60,6,13,12,2023-06-13T10:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,61,6,13,13,2023-06-13T11:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,62,6,13,14,2023-06-13T12:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,63,6,13,15,2023-06-13T13:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,64,6,13,16,2023-06-13T14:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,65,6,13,17,2023-06-13T15:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,66,6,13,18,2023-06-13T16:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,67,6,13,19,2023-06-13T17:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,68,6,13,20,2023-06-13T18:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,69,6,13,21,2023-06-13T19:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,70,6,13,22,2023-06-13T20:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,71,6,13,23,2023-06-13T21:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,72,6,13,24,2023-06-13T22:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,73,6,14,1,2023-06-13T23:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,74,6,14,2,2023-06-14T00:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,75,6,14,3,2023-06-14T01:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,76,6,14,4,2023-06-14T02:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,77,6,14,5,2023-06-14T03:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,78,6,14,6,2023-06-14T04:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,79,6,14,7,2023-06-14T05:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,80,6,14,8,2023-06-14T06:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,81,6,14,9,2023-06-14T07:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,82,6,14,10,2023-06-14T08:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,83,6,14,11,2023-06-14T09:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,84,6,14,12,2023-06-14T10:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,85,6,14,13,2023-06-14T11:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,86,6,14,14,2023-06-14T12:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,87,6,14,15,2023-06-14T13:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,88,6,14,16,2023-06-14T14:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,89,6,14,17,2023-06-14T15:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,90,6,14,18,2023-06-14T16:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,91,6,14,19,2023-06-14T17:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,92,6,14,20,2023-06-14T18:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,93,6,14,21,2023-06-14T19:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,94,6,14,22,2023-06-14T20:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,95,6,14,23,2023-06-14T21:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,96,6,14,24,2023-06-14T22:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,97,6,15,1,2023-06-14T23:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,98,6,15,2,2023-06-15T00:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,99,6,15,3,2023-06-15T01:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,100,6,15,4,2023-06-15T02:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,101,6,15,5,2023-06-15T03:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,102,6,15,6,2023-06-15T04:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,103,6,15,7,2023-06-15T05:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,104,6,15,8,2023-06-15T06:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,105,6,15,9,2023-06-15T07:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,106,6,15,10,2023-06-15T08:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,107,6,15,11,2023-06-15T09:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,108,6,15,12,2023-06-15T10:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,109,6,15,13,2023-06-15T11:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,110,6,15,14,2023-06-15T12:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,111,6,15,15,2023-06-15T13:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,112,6,15,16,2023-06-15T14:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,113,6,15,17,2023-06-15T15:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,114,6,15,18,2023-06-15T16:40:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,1,2,3,11,5,2
,,,,,,,,,115,6,15,19,2023-06-15T17:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,116,6,15,20,2023-06-15T18:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,2,3,11,4,2
,,,,,,,,,117,6,15,21,2023-06-15T19:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,118,6,15,22,2023-06-15T20:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,119,6,15,23,2023-06-15T21:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,120,6,15,24,2023-06-15T22:40:00+08:00,2,16,2,1,13,67,120,0,7,0,3,76,34,0,1,2,11,4,2
,,,,,,,,,121,6,16,1,2023-06-15T23:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,122,6,16,2,2023-06-16T00:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,123,6,16,3,2023-06-16T01:40:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,124,6,16,4,2023-06-16T02:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,1,2,11,3,1
,,,,,,,,,125,6,16,5,2023-06-16T03:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,126,6,16,6,2023-06-16T04:50:00+08:00,1,13,2,0,13,67,120,0,6,0,3,76,34,0,2,3,11,3,1
,,,,,,,,,127,6,16,7,2023-06-16T05:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
,,,,,,,,,128,6,16,8,2023-06-16T06:50:00+08:00,2,22,3,1,13,67,120,0,9,0,3,76,34,0,2,3,11,5,2
