Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,5,9,27,9,4
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,5,9,27,9,4
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,4,5,9,27,14,6
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,4,5,9,27,14,6
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,16,10,23,5,30,29,280,0,28,3,26,32,78,7,5,9,27,14,6
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,16,10,23,5,30,29,280,0,28,3,26,32,78,7,5,9,27,14,6
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,16,10,26,6,30,29,280,0,28,3,29,32,78,7,5,9,27,14,6
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,5,9,27,11,5
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,5,9,27,11,5
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,4,7,27,11,5
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,4,7,27,11,5
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,4,7,27,11,5
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,14,7,22,5,30,29,280,0,22,3,24,32,78,4,4,7,27,11,5
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,13,6,20,4,30,29,280,0,17,3,23,32,78,4,3,6,27,9,4
