Village,solar_MW,solar_built_MW,solar_GWh,battery_MW,battery_built_MW,battery_MWh,battery_built_MWh,Connected,Total_Import_MWh,Total_Export_MWh
1,0.0,0.0,0.0,0.0086140069999999,0.0086140069999999,0.0093630510869564,0.0093630510869564,1,2212.874909421645,1095.0508505897567
2,0.0,0.0,0.0,0.369158,0.369158,0.65802448,0.65802448,1,10069.476292304404,6604.028462541372
3,0.0,0.0,0.0,0.3673709999999999,0.3673709999999999,0.6548375999999998,0.6548375999999998,1,10025.558432135962,6573.9387610476415
4,0.0,0.0,0.0,0.0106109999999999,0.0106109999999999,0.0156796747826086,0.0156796747826086,1,3227.568865880378,1658.6713355612924
5,0.0,0.0,0.0,0.191181,0.191181,0.3407818000000001,0.3407818000000001,1,5211.641736272975,3415.6700690534053
6,0.0,0.0,0.0,0.0091895,0.0091895,0.0099885869565217,0.0099885869565217,1,3115.4895160934443,1563.2299292871596
7,0.0,0.0,0.0,0.1564829999999999,0.1564829999999999,0.27893112,0.27893112,1,4263.794360817072,2794.33725557961
8,0.0,0.0,0.0,0.30928,0.30928,0.5526184782608696,0.5526184782608696,1,8430.285565753937,5524.250480047441
9,0.0,0.0,0.0,0.2981899999999999,0.2981899999999999,0.5315254,0.5315254,1,8133.386586165174,5331.921768568281
10,0.0,0.0,0.0,0.0085243383742911,0.0085243383742911,0.0117630434782608,0.0117630434782608,1,3269.7303350272887,1670.1420647341329
11,0.0,0.0,0.0,0.288115,0.288115,0.5236076869565217,0.5236076869565217,1,7861.626182882097,5154.855273850807
12,0.0,0.0,0.0,0.006102315689981,0.006102315689981,0.0056141304347826,0.0056141304347826,1,2306.463179407083,1161.644797168293
13,0.0,0.0,0.0,0.133622,0.133622,0.23469016,0.23469016,1,3174.973572446533,1466.4065318336395
14,0.0,0.0,0.0,0.0065379999999999,0.0065379999999999,0.0071065217391304,0.0071065217391304,1,1601.4906975729964,773.9805090602034
15,0.0,0.0,0.0,0.0108177858847596,0.0108177858847596,0.0129550460279577,0.0129550460279577,1,1362.1753215856752,255.022619472019
16,0.0,0.0,0.0,0.0072487001733102,0.0072487001733102,0.0084886952754125,0.0084886952754125,1,4014.712710649126,2036.9211707275308
17,0.0,0.0,0.0,0.0131757078077054,0.0131757078077054,0.018636822366178,0.018636822366178,1,1728.821028830503,314.64913839942835
18,0.0,0.0,0.0,0.0040292954999999,0.0040292954999999,0.0043796690217391,0.0043796690217391,1,1035.4512641818,512.5637439041184
19,0.0,0.0,0.0,0.024178,0.024178,0.0525608695652174,0.0525608695652174,1,1158.5495952281988,346.0564086047892
