Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,243,126
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,232,121
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,226,117
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,217,113
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,210,109
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,204,106
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,201,105
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,203,105
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,191,99
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,191,99
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,197,102
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,205,107
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,206,107
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,205,107
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,208,108
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,214,111
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,220,114
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,222,115
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,221,115
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,222,115
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,250,130
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,252,131
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,249,129
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,244,127
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,238,124
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,228,118
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,218,113
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,209,108
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,203,105
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,199,103
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,199,103
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,202,105
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,195,101
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,203,106
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,214,111
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,223,116
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,229,119
