ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
1,1,1,1117.2577418270303,0.0020386664701805006
2,1,1,3408.1260452559977,0.0015470375113368396
3,1,1,3391.993123806003,0.0015486929558099097
4,1,1,1567.7371705358105,0.0018572422165709466
5,1,1,1765.054690482823,0.0018022886947123787
6,1,1,1551.603686923396,0.001860868821917716
7,1,1,1444.8780765105207,0.0018976288283101737
8,1,1,2855.8852332196057,0.0016088454396294707
9,1,1,2752.8826734956283,0.0016219203294686145
10,1,1,1598.7616844713014,0.0018478809486369367
11,1,1,2659.809114914589,0.0016345623651990617
12,1,1,1144.5586107823055,0.0020262256866816417
13,1,1,1719.4817769757863,0.1750299767179824
14,1,1,828.1073939879883,0.002239231542677671
15,1,1,1125.720626026365,0.11676470349217562
16,1,1,1977.2637026136204,0.0017526547954080207
17,1,1,1437.7768314126288,0.14809583100725393
18,1,1,522.8239732185618,0.0026143123086904453
19,1,1,818.1789015168217,0.002250943051962819
20,1,0,0.0,0.0
21,1,1,670.501191233217,0.0024033824516766335
22,1,1,476.9070240933484,0.002699251405336036
23,1,1,460.77566036364533,0.002724387814881533
24,1,1,270.9037838515823,0.003271414923194544
25,1,0,0.0,0.0
26,1,1,552.6077525652693,0.0025671899122665
27,1,1,505.44951953799693,0.002644777793094591
28,1,1,375.1463524942699,0.0029273463671190087
29,1,1,267.18041305857605,0.003285286745258839
30,1,0,0.0,0.0
31,1,1,417.3396277013372,0.002822771906848154
32,1,1,625.8259773297959,0.0024592141089247936
33,1,1,370.1827822857939,0.0029409889589032917
34,1,1,298.20508396411685,0.003166235136463986
35,1,1,305.65096358523016,0.003141288074339032
36,1,1,179.07201612239422,0.0037122514222931078
37,1,1,313.0967618033841,0.003115236628436378
38,1,1,639.4763588437829,0.0024418897963698334
39,1,1,287.0377515002517,0.0032010157295908406
40,1,1,257.2528032620837,0.0033240297839587526
41,1,1,278.34971106342834,0.003241349245500648
42,1,1,313.098330931407,0.00310739910416078
43,1,1,550.1255406514539,0.00256977601029475
44,1,1,430.9908833844405,0.0027917438701916177
45,1,1,326.7479535473656,0.0030694630303823175
46,1,1,440.91878743648294,0.0027708034831004026
47,1,1,455.8116327644402,0.0027345607082499995
48,1,1,442.1599904113276,0.002768363696119091
49,1,1,805.7692526230283,0.002261130861732973
50,1,1,946.001036687696,0.0021474567566070737
51,1,1,593.5596530612261,0.0025037299004011917
52,1,1,645.6818142524874,0.002432670895089633
53,1,1,553.848532576111,0.0025635122819785364
54,1,1,509.1735366073862,0.002637240556061945
55,1,1,831.8296143630149,0.002238209315857689
56,1,1,643.1992644235878,0.0024375328381035163
57,1,1,697.8029125775314,0.002371253389539885
58,1,1,998.1227880629792,0.0021123205933491727
59,1,1,315.5791423909839,0.0031075132939550826
60,1,1,1703.004681600928,0.0018182091938597183
61,1,1,224.98744618668866,0.0034674278693210586
62,1,1,1154.4870234416053,0.0020207677556662224
63,1,1,455.81163276444505,0.002734560708249971
64,1,1,426.02680601100553,0.002803050839035512
65,1,1,208.85544943894135,0.0035431310097878764
66,1,1,1802.2842876206128,0.0017925744739601525
67,1,1,1454.8065850110545,0.0018939472524256195
68,1,1,733.7915425194293,0.0023310409036216813
69,1,1,1387.7931650507571,0.0019178297369809125
70,1,1,254.7711232349398,0.0033355479979923545
71,1,1,598.5236523845713,0.002496476684370782
72,1,1,519.1020735054751,0.0026172818810235978
73,1,1,397.4838732375425,0.0028715295671802653
74,1,1,2865.8131212162966,0.0016076081296921417
75,1,1,615.8987692765626,0.0024688434930857377
76,1,1,277.1087175852137,0.0032457329865901545
77,1,1,1268.6593392988093,0.001966573097267414
