R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
28,1,maluku,maluku,plts_lisdes,solar,17.26,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,17.26,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
29,1,maluku,maluku,plts_lisded,solar,0.58,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,0.58,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
30,1,maluku,maluku,pltmg_masela,gas,20,0,2025,Plan,PLIN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
31,1,maluku,maluku,plts_saparua_2,solar,5,0,2027,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
32,1,maluku,maluku,pltmg_saumlaki,gas,10,0,2021,Construction,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
33,1,maluku,maluku,pltbio_saumlaki_2,biomass,10,0,2024,Plan,IPP,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
34,1,maluku,maluku,pltmg_seram_2,gas,20,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,1,,,,
35,1,maluku,maluku,pltm_nua_masohi,hydropower,8.8,0,2026,Plan,PLN,,1,2200000,0,0,40200,0,0.48,8.8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
36,1,maluku,maluku,pltm_seram,hydropower,7.8,0,2026,Plan,PLN,,1,2200000,0,0,40200,0,0.48,7.8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
37,1,maluku,maluku,pltm_wae_maia,hydropower,1.1,0,2026,Plan,PLN,,1,2200000,0,0,40200,0,0.48,1.1,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
