r_id,plts_likupang,pltd_bitung,pltd_lopana,pltu_amurang,pltu_amurang_sawa,pltp_lahendong_iii,pltp_lahendong_iiiiv,pltp_lahendong_vvi_ftp_2,pltd_kotamobagu,pltu_gorontalo_ftp1,plts_isimu_gorontalo,pltd_talaga,pltu_molotabu,pltg_gorontalo_peaker,pltd_silae,pltu_tawaeli_ekpansi,pltu_ampana,plta_poso_2,pltg_tello,plta_bakaru_1,pltb_sidrap,pltu_sulsel_barru,pltg_sengkang_gt_22,pltgu_sengkang_st_28,pltu_punagay_ftp_2,pltb_jeneponto,pltgu_jeneponto_2,pltu_jeneponto_1,pltu_kendari_ekspansi,pltu_kendarinii_tanasa,mpp_sultra_kendari,pltu_kendari_3,pltmg_baubau,pltu_baubau,pltu_mamuju,lisdes,sangihe,sulut_3,tahuna,talaud,dedieselisasi,tahuna_2,dominanga,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,sawangan,sulbagut_kuota_tersebar,sulbagut_kuota_tersebar,tahuna_3,sulbagut_kuota_tersebar,minahasa,sulut_1,sulbagut_1,bone_bolango,iya,lisdes,luwuk,poso_peaker,tomata,lisdes,koro_kabalo,dedieselisasi,lisdes,palu_3,koro_yaentu,lisdes,sulbagsel_kuota_tersebar,buleleng,biak_i,biak_ii,biak_iii,sulbagut_kuota_tersebar,sulbagsel_kuota_tersebar,halulai,alani,lisdes,sulsel_barru_2,malea_ftp_2,sulbagsel_kuota_tersebar,ussu_malili,selayar,selayar,bungin_111,madong,dedieselisasi,makassar,selayar_2,lisdes,sulbagsel_kuota_tersebar,sulbagsel_kuota_tersebar,sulbagsel_kuota_tersebar,dedieselisasi,bakaru_2,belaj_en,poko,sulbagsel_kuota_tersebar,buttu_batu,sulbagsel_kuota_tersebar,lisdes,lisdes,lisdes,dedieselisasi,mpp_sulselbar,lisdes,sulbagsel,dedieselisasi,lapai_1,lapai_2,riorita,watunohu,konawe_bendungan_pelosika_pupr,baubau_2,sulbagsel_kuota_tersebar,lisdes,lisdes,bonehau,pltp_kotamobagu_1,pltp_kotamobagu_2,pltp_kotamobagu_3,pltp_kotamobagu_4,pltp_marana,pltp_lainea,pltp_sipaholon_riaria,pltp_borapulu,pltp_pentadio,pltp_suwawa,pltm_riorita,pltm_riorita,plta_sulbagut_kuota_tersebar,plta_sulbagut_kuota_tersebar,plta_sulbagut,plta_sulbagsel_kuota_tersebar,plta_sulbagsel_kuota_tersebar,plta_sulawesi_kuota_tersebar,plta_sulawesi_kuota_tersebar,plta_pokko,plta_watunohu,plta_konawe_bendung_piipr,pltm_dominanga,pltm_lapa_1,pltm_lapa_1,pltm_lapa_2,pltm_lapa_2,pltm_riorita,pltm_riorita,pltsa_makassar,plts_dedieselisasi,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,pltb_sulbagsel_kuota_tersebar,north_sulawesi_geothermal_potential_ruen,gorontalo_geothermal_potential_ruen,central_sulawesi_geothermal_potential_ruen,south_sulawesi_geothermal_potential_ruen,southeast_sulawesi_geothermal_potential_ruen,west_sulawesi_geothermal_potential_ruen,north_sulawesi_hydropower_potential_ruen,gorontalo_hydropower_potential_ruen,central_sulawesi_hydropower_potential_ruen,south_sulawesi_hydropower_potential_ruen,southeast_sulawesi_hydropower_potential_ruen,west_sulawesi_hydropower_potential_ruen,north_sulawesi_hydropower_mini_potential_ruen,gorontalo_hydropower_mini_potential_ruen,central_sulawesi_hydropower_mini_potential_ruen,south_sulawesi_hydropower_mini_potential_ruen,southeast_sulawesi_hydropower_mini_potential_ruen,west_sulawesi_hydropower_mini_potential_ruen,north_sulawesi_biomass_potential_ruen,gorontalo_biomass_potential_ruen,central_sulawesi_biomass_potential_ruen,south_sulawesi_biomass_potential_ruen,southeast_sulawesi_biomass_potential_ruen,west_sulawesi_biomass_potential_ruen,north_sulawesi_biogas_potential_ruen,gorontalo_biogas_potential_ruen,central_sulawesi_biogas_potential_ruen,south_sulawesi_biogas_potential_ruen,southeast_sulawesi_biogas_potential_ruen,west_sulawesi_biogas_potential_ruen,north_sulawesi_solar_potential_ruen,gorontalo_solar_potential_ruen,central_sulawesi_solar_potential_ruen,south_sulawesi_solar_potential_ruen,southeast_sulawesi_solar_potential_ruen,west_sulawesi_solar_potential_ruen,north_sulawesi_wind_potential_ruen,gorontalo_wind_potential_ruen,central_sulawesi_wind_potential_ruen,south_sulawesi_wind_potential_ruen,southeast_sulawesi_wind_potential_ruen,west_sulawesi_wind_potential_ruen,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4,gas_candidate_1,gas_candidate_2,gas_candidate_3,gas_candidate_4,ccgt_candidate_1,ccgt_candidate_2,ccgt_candidate_3,ccgt_candidate_4,diesel_candidate_1,diesel_candidate_2,diesel_candidate_3,diesel_candidate_4
331,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,0.5,0.017,1,1,1,1,0.017,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0,1,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,0,1,1,0,1,0.5,0.017,0,0.5,0.5,0.5,0.017,0.5,0.5,0,0,0,0,1,0,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.086,0.078,0.016,0.017,0,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
332,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,0.5,0.005,1,1,1,1,0.005,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0,1,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,0,1,1,0,1,0.5,0.005,0,0.5,0.5,0.5,0.005,0.5,0.5,0,0,0,0,1,0,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.076,0.076,0.012,0.005,0,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,0.5,0.001,1,1,1,1,0.001,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0,1,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,0,1,1,0,1,0.5,0.001,0,0.5,0.5,0.5,0.001,0.5,0.5,0,0,0,0,1,0,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.063,0.069,0.009,0.001,0,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,1,0.5,0.001,1,1,1,1,0.001,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0,1,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,0.5,0,1,0.5,0.5,0,1,1,0,1,0.5,0.001,0,0.5,0.5,0.5,0.001,0.5,0.5,0,0,0,0,1,0,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.044,0.045,0.008,0.001,0,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
335,0.078,1,1,1,1,1,1,1,1,1,0.037,1,1,1,1,1,1,0.5,1,0.5,0.002,1,1,1,1,0.002,1,1,1,1,1,1,1,1,1,0.078,0.078,1,1,1,0.078,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.02,1,0.5,0.5,0.02,0.5,0.02,0.02,1,0.5,0.02,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.028,1,0.5,0.5,0.5,0.028,1,0.5,0.5,0.028,1,1,0.028,1,0.5,0.002,0.028,0.5,0.5,0.5,0.002,0.5,0.5,0.036,0.036,0.036,0.036,1,0.036,1,0.036,0.5,0.5,0.5,0.5,0.5,1,1,0.016,0.016,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.078,0.037,0.02,0.028,0.036,0.016,0.024,0.025,0.007,0.002,0,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
336,0.225,1,1,1,1,1,1,1,1,1,0.143,1,1,1,1,1,1,0.5,1,0.5,0.002,1,1,1,1,0.002,1,1,1,1,1,1,1,1,1,0.225,0.225,1,1,1,0.225,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.124,1,0.5,0.5,0.124,0.5,0.124,0.124,1,0.5,0.124,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.134,1,0.5,0.5,0.5,0.134,1,0.5,0.5,0.134,1,1,0.134,1,0.5,0.002,0.134,0.5,0.5,0.5,0.002,0.5,0.5,0.149,0.149,0.149,0.149,1,0.149,1,0.149,0.5,0.5,0.5,0.5,0.5,1,1,0.092,0.092,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.124,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.225,0.143,0.124,0.134,0.149,0.092,0.015,0.01,0.001,0.002,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,0.419,1,1,1,1,1,1,1,1,1,0.29,1,1,1,1,1,1,0.5,1,0.5,0.003,1,1,1,1,0.003,1,1,1,1,1,1,1,1,1,0.419,0.419,1,1,1,0.419,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.265,1,0.5,0.5,0.265,0.5,0.265,0.265,1,0.5,0.265,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.272,1,0.5,0.5,0.5,0.272,1,0.5,0.5,0.272,1,1,0.272,1,0.5,0.003,0.272,0.5,0.5,0.5,0.003,0.5,0.5,0.28,0.28,0.28,0.28,1,0.28,1,0.28,0.5,0.5,0.5,0.5,0.5,1,1,0.202,0.202,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.265,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.419,0.29,0.265,0.272,0.28,0.202,0.009,0.005,0.001,0.003,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
338,0.59,1,1,1,1,1,1,1,1,1,0.393,1,1,1,1,1,1,0.5,1,0.5,0.004,1,1,1,1,0.004,1,1,1,1,1,1,1,1,1,0.59,0.59,1,1,1,0.59,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.377,1,0.5,0.5,0.377,0.5,0.377,0.377,1,0.5,0.377,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.382,1,0.5,0.5,0.5,0.382,1,0.5,0.5,0.382,1,1,0.382,1,0.5,0.004,0.382,0.5,0.5,0.5,0.004,0.5,0.5,0.393,0.393,0.393,0.393,1,0.393,1,0.393,0.5,0.5,0.5,0.5,0.5,1,1,0.362,0.362,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.377,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.59,0.393,0.377,0.382,0.393,0.362,0.005,0.008,0.002,0.004,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
339,0.618,1,1,1,1,1,1,1,1,1,0.533,1,1,1,1,1,1,0.5,1,0.5,0.006,1,1,1,1,0.006,1,1,1,1,1,1,1,1,1,0.618,0.618,1,1,1,0.618,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.44,1,0.5,0.5,0.44,0.5,0.44,0.44,1,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.448,1,0.5,0.5,0.5,0.448,1,0.5,0.5,0.448,1,1,0.448,1,0.5,0.006,0.448,0.5,0.5,0.5,0.006,0.5,0.5,0.455,0.455,0.455,0.455,1,0.455,1,0.455,0.5,0.5,0.5,0.5,0.5,1,1,0.492,0.492,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.618,0.533,0.44,0.448,0.455,0.492,0.005,0.015,0.002,0.006,0,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340,0.604,1,1,1,1,1,1,1,1,1,0.607,1,1,1,1,1,1,0.5,1,0.5,0.008,1,1,1,1,0.008,1,1,1,1,1,1,1,1,1,0.604,0.604,1,1,1,0.604,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.443,1,0.5,0.5,0.443,0.5,0.443,0.443,1,0.5,0.443,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.474,1,0.5,0.5,0.5,0.474,1,0.5,0.5,0.474,1,1,0.474,1,0.5,0.008,0.474,0.5,0.5,0.5,0.008,0.5,0.5,0.477,0.477,0.477,0.477,1,0.477,1,0.477,0.5,0.5,0.5,0.5,0.5,1,1,0.53,0.53,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.443,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.604,0.607,0.443,0.474,0.477,0.53,0.004,0.025,0.002,0.008,0,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
341,0.529,1,1,1,1,1,1,1,1,1,0.582,1,1,1,1,1,1,0.5,1,0.5,0.01,1,1,1,1,0.01,1,1,1,1,1,1,1,1,1,0.529,0.529,1,1,1,0.529,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.396,1,0.5,0.5,0.396,0.5,0.396,0.396,1,0.5,0.396,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.459,1,0.5,0.5,0.5,0.459,1,0.5,0.5,0.459,1,1,0.459,1,0.5,0.01,0.459,0.5,0.5,0.5,0.01,0.5,0.5,0.434,0.434,0.434,0.434,1,0.434,1,0.434,0.5,0.5,0.5,0.5,0.5,1,1,0.516,0.516,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.396,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.529,0.582,0.396,0.459,0.434,0.516,0.002,0.03,0.002,0.01,0.003,0.036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,0.394,1,1,1,1,1,1,1,1,1,0.502,1,1,1,1,1,1,0.5,1,0.5,0.014,1,1,1,1,0.014,1,1,1,1,1,1,1,1,1,0.394,0.394,1,1,1,0.394,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.32,1,0.5,0.5,0.32,0.5,0.32,0.32,1,0.5,0.32,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.423,1,0.5,0.5,0.5,0.423,1,0.5,0.5,0.423,1,1,0.423,1,0.5,0.014,0.423,0.5,0.5,0.5,0.014,0.5,0.5,0.395,0.395,0.395,0.395,1,0.395,1,0.395,0.5,0.5,0.5,0.5,0.5,1,1,0.462,0.462,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.32,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.394,0.502,0.32,0.423,0.395,0.462,0.002,0.033,0.003,0.014,0.008,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
343,0.274,1,1,1,1,1,1,1,1,1,0.399,1,1,1,1,1,1,0.5,1,0.5,0.025,1,1,1,1,0.025,1,1,1,1,1,1,1,1,1,0.274,0.274,1,1,1,0.274,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.215,1,0.5,0.5,0.215,0.5,0.215,0.215,1,0.5,0.215,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.371,1,0.5,0.5,0.5,0.371,1,0.5,0.5,0.371,1,1,0.371,1,0.5,0.025,0.371,0.5,0.5,0.5,0.025,0.5,0.5,0.319,0.319,0.319,0.319,1,0.319,1,0.319,0.5,0.5,0.5,0.5,0.5,1,1,0.36,0.36,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.215,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.274,0.399,0.215,0.371,0.319,0.36,0.005,0.028,0.006,0.025,0.01,0.046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344,0.152,1,1,1,1,1,1,1,1,1,0.254,1,1,1,1,1,1,0.5,1,0.5,0.035,1,1,1,1,0.035,1,1,1,1,1,1,1,1,1,0.152,0.152,1,1,1,0.152,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.12,1,0.5,0.5,0.12,0.5,0.12,0.12,1,0.5,0.12,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.258,1,0.5,0.5,0.5,0.258,1,0.5,0.5,0.258,1,1,0.258,1,0.5,0.035,0.258,0.5,0.5,0.5,0.035,0.5,0.5,0.196,0.196,0.196,0.196,1,0.196,1,0.196,0.5,0.5,0.5,0.5,0.5,1,1,0.242,0.242,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.12,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.152,0.254,0.12,0.258,0.196,0.242,0.011,0.028,0.009,0.035,0.008,0.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
