Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1,demand_z2,demand_z3,demand_z4,demand_z5,demand_z6
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,521,367,152,1629,372,121
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,500,352,146,1562,357,116
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,483,340,141,1508,344,112
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,464,327,135,1450,331,107
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,450,317,131,1405,321,104
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,437,308,128,1366,312,101
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,432,304,126,1349,308,100
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,428,302,125,1338,306,99
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,396,279,115,1236,282,92
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,405,286,118,1266,289,94
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,422,297,123,1317,301,98
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,439,310,128,1372,313,102
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,446,315,130,1395,318,103
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,446,314,130,1394,318,103
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,460,324,134,1436,328,106
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,469,330,137,1465,334,109
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,484,341,141,1512,345,112
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,490,345,143,1530,349,113
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,475,335,139,1485,339,110
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,477,336,139,1489,340,110
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,526,371,153,1642,375,122
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,541,381,158,1689,385,125
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,541,381,158,1690,386,125
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,532,375,155,1663,380,123
