ID,Zone,Connected,Total_Import_MWh,Total_Export_MWh
1,1,1,2194.7610476025143,1077.8609301964204
2,1,1,6813.82602042718,3406.039994948401
3,1,1,6720.999772188281,3329.346792868499
4,1,1,3115.647474527054,1548.264220866627
5,1,1,3508.432559342321,1743.7303515530587
6,1,1,3021.6824964633056,1470.432880935274
7,1,1,2880.617918500512,1436.0946689591792
8,1,1,5720.256242969155,2864.715354789752
9,1,1,5528.661960520311,2776.124391016536
10,1,1,3134.194772230928,1535.7867921968505
11,1,1,5189.033850032662,2529.5705506716035
12,1,1,2278.3166866165566,1134.1152086703921
13,1,1,421.0233905531159,2761.99377758983
14,1,1,1623.1503617254423,795.4032899402886
15,1,1,276.4851297008717,1805.4410232240382
16,1,1,3891.4386764010683,1914.5258853935127
17,1,1,358.70215761958326,2315.4707933582818
18,1,1,405.28518496009093,1160.4577269399185
19,1,1,1609.599696855397,791.7806711298606
20,1,0,0.0,0.0
21,1,0,0.0,0.0
22,1,0,0.0,0.0
23,1,1,893.5603807317884,433.1490807200762
24,1,0,0.0,0.0
25,1,0,0.0,0.0
26,1,0,0.0,0.0
27,1,1,996.2720413601762,491.18533539787916
28,1,0,0.0,0.0
29,1,0,0.0,0.0
30,1,0,0.0,0.0
31,1,0,0.0,0.0
32,1,0,0.0,0.0
33,1,0,0.0,0.0
34,1,0,0.0,0.0
35,1,0,0.0,0.0
36,1,0,0.0,0.0
37,1,0,0.0,0.0
38,1,1,1267.2902591016475,628.1753705393534
39,1,1,573.3788137018433,286.70801498715576
40,1,0,0.0,0.0
41,1,0,0.0,0.0
42,1,1,617.3651562446456,304.6333120871458
43,1,0,0.0,0.0
44,1,0,0.0,0.0
45,1,0,0.0,0.0
46,1,0,0.0,0.0
47,1,1,899.6634061772039,444.2161974103781
48,1,0,0.0,0.0
49,1,1,1555.4864966484502,750.0771550133268
50,1,1,1876.5083225699502,930.8659863764967
51,1,0,0.0,0.0
52,1,1,1242.9155780225092,597.5951429483857
53,1,0,0.0,0.0
54,1,0,0.0,0.0
55,1,1,1652.7377689364241,821.2679259128746
56,1,0,0.0,0.0
57,1,1,1408.321743374196,710.8797631332167
58,1,1,1949.3095277539142,951.5458212935459
59,1,0,0.0,0.0
60,1,1,3388.6075277378877,1685.9557762315198
61,1,0,0.0,0.0
62,1,1,2263.4071744711655,1109.277240398381
63,1,1,899.0272350537391,443.5800262869128
64,1,0,0.0,0.0
65,1,0,0.0,0.0
66,1,1,3589.498779088401,1787.5665709605819
67,1,1,2909.0011565946384,1454.549360238311
68,1,1,1441.428890162144,707.9979118820789
69,1,1,2817.98135006377,1430.543324363586
70,1,0,0.0,0.0
71,1,1,1181.8428365933498,583.6810847335362
72,1,1,1032.3405387160965,513.6021018725369
73,1,1,803.1977338586012,406.07775421228723
74,1,1,5621.904601566496,2756.4357126716645
75,1,1,1241.7052520383386,626.1689977298662
76,1,0,0.0,0.0
77,1,1,934.7401466942455,2844.8616971932024
78,1,0,0.0,0.0
79,1,1,522.9863774466459,256.17157913546845
80,1,1,492.0640531998235,815.4813091304435
81,1,1,1361.5284635075272,687.6650270104059
